"champ";"statut";"annee";"periode";"date du resultat";"ipe";diag;ponder;ponder_cn;dms;dur_med;age_moy;age_med;pct_homme;pct_rea;pct_sc;pct_si;sej_rea;moy_rea;med_rea;moy_age;med_age;pct_homme_rea;ponder_dp;ponder_dr;ponder_da;lib;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:18";="800000036";U0710;7;7;8.4285714286;8;85.571428571;86;42.857142857;0;0;0;0;;;;;;7;0;0;U0710  COVID-19 RESPIRATOIRE VIRUS IDENTIFIÉ;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:18";="800000036";U0712;1;1;35;35;97;97;0;0;0;0;0;;;;;;0;0;1;U0712  PORTEUR DE SARS-COV-2, ASYMPTOMATIQUE;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:18";="800000036";Total;8;8;11.75;8.5;87;87;37.5;0;0;0;0;;;;;;7;0;1;Tous diagnostics;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:14";="600100168";U0710;14;14;16.357142857;11.5;76.071428571;74.5;42.857142857;0;7.1428571429;0;0;;;;;;9;0;5;U0710  COVID-19 RESPIRATOIRE VIRUS IDENTIFIÉ;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:14";="600100168";U0712;11;11;7.5454545455;6;75.272727273;81;63.636363636;0;0;0;0;;;;;;1;0;10;U0712  PORTEUR DE SARS-COV-2, ASYMPTOMATIQUE;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:14";="600100168";U0715;1;1;9;9;90;90;0;0;0;0;0;;;;;;1;0;0;U0715  COVID-19 AUTRES FORMES, VIRUS NON IDENTIFIÉ;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:14";="600100168";Total;26;26;12.346153846;9;76.269230769;78;50;0;3.8461538462;0;0;;;;;;11;0;15;Tous diagnostics;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:04";="020000022";U0710;31;31;17.032258065;14;82.612903226;84;41.935483871;0;0;0;0;;;;;;23;0;8;U0710  COVID-19 RESPIRATOIRE VIRUS IDENTIFIÉ;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:04";="020000022";U0712;3;3;8;7;78.666666667;78;0;0;0;0;0;;;;;;0;0;3;U0712  PORTEUR DE SARS-COV-2, ASYMPTOMATIQUE;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:04";="020000022";U0714;5;5;25.2;26;76.4;72;60;0;0;0;0;;;;;;0;0;5;U0714  COVID-19 AUTRES FORMES, VIRUS IDENTIFIÉ;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:04";="020000022";Total;39;39;17.384615385;15;81.512820513;83;41.025641026;0;0;0;0;;;;;;23;0;16;Tous diagnostics;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:03";="590782439";U0710;18;18;7.3888888889;8.5;74.5;83.5;55.555555556;0;0;0;0;;;;;;14;0;4;U0710  COVID-19 RESPIRATOIRE VIRUS IDENTIFIÉ;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:03";="590782439";U0714;4;4;3.75;3.5;66;66.5;25;0;0;0;0;;;;;;1;0;3;U0714  COVID-19 AUTRES FORMES, VIRUS IDENTIFIÉ;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:03";="590782439";Total;22;22;6.7272727273;8;72.954545455;83.5;50;0;0;0;0;;;;;;15;0;7;Tous diagnostics;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:55:01";="590049565";U0710;5;5;42.8;45;66.6;67;60;0;0;0;0;;;;;;0;1;4;U0710  COVID-19 RESPIRATOIRE VIRUS IDENTIFIÉ;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:01";="590049565";U0714;2;2;12.5;12.5;86;86;100;0;0;0;0;;;;;;0;0;2;U0714  COVID-19 AUTRES FORMES, VIRUS IDENTIFIÉ;2023.7;X590049565;23AUG23;11:54:38
