"champ";"statut";"annee";"periode";"date du resultat";"ipe";diag;ponder;pct_nn;dms;dur_med;age_moy;age_med;pct_homme;ponder_da;lib;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:38:41";="020000253";U0713;37;0;11.594594595;11;73.459459459;73;54.054054054;37;U0713  AUTRES EXAMENS ET OBSERVATIONS COVID-19;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:37:54";="620003376";U0713;19;0;4.6315789474;1;66.052631579;66;31.578947368;19;U0713  AUTRES EXAMENS ET OBSERVATIONS COVID-19;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:05:57";="620101337";U0713;38;0;8.8157894737;6;54.246431146;62;47.368421053;38;U0713  AUTRES EXAMENS ET OBSERVATIONS COVID-19;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/28 15:44:38";="020004495";U0713;22;0;11.409090909;10.5;75.090909091;72;31.818181818;22;U0713  AUTRES EXAMENS ET OBSERVATIONS COVID-19;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:24:38";="020000055";U0713;5;0;11;11;79;80;40;5;U0713  AUTRES EXAMENS ET OBSERVATIONS COVID-19;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:28:40";="590782652";U0713;10;0;7.7;6.5;67.8;70;50;10;U0713  AUTRES EXAMENS ET OBSERVATIONS COVID-19;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:44";="600100648";U0713;3;0;6.6666666667;6;80;83;33.333333333;3;U0713  AUTRES EXAMENS ET OBSERVATIONS COVID-19;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 14:21:25";="620003350";U0713;7;0;10;5;83.571428571;86;57.142857143;7;U0713  AUTRES EXAMENS ET OBSERVATIONS COVID-19;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:40:33";="590001749";U0713;3;0;14.333333333;8;79.333333333;79;33.333333333;3;U0713  AUTRES EXAMENS ET OBSERVATIONS COVID-19;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:50:57";="020000261";U0713;187;1.0695187166;6.6470588235;4;32.715317559;11;53.475935829;187;U0713  AUTRES EXAMENS ET OBSERVATIONS COVID-19;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:13:52";="620100651";U0713;25;64;6.76;4;26.053369863;0;52;25;U0713  AUTRES EXAMENS ET OBSERVATIONS COVID-19;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/30 08:35:49";="590780284";U0713;11;0;12.545454545;8;66;76;63.636363636;11;U0713  AUTRES EXAMENS ET OBSERVATIONS COVID-19;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 10:32:57";="590797353";U0713;131;0;4.2824427481;2;17.46445676;4;51.908396947;131;U0713  AUTRES EXAMENS ET OBSERVATIONS COVID-19;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 11:29:39";="590782421";U0713;114;0.8771929825;9.9473684211;9;68.212833453;72;55.263157895;114;U0713  AUTRES EXAMENS ET OBSERVATIONS COVID-19;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 14:11:26";="590782165";U0713;1496;0.3342245989;7.3429144385;5;63.067513369;68;43.114973262;1496;U0713  AUTRES EXAMENS ET OBSERVATIONS COVID-19;2023.7;X590782165;30AUG23;14:10:49
