"champ";"statut";"annee";"periode";"date du resultat";"ipe";mode;ponder;pct_ponder;ponder_cn;dms;age_moy;age_med;pct_homme;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:18";="800000036";62;1;12.5;1;5;82;82;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:18";="800000036";71;1;12.5;1;7;88;88;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:18";="800000036";8;3;37.5;3;9;87;86;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:18";="800000036";8U;3;37.5;3;18.333333333;88.333333333;95;33.333333333;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:14";="600100168";71;2;7.6923076923;2;9;72.5;72.5;100;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:14";="600100168";72;1;3.8461538462;1;6;94;94;100;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:14";="600100168";8;23;88.461538462;23;12.913043478;75.826086957;79;43.47826087;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:05";="020000022";62;2;5.1282051282;2;2;68.5;68.5;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:05";="020000022";71;17;43.58974359;17;14.529411765;80.647058824;83;47.058823529;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:05";="020000022";74;2;5.1282051282;2;9;83;83;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:05";="020000022";8;15;38.461538462;15;23.533333333;83.466666667;84;46.666666667;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:05";="020000022";87;3;7.6923076923;3;18.666666667;84.333333333;88;33.333333333;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:03";="590782439";71;3;13.636363636;3;9.3333333333;85;83;33.333333333;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:03";="590782439";8;17;77.272727273;17;5.7647058824;69.882352941;84;52.941176471;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:03";="590782439";87;1;4.5454545455;1;10;71;71;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:03";="590782439";8U;1;4.5454545455;1;12;91;91;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:55:01";="590049565";71;7;100;7;34.142857143;72.142857143;68;71.428571429;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:38:42";="020000253";71;5;4.9019607843;5;17.6;78;80;40;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:42";="020000253";8;52;50.980392157;52;11.230769231;73.428609062;79.5;50;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:42";="020000253";85;45;44.117647059;45;12.822222222;78.066666667;80;55.555555556;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:37:54";="620003376";71;2;3.0303030303;2;27;79;79;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:54";="620003376";8;19;28.787878788;19;3.4210526316;70.578947368;72;42.105263158;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:54";="620003376";85;45;68.181818182;45;8.1333333333;77.288888889;78;51.111111111;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:05:58";="620101337";62;1;0.4587155963;1;13;84;84;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:58";="620101337";71;7;3.2110091743;7;14.428571429;64.571428571;68;28.571428571;2023.7;X620101337;25AUG23;12:05:23
