"champ";"statut";"annee";"periode";"date du resultat";"ipe";let_ghm;adnp_11;adnp_10;adnp_21;adnp_20;adnp_v1;adnp_v0;adnp_x1;adnp_x0;Total_Dans;Total_Hors;Total;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:14";="800000036";M;0;0;8;0;0;1;0;0;8;1;9;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:14";="800000036";Z;0;0;0;0;0;5;0;0;0;5;5;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:11";="600100168";C;0;0;59;0;0;0;0;0;59;0;59;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:11";="600100168";K;0;0;9;0;0;0;0;0;9;0;9;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:11";="600100168";M;1;0;254;0;0;0;0;0;255;0;255;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:11";="600100168";Z;0;0;0;0;0;170;0;0;0;170;170;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:14:59";="020000022";M;9;0;28;0;0;0;0;0;37;0;37;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:59";="020000022";Z;0;0;0;0;0;30;0;0;0;30;30;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:00";="590782439";M;5;0;57;0;0;0;0;0;62;0;62;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:00";="590782439";Z;0;0;0;4;0;2;0;0;0;6;6;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/24 14:38:28";="020000253";C;2;0;154;0;0;0;0;0;156;0;156;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:28";="020000253";K;1;0;68;0;0;1;0;0;69;1;70;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:28";="020000253";M;2;0;119;1;0;315;0;0;121;316;437;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:28";="020000253";Z;0;0;0;1;0;2233;0;0;0;2234;2234;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:37:48";="620003376";C;4;0;1190;1;8;0;0;0;1202;1;1203;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:48";="620003376";K;2;0;293;0;19;8;0;0;314;8;322;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:48";="620003376";M;7;0;72;0;8;173;0;0;87;173;260;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:48";="620003376";Z;0;0;0;0;0;149;0;0;0;149;149;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:05:50";="620101337";C;0;0;79;0;3;0;0;0;82;0;82;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:50";="620101337";K;0;0;75;1;6;5;0;0;81;6;87;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:50";="620101337";M;1;0;85;0;14;113;0;0;100;113;213;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:50";="620101337";Z;0;0;3;1;4;345;0;0;7;346;353;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:46:54";="800000077";Z;0;0;0;0;24;0;0;0;24;0;24;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:10:04";="590782645";M;0;0;4;0;0;2;0;0;4;2;6;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:04";="590782645";Z;0;0;0;0;0;5;0;0;0;5;5;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:28";="600100572";M;0;0;0;0;7;0;0;0;7;0;7;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:44:35";="020004495";M;1;0;58;0;2;173;0;0;61;173;234;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:35";="020004495";Z;0;0;0;0;0;1;0;0;0;1;1;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:28:36";="590782652";C;0;0;572;0;0;3;0;0;572;3;575;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:36";="590782652";K;0;0;67;0;0;2;0;0;67;2;69;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:36";="590782652";M;4;0;31;0;0;338;0;0;35;338;373;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:36";="590782652";Z;0;0;0;399;0;12;0;0;0;411;411;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:39";="600100648";C;0;0;6;0;13;0;0;0;19;0;19;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:39";="600100648";K;0;0;9;0;14;0;0;0;23;0;23;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:39";="600100648";M;0;0;5;0;21;45;0;0;26;45;71;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:39";="600100648";Z;0;0;0;0;0;47;0;0;0;47;47;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:05:25";="620000026";C;0;0;409;0;0;0;0;0;409;0;409;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:25";="620000026";K;0;0;60;0;3;1;0;0;63;1;64;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:25";="620000026";M;1;0;69;0;0;1;0;0;70;1;71;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:25";="620000026";Z;0;0;0;5;0;85;0;0;0;90;90;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 14:21:19";="620003350";K;0;0;1;0;0;0;0;0;1;0;1;2023.7;X620003350;29AUG23;14:20:57
