"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghm;effh;sdstoth;dmsh;dms;nbjth;delta;diff;signe;absdiff;x;periode;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:01";="800000036";23K02Z;33;33;1;0.9249499923;30.523349746;-2.476650254;-0.075050008;-;0.0750500077;0;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:01";="800000036";23Z02Z;17;186;10.941176471;16.437407068;279.43592016;93.435920157;5.4962305975;+;5.4962305975;0;1;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:01";="800000036";23K02Z;90;90;1;0.9296963221;83.67266899;-6.32733101;-0.070303678;-;0.0703036779;0;1;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";23M20Z;11;23;2.0909090909;4.6711616763;51.38277844;28.38277844;2.5802525854;+;2.5802525854;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";06C251;10;11;1.1;1.8514720961;18.514720961;7.5147209609;0.7514720961;+;0.7514720961;1;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";06C121;10;10;1;1.5534644996;15.534644996;5.5346449957;0.5534644996;+;0.5534644996;2;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";23M20T;79;0;0;0.2768325139;21.869768599;21.869768599;0.2768325139;+;0.2768325139;3;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";06C191;10;14;1.4;1.6559111346;16.559111346;2.5591113462;0.2559111346;+;0.2559111346;4;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";23M06T;10;0;0;0.1952434612;1.9524346124;1.9524346124;0.1952434612;+;0.1952434612;5;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";06C141;10;14;1.4;1.5889314698;15.889314698;1.8893146979;0.1889314698;+;0.1889314698;6;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";07M13Z;10;0;0;0.1682002996;1.6820029959;1.6820029959;0.1682002996;+;0.1682002996;7;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";05M17T;69;0;0;0.1551226341;10.703461752;10.703461752;0.1551226341;+;0.1551226341;8;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";11C131;13;25;1.9230769231;1.9476425053;25.319352569;0.3193525686;0.0245655822;+;0.0245655822;9;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";05M092;11;96;8.7272727273;7.8226815817;86.049497399;-9.950502601;-0.904591146;-;0.9045911455;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";23Z02Z;11;184;16.727272727;15.896628806;174.86291687;-9.137083132;-0.830643921;-;0.8306439211;1;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";09C081;11;16;1.4545454545;1.2968308287;14.265139116;-1.734860884;-0.157714626;-;0.1577146258;2;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";23K02Z;168;168;1;0.9249499923;155.39159871;-12.60840129;-0.075050008;-;0.0750500077;3;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";23M20Z;63;152;2.4126984127;4.596530832;289.58144242;137.58144242;2.1838324193;+;2.1838324193;0;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";11M19Z;14;30;2.1428571429;3.3845713195;47.383998472;17.383998472;1.2417141766;+;1.2417141766;1;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";07C141;43;47;1.0930232558;1.877078555;80.714377867;33.714377867;0.7840552992;+;0.7840552992;2;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";16M111;14;30;2.1428571429;2.7703840624;38.785376874;8.7853768741;0.6275269196;+;0.6275269196;3;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";06C251;12;15;1.25;1.8198017149;21.837620579;6.8376205788;0.5698017149;+;0.5698017149;4;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";06C121;35;39;1.1142857143;1.5284469503;53.49564326;14.49564326;0.414161236;+;0.414161236;5;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";11C111;12;15;1.25;1.5607601713;18.729122056;3.7291220557;0.3107601713;+;0.3107601713;6;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";06C191;22;28;1.2727272727;1.5486228218;34.06970208;6.0697020798;0.2758955491;+;0.2758955491;7;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";06C141;21;26;1.2380952381;1.510959682;31.730153322;5.730153322;0.2728644439;+;0.2728644439;8;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";23M20T;187;0;0;0.2574629223;48.145566478;48.145566478;0.2574629223;+;0.2574629223;9;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";23Z02Z;14;350;25;16.437407068;230.12369895;-119.876301;-8.562592932;-;8.5625929319;0;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";05M092;15;152;10.133333333;8.0701179821;121.05176973;-30.94823027;-2.063215351;-;2.0632153512;1;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";16M112;11;88;8;7.0099133831;77.109047214;-10.89095279;-0.990086617;-;0.9900866169;2;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";06C042;10;85;8.5;7.6933953312;76.933953312;-8.066046688;-0.806604669;-;0.8066046688;3;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";11C131;38;78;2.0526315789;1.9110141842;72.618538998;-5.381461002;-0.141617395;-;0.1416173948;4;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";13C041;14;29;2.0714285714;1.9446939921;27.22571589;-1.77428411;-0.126734579;-;0.1267345793;5;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";23K02Z;478;478;1;0.9296963221;444.39484197;-33.60515803;-0.070303678;-;0.0703036779;6;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";11C132;11;53;4.8181818182;4.7534651636;52.288116799;-0.711883201;-0.064716655;-;0.0647166546;7;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";09M053;10;105;10.5;11.306101695;113.06101695;8.0610169492;0.8061016949;+;0.8061016949;0;1;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";04M053;16;185;11.5625;11.587128312;185.39405299;0.3940529862;0.0246283116;+;0.0246283116;1;1;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";04M073;22;296;13.454545455;12.277255247;270.09961544;-25.90038456;-1.177290207;-;1.1772902074;0;1;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";04M22Z;26;0;0;0.0923363083;2.4007440146;2.4007440146;0.0923363083;+;0.0923363083;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";05M20Z;59;0;0;0.0445450494;2.6281579133;2.6281579133;0.0445450494;+;0.0445450494;1;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";05M13T;33;15;0.4545454545;0.370134405;12.214435364;-2.785564636;-0.08441105;-;0.0844110496;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";23M103;19;124;6.5263157895;10.889236012;206.89548424;82.895484237;4.362920223;+;4.362920223;0;1;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";05M092;11;61;5.5454545455;8.0701179821;88.771297803;27.771297803;2.5246634366;+;2.5246634366;1;1;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";23M102;17;88;5.1764705882;6.5446304045;111.25871688;23.258716876;1.3681598162;+;1.3681598162;2;1;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";05M081;17;42;2.4705882353;2.7093216498;46.058468047;4.0584680465;0.2387334145;+;0.2387334145;3;1;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";04M22Z;39;0;0;0.0866361033;3.3788080299;3.3788080299;0.0866361033;+;0.0866361033;4;1;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";04M202;10;73;7.3;7.3450097623;73.450097623;0.4500976226;0.0450097623;+;0.0450097623;5;1;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";05M20Z;127;0;0;0.0379248955;4.8164617232;4.8164617232;0.0379248955;+;0.0379248955;6;1;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";06M12T;34;16;0.4705882353;0.5065292677;17.221995101;1.2219951009;0.0359410324;+;0.0359410324;7;1;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";23M19Z;10;0;0;0.0281619491;0.2816194912;0.2816194912;0.0281619491;+;0.0281619491;8;1;2023.7;X590782439;22AUG23;19:09:40
