"champ";"statut";"annee";"periode";"date du resultat";"ipe";titre;nb;periode;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:01";="800000036";Nombre  de journées;1006;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:01";="800000036";Nombre  de journées standardisées;774.44583486;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:01";="800000036";Performance Globale;0.7698268736;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:01";="800000036";Nombre  de journées;2011;1;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:01";="800000036";Nombre  de journées standardisées;1834.5852105;1;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:01";="800000036";Performance Globale;0.9122750922;1;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";Nombre  de journées;1875;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";Nombre  de journées standardisées;1931.3223834;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";Performance Globale;1.0300386045;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";Nombre  de journées;4298;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";Nombre  de journées standardisées;4354.4236394;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:59";="600100168";Performance Globale;1.0131278826;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";Nombre  de journées;1487;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";Nombre  de journées standardisées;1257.1301234;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";Performance Globale;0.8454136674;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";Nombre  de journées;3290;1;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";Nombre  de journées standardisées;3469.1886686;1;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";Performance Globale;1.0544646409;1;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:09:48";="590782439";Nombre  de journées;988;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:48";="590782439";Nombre  de journées standardisées;996.26171948;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:48";="590782439";Performance Globale;1.0083620642;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:48";="590782439";Nombre  de journées;2287;1;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:48";="590782439";Nombre  de journées standardisées;2557.1187082;1;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:48";="590782439";Performance Globale;1.1181104977;1;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:54:46";="590049565";Nombre  de journées;995;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:54:46";="590049565";Nombre  de journées standardisées;667.65840986;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:54:46";="590049565";Performance Globale;0.6710134772;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:54:46";="590049565";Nombre  de journées;2383;1;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:54:46";="590049565";Nombre  de journées standardisées;1857.4269987;1;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:54:46";="590049565";Performance Globale;0.7794490133;1;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:38:10";="020000253";Nombre  de journées;9428;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:10";="020000253";Nombre  de journées standardisées;9795.2163311;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:10";="020000253";Performance Globale;1.0389495472;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:10";="020000253";Nombre  de journées;22254;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:10";="020000253";Nombre  de journées standardisées;24008.600363;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:10";="020000253";Performance Globale;1.078844269;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:37:30";="620003376";Nombre  de journées;6061;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:30";="620003376";Nombre  de journées standardisées;6287.0679714;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:30";="620003376";Performance Globale;1.0372987909;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:30";="620003376";Nombre  de journées;4711;1;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:30";="620003376";Nombre  de journées standardisées;5342.4850995;1;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:30";="620003376";Performance Globale;1.1340448099;1;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:05:35";="620101337";Nombre  de journées;16960;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:35";="620101337";Nombre  de journées standardisées;15791.559306;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:35";="620101337";Performance Globale;0.9311060912;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:35";="620101337";Nombre  de journées;38004;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:35";="620101337";Nombre  de journées standardisées;36975.395921;1;2023.7;X620101337;25AUG23;12:05:23
