"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;code1;code13;nombre;montant;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/01 18:27:05";="590000188";9006062;9006062;3400890060622;2;7.16;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:27:05";="590000188";9011778;9011778;3400890117784;214;7774.62;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:27:05";="590000188";9098087;9098087;3400890980876;29.985;384.71;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:27:05";="590000188";9137189;9137189;3400891371895;124.759;2038.57;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:27:05";="590000188";9167977;9167977;3400891679779;711.715;10170.62;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:27:05";="590000188";9175304;9175304;3400891753042;357.631;32497.56;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:27:05";="590000188";9184438;9184438;3400891844382;67.647;2331.07;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:27:05";="590000188";9186443;9186443;3400891864434;1;3.73;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:27:05";="590000188";9190628;9190628;3400891906288;15.887;0;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:27:05";="590000188";9190634;9190634;3400891906349;15.21;0;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:27:05";="590000188";9208280;9208280;3400892082806;1;3.72;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:27:05";="590000188";9233622;9233622;3400892336220;61.08;124.63;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:27:05";="590000188";9240740;9240740;3400892407401;538.543;4895.91;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:27:05";="590000188";9302346;9302346;3400893023464;24.07;285.71;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:27:05";="590000188";9313137;9313137;3400893131374;276.706;12428.14;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:27:05";="590000188";9334872;9334872;3400893348727;733.895;5057.76;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:27:05";="590000188";9350948;9350948;3400893509487;360.381;7358.93;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:27:05";="590000188";9355029;9355029;3400893550298;74.791;458.44;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:27:05";="590000188";9362271;9362271;3400893622711;654.575;14704.68;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:27:05";="590000188";9363247;9363247;3400893632475;80.301;1639.4;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:27:05";="590000188";9365536;9365536;3400893655368;271.175;3503.85;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:27:05";="590000188";9384485;9384485;3400893844854;383.684;5476.34;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:27:05";="590000188";9401350;9401350;3400894013501;583.893;23544.7;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:27:05";="590000188";9403053;9403053;3400894030539;189;1062.18;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:27:05";="590000188";9403076;9403076;3400894030768;205.4;5137.05;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:27:05";="590000188";9433083;9433083;3400894330837;198.581;3232.72;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/07 20:01:05";="590781902";9031108;9031108;3400890311083;41;447.49;2023.7;X590781902;07SEP23;20:00:41
