"champ";"statut";"annee";"periode";"date du resultat";"ipe";modesh;COUNT;PERCENT;count2;percent2;evol;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:40:59";="800000036";62;30;7.4074074074;48;11.267605634;-34.25925926;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:59";="800000036";71;15;3.7037037037;21;4.9295774648;-24.86772487;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:59";="800000036";72;4;0.987654321;7;1.6431924883;-39.89417989;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:59";="800000036";73;1;0.2469135802;;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:59";="800000036";74;;0;1;0.234741784;-100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:59";="800000036";76;9;2.2222222222;8;1.8779342723;18.333333333;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:59";="800000036";8;263;64.938271605;254;59.624413146;8.9122193059;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:59";="800000036";87;50;12.345679012;40;9.3896713615;31.481481481;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:59";="800000036";9;33;8.1481481481;47;11.03286385;-26.1465721;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:30:57";="600100168";71;30;0.621761658;33;0.6976744186;-10.88082902;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:57";="600100168";72;100;2.0725388601;106;2.2410147992;-7.517841431;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:57";="600100168";8;4682;97.03626943;4563;96.469344609;0.587673549;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:57";="600100168";9;13;0.2694300518;28;0.5919661734;-54.48556625;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:14:36";="020000022";62;127;21.452702703;91;18.309859155;17.164760915;2023.7;X020000022;18AUG23;15:14:25
