"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;aff;ghm;ponder;dms;pct_rea;pct_si;pct_sc;age_moy;age_med;pct_homme;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:24";="800000036";04M052 Pneumonies et pleurésies banales, âge supérieur à 17 ans, niveau 2;0;04M052;1;15;0;0;0;75;75;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:24";="800000036";08M102 Maladies osseuses et arthropathies spécifiques, niveau 2;0;08M102;1;12;0;0;0;90;90;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:24";="800000036";12M064 Prostatites aigües et orchites, niveau 4;0;12M064;1;54;0;0;0;88;88;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:24";="800000036";23K02Z Explorations nocturnes et apparentées : séjours de moins de 2 jours;0;23K02Z;1;1;0;0;0;42;42;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:24";="800000036";23M062 Autres facteurs influant sur l'état de santé, niveau 2;0;23M062;1;12;0;0;0;84;84;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:24";="800000036";23Z02Z Soins Palliatifs, avec ou sans acte;0;23Z02Z;1;19;0;0;0;83;83;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:18";="600100168";23M08J Autres motifs de recours chez un patient diabétique, en ambulatoire;0;23M08J;33;0;0;0;0;63.606060606;63;72.727272727;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:18";="600100168";04M111 Signes et symptômes respiratoires, niveau 1;0;04M111;2;2;0;0;0;51;51;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:18";="600100168";16M111 Autres troubles de la lignée érythrocytaire, âge supérieur à 17 ans, niveau 1;0;16M111;2;2;0;0;0;64;64;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:18";="600100168";04M103 Embolies pulmonaires, niveau 3;0;04M103;1;5;0;0;0;58;58;100;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:18";="600100168";04M203 Bronchopneumopathies chroniques surinfectées, niveau 3;0;04M203;1;8;0;0;0;87;87;100;2023.7;X600100168;11AUG23;8:30:51
