"champ";"statut";"annee";"periode";"date du resultat";"ipe";mois_e;semaine_e;ponder;dms;moy_age;med_age;pct_homme;pct_rea;pct_si;pct_sc;annee_e;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:23";="800000036";12;;3;29.333333333;82;83;100;0;0;0;2022;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:23";="800000036";1;;1;12;90;90;100;0;0;0;2023;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:23";="800000036";2;;1;1;42;42;100;0;0;0;2023;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:23";="800000036";6;;1;12;84;84;0;0;0;0;2023;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:23";="800000036";99;;6;18.833333333;77;83.5;83.333333333;0;0;0;9999;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:18";="600100168";1;;9;1.1111111111;66.333333333;70;66.666666667;0;0;0;2023;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:18";="600100168";2;;4;0.5;64.25;64.5;75;0;0;0;2023;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:18";="600100168";3;;11;0.4545454545;57;58;54.545454545;0;0;0;2023;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:18";="600100168";4;;2;4;70.5;70.5;100;0;0;0;2023;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:18";="600100168";5;;4;0;62.75;62.5;50;0;0;0;2023;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:18";="600100168";6;;7;6;77.714285714;74;57.142857143;0;0;0;2023;2023.7;X600100168;11AUG23;8:30:51
