"champ";"statut";"annee";"periode";"date du resultat";"ipe";mois;semaine;ponder;dms;moy_age;med_age;pct_homme;pct_rea;pct_si;pct_sc;annee;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:23";="800000036";1;;4;25;84;85.5;100;0;0;0;2023;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:23";="800000036";2;;1;1;42;42;100;0;0;0;2023;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:23";="800000036";6;;1;12;84;84;0;0;0;0;2023;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:23";="800000036";99;;6;18.833333333;77;83.5;83.333333333;0;0;0;9999;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:18";="600100168";1;;9;1.1111111111;66.333333333;70;66.666666667;0;0;0;2023;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:18";="600100168";2;;4;0.5;64.25;64.5;75;0;0;0;2023;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:18";="600100168";3;;11;0.4545454545;57;58;54.545454545;0;0;0;2023;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:18";="600100168";4;;2;4;70.5;70.5;100;0;0;0;2023;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:18";="600100168";5;;4;0;62.75;62.5;50;0;0;0;2023;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:18";="600100168";6;;5;2;77;74;80;0;0;0;2023;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:18";="600100168";7;;8;4;65.625;69.5;50;0;0;0;2023;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:18";="600100168";99;;43;1.5581395349;64.720930233;66;62.790697674;0;0;0;9999;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:10";="020000022";1;;1;4;73;73;0;0;0;0;2023;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:10";="020000022";2;;5;15.2;79.6;80;60;0;0;0;2023;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:10";="020000022";3;;7;8.4285714286;84.857142857;90;42.857142857;0;0;0;2023;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:10";="020000022";4;;1;9;96;96;100;0;0;0;2023;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:10";="020000022";6;;3;5.3333333333;64.666666667;77;66.666666667;0;0;0;2023;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:10";="020000022";7;;4;7.5;72.75;77;25;0;0;0;2023;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:10";="020000022";99;;21;9.2380952381;78.380952381;84;47.619047619;0;0;0;9999;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:07";="590782439";1;;21;2.7619047619;57.904761905;52;33.333333333;0;0;4.7619047619;2023;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:07";="590782439";2;;12;3.5833333333;61.666666667;69.5;41.666666667;0;0;0;2023;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:07";="590782439";3;;23;3.6956521739;55.47826087;54;47.826086957;0;0;4.347826087;2023;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:07";="590782439";4;;14;2.0714285714;47.785714286;42;64.285714286;0;0;14.285714286;2023;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:07";="590782439";5;;18;2.1111111111;53.444444444;57.5;61.111111111;0;0;0;2023;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:07";="590782439";6;;23;2.3913043478;54.782608696;49;26.086956522;0;0;8.6956521739;2023;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:07";="590782439";7;;13;4.5384615385;54.153846154;58;30.769230769;0;0;15.384615385;2023;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:07";="590782439";99;;124;2.9596774194;55.056451613;55;42.741935484;0;0;6.4516129032;9999;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:55:04";="590049565";99;;;;;0;;;;;9999;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:38:46";="020000253";1;;3;10;80.666666667;90;33.333333333;0;33.333333333;33.333333333;2023;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:46";="020000253";2;;6;5.6666666667;69.833333333;64.5;33.333333333;0;66.666666667;0;2023;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:46";="020000253";3;;3;6.3333333333;72.666666667;72;66.666666667;0;66.666666667;0;2023;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:46";="020000253";4;;5;14.4;79.6;78;40;0;40;0;2023;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:46";="020000253";5;;7;11.571428571;70;70;42.857142857;0;71.428571429;0;2023;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:46";="020000253";6;;4;8.5;69.25;72.5;75;0;25;0;2023;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:46";="020000253";7;;1;8;64;64;0;0;0;0;2023;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:46";="020000253";99;;29;9.5862068966;72.689655172;71;44.827586207;0;51.724137931;3.4482758621;9999;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:37:58";="620003376";1;;6;5.8333333333;67.333333333;72.5;16.666666667;0;0;16.666666667;2023;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:58";="620003376";2;;2;0.5;43.5;43.5;50;0;0;0;2023;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:58";="620003376";5;;2;2;68.5;68.5;50;0;0;0;2023;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:58";="620003376";6;;2;0.5;64;64;50;0;0;0;2023;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:58";="620003376";99;;12;3.4166666667;63;58.5;33.333333333;0;0;8.3333333333;9999;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:06:07";="620101337";1;;24;9.2916666667;74.416666667;77.5;41.666666667;12.5;8.3333333333;8.3333333333;2023;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:07";="620101337";2;;15;9.7333333333;73.733333333;76;53.333333333;0;6.6666666667;6.6666666667;2023;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:07";="620101337";3;;15;8.9333333333;71.6;75;73.333333333;0;26.666666667;0;2023;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:07";="620101337";4;;12;6.0833333333;67.166666667;73.5;66.666666667;0;25;0;2023;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:07";="620101337";5;;23;7;71.356402621;75;56.52173913;0;21.739130435;0;2023;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:07";="620101337";6;;17;9.4705882353;79.176470588;81;64.705882353;5.8823529412;23.529411765;0;2023;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:07";="620101337";7;;2;2;78;78;100;0;0;0;2023;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:07";="620101337";99;;108;8.3518518519;73.288863521;76;58.333333333;3.7037037037;17.592592593;2.7777777778;9999;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:47:02";="800000077";1;;7;10.285714286;86.285714286;88;57.142857143;0;0;0;2023;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:02";="800000077";2;;5;13;85.8;88;40;0;0;0;2023;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:02";="800000077";3;;2;11.5;86.5;86.5;50;0;0;0;2023;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:02";="800000077";4;;2;7.5;78;78;50;0;0;0;2023;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:02";="800000077";5;;6;11.5;84.5;85.5;16.666666667;0;0;0;2023;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:02";="800000077";6;;5;15;88.6;88;0;0;0;0;2023;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:02";="800000077";7;;2;8.5;91;91;100;0;0;0;2023;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:02";="800000077";99;;29;11.586206897;86;88;37.931034483;0;0;0;9999;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:10:13";="590782645";2;;4;6.75;83.75;83.5;25;0;0;0;2023;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:13";="590782645";3;;5;14;87;84;20;0;0;0;2023;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:13";="590782645";6;;2;2.5;75;75;100;0;0;0;2023;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:13";="590782645";7;;1;12;95;95;0;0;0;0;2023;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:13";="590782645";99;;12;9.5;84.583333333;83.5;33.333333333;0;0;0;9999;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:35";="600100572";99;;;;;0;;;;;9999;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:44:42";="020004495";1;;12;9.8333333333;71.666666667;83;33.333333333;0;0;0;2023;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:42";="020004495";2;;10;8.2;67;70.5;50;0;0;0;2023;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:42";="020004495";3;;12;5.1666666667;62.333333333;65;41.666666667;0;0;0;2023;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:42";="020004495";4;;6;3;64.333333333;69.5;16.666666667;0;0;0;2023;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:42";="020004495";5;;4;1.75;57;57;25;0;0;0;2023;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:42";="020004495";6;;4;6.25;58.75;60.5;25;0;0;0;2023;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:42";="020004495";7;;6;1.5;54.833333333;56;33.333333333;0;0;0;2023;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:42";="020004495";99;;54;5.9444444444;64;65;35.185185185;0;0;0;9999;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:24:42";="020000055";3;;2;11.5;66;66;50;0;0;0;2023;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:42";="020000055";4;;1;11;79;79;0;0;0;0;2023;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:42";="020000055";5;;2;13;83;83;0;0;0;0;2023;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:42";="020000055";6;;1;35;91;91;0;0;0;0;2023;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:42";="020000055";7;;1;8;79;79;0;0;0;0;2023;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:42";="020000055";99;;7;14.714285714;78.142857143;79;14.285714286;0;0;0;9999;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:28:44";="590782652";1;;4;7.75;82.75;85.5;50;0;0;0;2023;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:44";="590782652";2;;3;9;80.333333333;78;100;0;0;0;2023;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:44";="590782652";3;;3;8;84.666666667;83;0;0;0;0;2023;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:44";="590782652";4;;2;1;91;91;50;0;0;0;2023;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:44";="590782652";5;;4;7.75;79.5;79.5;100;0;0;0;2023;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:44";="590782652";6;;2;5;68.5;68.5;50;0;0;0;2023;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:44";="590782652";7;;3;6.6666666667;61;58;66.666666667;0;0;0;2023;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:44";="590782652";99;;21;6.9047619048;78.380952381;80;61.904761905;0;0;0;9999;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:48:56";="590780052";99;;;;;0;;;;;9999;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 10:19:48";="600100648";6;;1;11;83;83;100;0;0;0;2023;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:48";="600100648";99;;1;11;83;83;100;0;0;0;9999;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:05:33";="620000026";1;;1;4;33;33;0;0;0;0;2023;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:33";="620000026";2;;2;8.5;67.5;67.5;50;0;0;0;2023;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:33";="620000026";5;;1;5;69;69;0;0;0;0;2023;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:33";="620000026";99;;4;6.5;59.25;65.5;25;0;0;0;9999;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:23:24";="590065223";99;;;;;0;;;;;9999;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 14:21:29";="620003350";1;;11;9.4545454545;87.545454545;88;36.363636364;0;0;9.0909090909;2023;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:29";="620003350";2;;15;11.066666667;87.2;90;13.333333333;0;0;6.6666666667;2023;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:29";="620003350";3;;8;7.375;82;84;62.5;0;0;0;2023;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:29";="620003350";4;;9;9.6666666667;85.111111111;85;22.222222222;0;0;22.222222222;2023;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:29";="620003350";5;;14;6.9285714286;80.071428571;83.5;50;0;0;7.1428571429;2023;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:29";="620003350";6;;4;9.75;78.5;86.5;75;0;0;50;2023;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:29";="620003350";7;;1;0;79;79;0;0;0;0;2023;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:29";="620003350";99;;62;8.9032258065;83.983870968;86;37.096774194;0;0;11.290322581;9999;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:29";="590000600";99;;;;;0;;;;;9999;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:25:04";="620025346";1;;9;7;70.111111111;75;0;0;0;0;2023;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:04";="620025346";2;;10;10;81;82;30;0;0;0;2023;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:04";="620025346";3;;8;12.875;87.125;90;25;0;0;0;2023;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:04";="620025346";4;;5;8.2;81.8;88;20;0;0;0;2023;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:04";="620025346";5;;3;12;89.333333333;87;33.333333333;0;0;0;2023;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:04";="620025346";6;;2;7;78.5;78.5;50;0;0;0;2023;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:04";="620025346";99;;37;9.6486486486;80.324324324;84;21.621621622;0;0;0;9999;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:40:38";="590001749";1;;3;6.6666666667;87.666666667;88;0;0;0;0;2023;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:38";="590001749";2;;1;4;93;93;0;0;0;0;2023;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:38";="590001749";3;;3;10;65;55;0;0;0;0;2023;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:38";="590001749";6;;5;5.6;76.6;82;20;0;0;0;2023;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:38";="590001749";7;;2;11;90.5;90.5;0;0;0;0;2023;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:38";="590001749";99;;14;7.4285714286;79.642857143;85;7.1428571429;0;0;0;9999;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:46:47";="590781670";1;;10;7.2;81.3;81.5;50;0;0;0;2023;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:47";="590781670";2;;8;8.5;85.5;89;62.5;0;0;0;2023;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:47";="590781670";3;;6;7.8333333333;80.5;80;0;0;0;0;2023;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:47";="590781670";4;;1;0;67;67;100;0;0;0;2023;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:47";="590781670";5;;1;16;63;63;100;0;0;0;2023;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:47";="590781670";6;;3;9.3333333333;85;89;33.333333333;0;0;0;2023;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:47";="590781670";7;;5;14.8;86.2;89;40;0;0;0;2023;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:47";="590781670";99;;34;8.9705882353;82.235294118;87;44.117647059;0;0;0;9999;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:51:02";="020000261";1;;20;6.1;60.8;62;20;0;10;0;2023;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:51:02";="020000261";2;;18;4.6666666667;58.555555556;58.5;22.222222222;0;0;0;2023;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:51:02";="020000261";3;;33;6.3939393939;57.242424242;57;21.212121212;0;0;0;2023;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:51:02";="020000261";4;;24;7.3333333333;64.166666667;69;41.666666667;0;0;0;2023;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:51:02";="020000261";5;;15;8.2;59.866666667;67;6.6666666667;0;6.6666666667;0;2023;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:51:02";="020000261";6;;19;5.6315789474;66.736842105;73;26.315789474;0;5.2631578947;0;2023;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:51:02";="020000261";7;;15;4.7333333333;60.933333333;67;20;0;0;0;2023;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:51:02";="020000261";99;;144;6.2083333333;60.965277778;64;23.611111111;0;2.7777777778;0;9999;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:13:59";="620100651";1;;37;6.7567567568;68.27027027;71;54.054054054;5.4054054054;5.4054054054;2.7027027027;2023;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:59";="620100651";2;;22;7.2272727273;73.045454545;75.5;36.363636364;0;0;9.0909090909;2023;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:59";="620100651";3;;22;3.5909090909;67.863636364;70;68.181818182;4.5454545455;4.5454545455;4.5454545455;2023;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:59";="620100651";4;;21;6.1428571429;64.142857143;67;47.619047619;4.7619047619;9.5238095238;9.5238095238;2023;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:59";="620100651";5;;14;3.5;66.428571429;72;50;0;0;0;2023;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:59";="620100651";6;;15;11.066666667;72.2;74;53.333333333;6.6666666667;6.6666666667;13.333333333;2023;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:59";="620100651";7;;11;6;69.636363636;71;63.636363636;0;9.0909090909;0;2023;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:59";="620100651";99;;142;6.323943662;68.676056338;71;52.816901408;3.5211267606;4.9295774648;5.6338028169;9999;2023.7;X620100651;29AUG23;16:13:10
