"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;aff;diag_ct;ponder;dms;pct_rea;pct_si;pct_sc;age_moy;age_med;pct_homme;pct_dp;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:23";="800000036";J18    PNEUMOPATHIE A MICRO-ORG. SAI;0;J18;1;15;0;0;0;75;75;100;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:23";="800000036";M11    ARTHROPATHIES DUES A DES MICROCRISTAUX, NCA;0;M11;1;12;0;0;0;90;90;100;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:23";="800000036";N41    AFF. INFL. DE LA PROSTATE;0;N41;1;54;0;0;0;88;88;100;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:23";="800000036";Z04    EX. ET OBS. POUR D'AUTRES RAISONS;0;Z04;1;1;0;0;0;42;42;100;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:23";="800000036";Z51    SOINS MED., NCA;0;Z51;1;19;0;0;0;83;83;100;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:23";="800000036";Z74    DIFF. LIEES A UNE DEPENDANCE ENVERS LA PERSONNE QUI DONNE LES SOINS;0;Z74;1;12;0;0;0;84;84;0;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:18";="600100168";Z71    SUJETS EN CONTACT AVEC SERV. DE SANTE POUR CONSEILS, AVIS MED., NCA;0;Z71;33;0;0;0;0;63.606060606;63;72.727272727;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:18";="600100168";R06    ANOM. DE LA RESPIRATION;0;R06;2;2;0;0;0;51;51;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:18";="600100168";C61    T.M. DE LA PROSTATE;0;C61;1;8;0;0;0;69;69;100;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:18";="600100168";D50    ANEMIE PAR CARENCE EN FER;0;D50;1;2;0;0;0;40;40;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:18";="600100168";D63    ANEMIE AVEC MAL. CHRON. CL. AILL.;0;D63;1;21;0;0;0;86;86;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:18";="600100168";D64    ANEMIES, NCA;0;D64;1;2;0;0;0;88;88;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:18";="600100168";I26    EMBOLIE PULM.;0;I26;1;5;0;0;0;58;58;100;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:18";="600100168";J44    MAL. PULM. OBSTRU. CHRON., NCA;0;J44;1;8;0;0;0;87;87;100;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:18";="600100168";M06    POLYARTHRITES RHUMATOIDES, NCA;0;M06;1;11;0;0;0;73;73;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:18";="600100168";M10    GOUTTE;0;M10;1;6;0;0;0;81;81;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:11";="020000022";J15    PNEUMOPATHIES BACT., NCA;0;J15;4;12.25;0;0;0;91.5;93;50;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:11";="020000022";A41    SEPSIS, NCA;0;A41;2;10;0;0;0;71;71;100;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:11";="020000022";A46    ERYSIPELE;0;A46;2;9;0;0;0;80;80;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:11";="020000022";I50    INSUF. CARD.;0;I50;2;9;0;0;0;86.5;86.5;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:11";="020000022";C85    LYMPHOME NON HODGKINIEN, DE TYPES NCA OU SAI;0;C85;1;17;0;0;0;84;84;100;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:11";="020000022";D50    ANEMIE PAR CARENCE EN FER;0;D50;1;2;0;0;0;90;90;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:11";="020000022";F32    EPISODES DEPRES.;0;F32;1;4;0;0;0;73;73;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:11";="020000022";I26    EMBOLIE PULM.;0;I26;1;27;0;0;0;66;66;100;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:11";="020000022";I48    FIBRILLATION ET FLUTTER AURICULAIRES;0;I48;1;11;0;0;0;95;95;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:11";="020000022";K62    MAL. DE L'ANUS ET DU RECTUM, NCA;0;K62;1;12;0;0;0;77;77;100;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:11";="020000022";R07    DOULEUR NIV. GORGE ET THOR.;0;R07;1;0;0;0;0;32;32;100;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:11";="020000022";Z04    EX. ET OBS. POUR D'AUTRES RAISONS;0;Z04;1;1;0;0;0;42;42;100;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:11";="020000022";Z51    SOINS MED., NCA;0;Z51;1;1;0;0;0;96;96;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:11";="020000022";Z54    CONVALESCENCE;0;Z54;1;8;0;0;0;65;65;100;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:11";="020000022";Z74    DIFF. LIEES A UNE DEPENDANCE ENVERS LA PERSONNE QUI DONNE LES SOINS;0;Z74;1;6;0;0;0;85;85;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:07";="590782439";R07    DOULEUR NIV. GORGE ET THOR.;0;R07;19;0.2631578947;0;0;0;45.894736842;49;57.894736842;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:07";="590782439";R10    DOULEUR ABDO. ET PELVIENNE;0;R10;14;0.3571428571;0;0;0;39.142857143;37.5;35.714285714;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:07";="590782439";I48    FIBRILLATION ET FLUTTER AURICULAIRES;0;I48;8;3.75;0;0;62.5;73.375;72.5;50;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:07";="590782439";J44    MAL. PULM. OBSTRU. CHRON., NCA;0;J44;8;4.625;0;0;0;59.5;60;37.5;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:07";="590782439";Z09    EX. DE CTRL. APRES TRAITEMENT D'AFF. AUTRES QUE LES TUM. MALIGNE;0;Z09;7;0;0;0;0;59.428571429;57;71.428571429;0;2023.7;X590782439;22AUG23;19:09:40
