"champ";"statut";"annee";"periode";"date du resultat";"ipe";exofj;mfj0;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:02";="800000036";A: FJ à la charge de l'assuré;montant FJ numérique;235;58.024691358;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:02";="800000036";R: FJ à la charge de AMO;montant FJ numérique;2;0.4938271605;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:02";="800000036";FJ non applicable;montant FJ numérique;122;30.12345679;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:02";="800000036";FJ non applicable;montant FJ non numérique ou à 0;45;11.111111111;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:02";="800000036";Séjours en attente de taux de prise en charge;montant FJ numérique;1;0.2469135802;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:01";="600100168";A: FJ à la charge de l'assuré;montant FJ numérique;1069;22.155440415;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:01";="600100168";A: FJ à la charge de l'assuré;montant FJ non numérique ou à 0;9;0.1865284974;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:01";="600100168";L: FJ à la charge du régime Als-Mos;montant FJ non numérique ou à 0;1;0.0207253886;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:01";="600100168";R: FJ à la charge de AMO;montant FJ numérique;1;0.0207253886;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:01";="600100168";R: FJ à la charge de AMO;montant FJ non numérique ou à 0;10;0.207253886;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:01";="600100168";FJ non applicable;montant FJ numérique;640;13.264248705;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:01";="600100168";FJ non applicable;montant FJ non numérique ou à 0;3095;64.14507772;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:14:41";="020000022";A: FJ à la charge de l'assuré;montant FJ numérique;393;66.385135135;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:41";="020000022";L: FJ à la charge du régime Als-Mos;montant FJ numérique;1;0.1689189189;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:41";="020000022";R: FJ à la charge de AMO;montant FJ non numérique ou à 0;5;0.8445945946;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:41";="020000022";FJ non applicable;montant FJ numérique;6;1.0135135135;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:41";="020000022";FJ non applicable;montant FJ non numérique ou à 0;184;31.081081081;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:41";="020000022";X: séjours non facturables, en attente de droits ou pb de codage;montant FJ non numérique ou à 0;2;0.3378378378;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:41";="020000022";Séjours en attente de taux de prise en charge;montant FJ non numérique ou à 0;1;0.1689189189;2023.7;X020000022;18AUG23;15:14:25
