"champ";"statut";"annee";"periode";"date du resultat";"ipe";motif_nonf;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:04";="800000036";.;;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:03";="600100168";1 Patient AME;6;40;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:03";="600100168";3 Patient payant;4;26.666666667;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:03";="600100168";9 Autre situation;5;33.333333333;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:14:45";="020000022";2 Patient sous convention internationale;1;50;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:45";="020000022";9 Autre situation;1;50;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:09:52";="590782439";1 Patient AME;1;4.347826087;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:52";="590782439";2 Patient sous convention internationale;21;91.304347826;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:52";="590782439";9 Autre situation;1;4.347826087;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:54:49";="590049565";.;;;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:38:16";="020000253";1 Patient AME;28;21.875;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:16";="020000253";2 Patient sous convention internationale;15;11.71875;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:16";="020000253";3 Patient payant;22;17.1875;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:16";="020000253";4 Patient pris en charge dans le cadre du dispositif des soins urgents;10;7.8125;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:16";="020000253";9 Autre situation;53;41.40625;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:37:35";="620003376";1 Patient AME;7;11.475409836;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:35";="620003376";2 Patient sous convention internationale;6;9.8360655738;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:35";="620003376";3 Patient payant;19;31.147540984;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:35";="620003376";5 Patient hospitalisé dans un autre établissement;14;22.950819672;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:35";="620003376";9 Autre situation;15;24.590163934;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:05:40";="620101337";1 Patient AME;30;10.909090909;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:40";="620101337";2 Patient sous convention internationale;45;16.363636364;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:40";="620101337";3 Patient payant;66;24;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:40";="620101337";4 Patient pris en charge dans le cadre du dispositif des soins urgents;127;46.181818182;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:40";="620101337";9 Autre situation;7;2.5454545455;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:46:41";="800000077";.;;;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:09:54";="590782645";1 Patient AME;1;100;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:20";="600100572";.;;;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:44:26";="020004495";1 Patient AME;3;4;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:26";="020004495";2 Patient sous convention internationale;59;78.666666667;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:26";="020004495";3 Patient payant;2;2.6666666667;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:26";="020004495";9 Autre situation;11;14.666666667;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:24:22";="020000055";2 Patient sous convention internationale;1;33.333333333;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:22";="020000055";9 Autre situation;2;66.666666667;2023.7;X020000055;29AUG23;9:24:09
