"champ";"statut";"annee";"periode";"date du resultat";"ipe";sej_fact;mam0;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:03";="800000036";1 Séjour facturable à l'AM;montant remboursé par l'AM numérique;404;99.75308642;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:03";="800000036";2 En attente de décision sur le taux de prise en charge du patient;montant remboursé par l'AM numérique;1;0.2469135802;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:01";="600100168";0 Séjour non facturable à l'AM;montant remboursé par l'AM numérique;6;0.1243523316;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:01";="600100168";0 Séjour non facturable à l'AM;montant remboursé par l'AM non numérique ou à 0;9;0.1865284974;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:01";="600100168";1 Séjour facturable à l'AM;montant remboursé par l'AM numérique;4810;99.689119171;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:14:42";="020000022";0 Séjour non facturable à l'AM;montant remboursé par l'AM non numérique ou à 0;2;0.3378378378;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:42";="020000022";1 Séjour facturable à l'AM;montant remboursé par l'AM numérique;582;98.310810811;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:42";="020000022";1 Séjour facturable à l'AM;montant remboursé par l'AM non numérique ou à 0;7;1.1824324324;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:42";="020000022";2 En attente de décision sur le taux de prise en charge du patient;montant remboursé par l'AM non numérique ou à 0;1;0.1689189189;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:09:51";="590782439";0 Séjour non facturable à l'AM;montant remboursé par l'AM non numérique ou à 0;23;2.3069207623;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:51";="590782439";1 Séjour facturable à l'AM;montant remboursé par l'AM numérique;970;97.291875627;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:51";="590782439";1 Séjour facturable à l'AM;montant remboursé par l'AM non numérique ou à 0;4;0.4012036108;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:54:48";="590049565";1 Séjour facturable à l'AM;montant remboursé par l'AM numérique;158;100;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:38:14";="020000253";Non renseigné;montant remboursé par l'AM non numérique ou à 0;3;0.0189000189;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:14";="020000253";0 Séjour non facturable à l'AM;montant remboursé par l'AM non numérique ou à 0;128;0.8064008064;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:14";="020000253";1 Séjour facturable à l'AM;montant remboursé par l'AM numérique;14536;91.576891577;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:14";="020000253";1 Séjour facturable à l'AM;montant remboursé par l'AM non numérique ou à 0;1206;7.5978075978;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:37:34";="620003376";Non renseigné;montant remboursé par l'AM non numérique ou à 0;1;0.007637669;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:34";="620003376";0 Séjour non facturable à l'AM;montant remboursé par l'AM non numérique ou à 0;61;0.465897808;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:34";="620003376";1 Séjour facturable à l'AM;montant remboursé par l'AM numérique;13031;99.526464523;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:05:38";="620101337";Non renseigné;montant remboursé par l'AM non numérique ou à 0;57;0.3286628611;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:38";="620101337";0 Séjour non facturable à l'AM;montant remboursé par l'AM non numérique ou à 0;275;1.5856541544;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:38";="620101337";1 Séjour facturable à l'AM;montant remboursé par l'AM numérique;14402;83.04214957;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:38";="620101337";1 Séjour facturable à l'AM;montant remboursé par l'AM non numérique ou à 0;2597;14.974341233;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:38";="620101337";2 En attente de décision sur le taux de prise en charge du patient;montant remboursé par l'AM non numérique ou à 0;3;0.0172980453;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:38";="620101337";3 En attente de décision sur les droits du patient;montant remboursé par l'AM non numérique ou à 0;9;0.051894136;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:46:40";="800000077";1 Séjour facturable à l'AM;montant remboursé par l'AM numérique;669;98.237885463;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:40";="800000077";2 En attente de décision sur le taux de prise en charge du patient;montant remboursé par l'AM numérique;12;1.7621145374;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:09:53";="590782645";0 Séjour non facturable à l'AM;montant remboursé par l'AM non numérique ou à 0;1;0.2906976744;2023.7;X590782645;28AUG23;12:09:41
