"champ";"statut";"annee";"periode";"date du resultat";"ipe";sej_fact;taux;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:03";="800000036";1 Séjour facturable à l'AM;80;171;42.222222222;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:03";="800000036";1 Séjour facturable à l'AM;100;233;57.530864198;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:03";="800000036";2 En attente de décision sur le taux de prise en charge du patient;80;1;0.2469135802;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:01";="600100168";0 Séjour non facturable à l'AM;0;9;0.1865284974;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:01";="600100168";0 Séjour non facturable à l'AM;80;6;0.1243523316;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:01";="600100168";1 Séjour facturable à l'AM;80;1216;25.202072539;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:01";="600100168";1 Séjour facturable à l'AM;90;3;0.0621761658;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:01";="600100168";1 Séjour facturable à l'AM;100;3591;74.424870466;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:14:42";="020000022";0 Séjour non facturable à l'AM;0;2;0.3378378378;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:42";="020000022";1 Séjour facturable à l'AM;80;207;34.966216216;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:42";="020000022";1 Séjour facturable à l'AM;100;382;64.527027027;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:42";="020000022";2 En attente de décision sur le taux de prise en charge du patient;0;1;0.1689189189;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:09:51";="590782439";0 Séjour non facturable à l'AM;0;23;2.3069207623;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:51";="590782439";1 Séjour facturable à l'AM;80;268;26.880641926;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:51";="590782439";1 Séjour facturable à l'AM;100;706;70.812437312;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:54:48";="590049565";1 Séjour facturable à l'AM;100;158;100;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:38:14";="020000253";Non renseigné;;3;0.0189000189;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:14";="020000253";0 Séjour non facturable à l'AM;0;128;0.8064008064;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:14";="020000253";1 Séjour facturable à l'AM;0;356;2.2428022428;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:14";="020000253";1 Séjour facturable à l'AM;80;4852;30.567630568;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:14";="020000253";1 Séjour facturable à l'AM;90;2;0.0126000126;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:14";="020000253";1 Séjour facturable à l'AM;100;10532;66.351666352;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:37:34";="620003376";Non renseigné;;1;0.007637669;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:34";="620003376";0 Séjour non facturable à l'AM;0;55;0.4200717941;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:34";="620003376";0 Séjour non facturable à l'AM;100;6;0.0458260139;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:34";="620003376";1 Séjour facturable à l'AM;80;2447;18.689376002;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:34";="620003376";1 Séjour facturable à l'AM;90;2;0.015275338;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:34";="620003376";1 Séjour facturable à l'AM;100;10582;80.821813183;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:05:38";="620101337";Non renseigné;;57;0.3286628611;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:38";="620101337";0 Séjour non facturable à l'AM;0;275;1.5856541544;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:38";="620101337";1 Séjour facturable à l'AM;80;4460;25.716427377;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:38";="620101337";1 Séjour facturable à l'AM;90;5;0.0288300755;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:38";="620101337";1 Séjour facturable à l'AM;100;12534;72.271233351;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:38";="620101337";2 En attente de décision sur le taux de prise en charge du patient;0;3;0.0172980453;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:38";="620101337";3 En attente de décision sur les droits du patient;0;9;0.051894136;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:46:40";="800000077";1 Séjour facturable à l'AM;80;266;39.06020558;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:40";="800000077";1 Séjour facturable à l'AM;100;403;59.177679883;2023.7;X800000077;25AUG23;14:46:27
