"champ";"statut";"annee";"periode";"date du resultat";"ipe";remp_majo;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:03";="800000036";Montant lié à la majoration du parcours de soins vide ou à 0;405;100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:02";="600100168";Montant lié à la majoration du parcours de soins vide ou à 0;4825;100;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:14:43";="020000022";Montant lié à la majoration du parcours de soins vide ou à 0;592;100;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:09:51";="590782439";Montant lié à la majoration du parcours de soins vide ou à 0;997;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:54:49";="590049565";Montant lié à la majoration du parcours de soins vide ou à 0;158;100;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:38:14";="020000253";Montant lié à la majoration du parcours de soins vide ou à 0;15873;100;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:37:35";="620003376";Montant lié à la majoration du parcours de soins vide ou à 0;13093;100;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:05:39";="620101337";Montant lié à la majoration du parcours de soins vide ou à 0;17343;100;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:46:41";="800000077";Montant lié à la majoration du parcours de soins vide ou à 0;681;100;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:09:54";="590782645";Montant lié à la majoration du parcours de soins vide ou à 0;344;100;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:19";="600100572";Montant lié à la majoration du parcours de soins vide ou à 0;256;100;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:44:25";="020004495";Montant lié à la majoration du parcours de soins vide ou à 0;2126;100;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:24:21";="020000055";Montant lié à la majoration du parcours de soins vide ou à 0;262;100;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:28:26";="590782652";Montant lié à la majoration du parcours de soins vide ou à 0;8589;100;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:48:40";="590780052";Montant lié à la majoration du parcours de soins vide ou à 0;1299;100;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 10:19:28";="600100648";Montant lié à la majoration du parcours de soins vide ou à 0;3447;100;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:05:15";="620000026";Montant lié à la majoration du parcours de soins vide ou à 0;7142;100;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 14:21:10";="620003350";Montant lié à la majoration du parcours de soins vide ou à 0;3458;100;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:13";="590000600";Montant lié à la majoration du parcours de soins vide ou à 0;972;100;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:24:47";="620025346";Montant lié à la majoration du parcours de soins vide ou à 0;9419;100;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:40:19";="590001749";Montant lié à la majoration du parcours de soins vide ou à 0;3138;100;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:46:28";="590781670";Montant lié à la majoration du parcours de soins vide ou à 0;1099;100;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:50:37";="020000261";Montant lié à la majoration du parcours de soins vide ou à 0;24092;100;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:13:30";="620100651";Montant lié à la majoration du parcours de soins vide ou à 0;29569;100;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:40:01";="620027839";Montant lié à la majoration du parcours de soins vide ou à 0;22138;100;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/30 08:35:29";="590780284";Montant lié à la majoration du parcours de soins vide ou à 0;16534;100;2023.7;X590780284;30AUG23;8:35:11
