"champ";"statut";"annee";"periode";"date du resultat";"ipe";_NAME_;COL1;COL2;COL3;COL4;COL5;COL6;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";per;1;2;3;1;2;3;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";nbrsa;405;426;-4.929577465;287;292;-1.712328767;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";cmd90;0;0;;0;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";hper;0;0;;0;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";typsejb;0;0;;0;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";ghs9999;0;0;;0;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";nbrsaseance;23;18;27.777777778;12;13;-7.692307692;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";nbseances;23;18;27.777777778;12;13;-7.692307692;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";nbrsa0;22;28;-21.42857143;17;21;-19.04761905;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";nbjJT0;21;26;-19.23076923;16;19;-15.78947368;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";nbrsah0;360;380;-5.263157895;258;258;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";nbjh0;3017;3394;-11.10783736;2011;2465;-18.4178499;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";nbuhcd;0;0;;0;0;;2023.7;X800000036;08AUG23;14:40:54
