"champ";"statut";"annee";"periode";"date du resultat";"ipe";moisor;_NAME_;COL1;COL2;COL3;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";1;per;1;2;3;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";1;nbrsa;60;66;-9.090909091;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";1;cmd90;0;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";1;hper;0;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";1;typsejb;0;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";1;ghs9999;0;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";1;nbrsaseance;5;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";1;nbseances;5;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";1;nbrsa0;0;2;-100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";1;nbjJT0;0;2;-100;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";1;nbrsah0;55;64;-14.0625;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";1;nbjh0;549;467;17.55888651;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";1;nbuhcd;0;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";1;nbabott;0;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";2;per;1;2;3;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";2;nbrsa;58;68;-14.70588235;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";2;cmd90;0;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";2;hper;0;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";2;typsejb;0;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";2;ghs9999;0;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";2;nbrsaseance;6;5;20;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";2;nbseances;6;5;20;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";2;nbrsa0;5;5;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";2;nbjJT0;5;5;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";2;nbrsah0;47;58;-18.96551724;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";2;nbjh0;457;462;-1.082251082;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";2;nbuhcd;0;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";2;nbabott;0;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";3;per;1;2;3;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";3;nbrsa;64;53;20.754716981;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";3;cmd90;0;0;;2023.7;X800000036;08AUG23;14:40:54
