"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;nb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:24";="800000036";Nombre RSA avec Diags vaccination COVID-19;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:24";="800000036";Nombre RSA correctement chainés;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:24";="800000036";Nombre RSA groupés en CM 90;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:19";="600100168";Nombre RSA avec Diags vaccination COVID-19;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:19";="600100168";Nombre RSA correctement chainés;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:19";="600100168";Nombre RSA groupés en CM 90;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:11";="020000022";Nombre RSA avec Diags vaccination COVID-19;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:11";="020000022";Nombre RSA correctement chainés;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:11";="020000022";Nombre RSA groupés en CM 90;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:07";="590782439";Nombre RSA avec Diags vaccination COVID-19;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:07";="590782439";Nombre RSA correctement chainés;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:07";="590782439";Nombre RSA groupés en CM 90;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:55:04";="590049565";Nombre RSA avec Diags vaccination COVID-19;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:04";="590049565";Nombre RSA correctement chainés;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:04";="590049565";Nombre RSA groupés en CM 90;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:38:47";="020000253";Nombre RSA avec Diags vaccination COVID-19;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:47";="020000253";Nombre RSA correctement chainés;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:47";="020000253";Nombre RSA groupés en CM 90;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:37:59";="620003376";Nombre RSA avec Diags vaccination COVID-19;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:59";="620003376";Nombre RSA correctement chainés;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:59";="620003376";Nombre RSA groupés en CM 90;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:06:08";="620101337";Nombre RSA avec Diags vaccination COVID-19;6;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:08";="620101337";Nombre RSA correctement chainés;6;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:08";="620101337";Nombre RSA groupés en CM 90;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:47:03";="800000077";Nombre RSA avec Diags vaccination COVID-19;0;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:03";="800000077";Nombre RSA correctement chainés;0;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:03";="800000077";Nombre RSA groupés en CM 90;0;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:10:13";="590782645";Nombre RSA avec Diags vaccination COVID-19;0;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:13";="590782645";Nombre RSA correctement chainés;0;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:13";="590782645";Nombre RSA groupés en CM 90;0;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:35";="600100572";Nombre RSA avec Diags vaccination COVID-19;0;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:35";="600100572";Nombre RSA correctement chainés;0;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:35";="600100572";Nombre RSA groupés en CM 90;0;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:44:43";="020004495";Nombre RSA avec Diags vaccination COVID-19;0;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:43";="020004495";Nombre RSA correctement chainés;0;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:43";="020004495";Nombre RSA groupés en CM 90;0;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:24:43";="020000055";Nombre RSA avec Diags vaccination COVID-19;0;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:43";="020000055";Nombre RSA correctement chainés;0;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:43";="020000055";Nombre RSA groupés en CM 90;0;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:28:45";="590782652";Nombre RSA avec Diags vaccination COVID-19;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:45";="590782652";Nombre RSA correctement chainés;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:45";="590782652";Nombre RSA groupés en CM 90;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:48:56";="590780052";Nombre RSA avec Diags vaccination COVID-19;0;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:56";="590780052";Nombre RSA correctement chainés;0;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:56";="590780052";Nombre RSA groupés en CM 90;0;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 10:19:49";="600100648";Nombre RSA avec Diags vaccination COVID-19;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:49";="600100648";Nombre RSA correctement chainés;0;2023.7;X600100648;29AUG23;10:19:13
