"champ";"statut";"annee";"periode";"date du resultat";"ipe";diag;ponder;dms;dur_med;age_moy;age_med;pct_homme;pct_rea;pct_sc;pct_si;sej_rea;moy_rea;med_rea;moy_age;med_age;pct_homme_rea;ponder_dp;ponder_dr;ponder_da;lib;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:24";="800000036";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:19";="600100168";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:12";="020000022";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:08";="590782439";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:55:05";="590049565";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:38:47";="020000253";U129;1;2;2;45;45;0;0;0;0;0;;;;;;0;0;1;U129   VACCINS ANTI-COVID-19 AYANT PROVOQUÉ EFFETS INDÉSIRABLES AU COURS LEUR USAGE TRAITEMENT, SAI;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:47";="020000253";Total;1;2;2;45;45;0;0;0;0;0;;;;;;0;0;1;Tous diagnostics;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:37:59";="620003376";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:06:08";="620101337";U119;5;9.2;6;80;92;0;0;0;0;0;;;;;;0;0;5;U119   NÉCESSITÉ D'UNE VACCINATION CONTRE LA COVID-19, SAI;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:08";="620101337";U129;1;0;0;44;44;100;0;0;0;0;;;;;;0;0;1;U129   VACCINS ANTI-COVID-19 AYANT PROVOQUÉ EFFETS INDÉSIRABLES AU COURS LEUR USAGE TRAITEMENT, SAI;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:08";="620101337";Total;6;7.6666666667;5;74;88.5;16.666666667;0;0;0;0;;;;;;0;0;6;Tous diagnostics;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:47:04";="800000077";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:10:14";="590782645";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:35";="600100572";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:44:43";="020004495";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:24:43";="020000055";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:28:45";="590782652";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:48:56";="590780052";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 10:19:50";="600100648";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:05:35";="620000026";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:23:24";="590065223";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 14:21:30";="620003350";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:30";="590000600";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:25:05";="620025346";Total;;;0;;0;;;;;;;0;;0;;;;;Tous diagnostics;2023.7;X620025346;29AUG23;14:24:34
