"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;aff;diag_ct;ponder;dms;pct_rea;pct_si;pct_sc;age_moy;age_med;pct_homme;pct_dp;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:38:48";="020000253";B99    MAL. INFECT., NCA OU SAI;0;B99;1;2;0;0;0;45;45;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 12:06:09";="620101337";Z04    EX. ET OBS. POUR D'AUTRES RAISONS;0;Z04;1;0;0;0;0;44;44;100;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/29 16:14:01";="620100651";K43    AUTRES HERNIES DE LA PAROI ABDO. ANT.;0;K43;1;8;0;0;0;67;67;0;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:01";="620100651";R06    ANOM. DE LA RESPIRATION;0;R06;1;1;0;0;0;95;95;0;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/31 11:48:37";="590780193";F05    DELIRIUM, NON INDUIT PAR L'ALCCOL ET D'AUTRES SUBST. PSYCHO-ACTIVES;0;F05;1;20;0;0;0;91;91;100;0;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:48:37";="590780193";M72    AFF. FIBROBLASTIQUES;0;M72;1;3;100;100;0;50;50;100;0;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:48:37";="590780193";Z01    EX. SPC. ET INVESTIG. NCA DE SUJETS AVEC AUCUN DIAG. FAIT;0;Z01;1;0;0;0;0;62;62;0;0;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 14:34:02";="800000093";A09    AUTRES GASTROENTERITES COLITES INFECT. OU S.A.I;0;A09;1;18;0;0;0;81;81;0;0;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/09/01 09:19:00";="600100721";Z09    EX. DE CTRL. APRES TRAITEMENT D'AFF. AUTRES QUE LES TUM. MALIGNE;0;Z09;1;0;0;0;0;66;66;0;0;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/05 17:45:13";="800000044";I30    PERICARDITE AIG.;0;I30;1;5;0;0;0;30;30;0;0;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:45:13";="800000044";U11    NÉCESSITÉ D'UNE VACCINATION CONTRE LA COVID-19;0;U11;1;0;0;0;0;77;77;0;0;2023.7;X800000044;05SEP23;17:44:11
