"champ";"statut";"annee";"periode";"date du resultat";"ipe";type;mnt_gf;mnt_per_hpra;mnt_per_hprb;mnt_per_gfa;mnt_per_gfb;mnt_dua;mnt_dub;mnt_per_hpr;mnt_du;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/05 14:10:07";="590780193";01;528254542;0;0;488237335.98;488023023.05;528254542;528254542;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:10:07";="590780193";02;1108144;0;0;676895.29364;661470.00459;1108144;1108144;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:10:07";="590780193";03;559992;0;0;446705.008;446705.008;559992;559992;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:10:07";="590780193";04;2835844;0;0;1537183.7908;1540698.2889;2835844;2835844;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:10:07";="590780193";05;0;0;0;0;0;0;0;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:10:07";="590780193";06;184464;0;0;221683.72928;221683.72928;184464;184464;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:10:07";="590780193";07;11184190;0;0;10213346.33;10213346.33;11184190;11184190;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:10:07";="590780193";08;0;0;0;0;0;0;0;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:10:07";="590780193";09;1248698;0;0;642278.59385;642278.59385;1248698;1248698;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:10:07";="590780193";10;2338806;0;0;2547899.1886;2547899.1886;2338806;2338806;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:10:07";="590780193";13;1578708;0;0;1511330.6203;1511330.6203;1578708;1578708;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:10:07";="590780193";14;493412;0;0;792278.83165;792278.83165;493412;493412;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:10:07";="590780193";15;928984;0;0;854894.85;854894.85;928984;928984;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:10:07";="590780193";16;159612;0;0;155792.63322;155792.63322;159612;159612;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:10:07";="590780193";17;0;0;0;4914.150904;4980.1405792;0;0;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:10:07";="590780193";18;0;0;0;4913.262576;4913.262576;0;0;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:10:07";="590780193";99;550875396;;;507847452.26;507621294.53;550875396;550875396;;0;2023.7;X590780193;05SEP23;14:08:27
