"champ";"statut";"annee";"periode";"date du resultat";"ipe";code_erreur;nbsej;eff;lib;pct;bloq;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:25";="800000036";C084;1;1;DIAGNOSTIC PRINCIPAL INVRAISEMBLABLE CAR RARE;33.333333333;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:25";="800000036";C093;2;2;DIAGNOSTIC ASSOCIÉ IMPRECIS;66.666666667;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:20";="600100168";C090;1;1;DIAGNOSTIC ASSOCIÉ INVRAISEMBLABLE CAR RARE;14.285714286;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:20";="600100168";C223;1;1;CONFIRMATION DU RSS NÉCESSAIRE ET PRÉSENTE;14.285714286;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:20";="600100168";C265;4;4;CONFIRMATION DU RSS NÉCESSAIRE ET PRESENTE POUR UN SÉJOUR COURT MAIS COUTEUX;57.142857143;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:20";="600100168";G080;1;1;SÉJOUR AVEC ACTE OPERATOIRE MINEUR RECLASSANT DANS UN GHM MÉDICAL;14.285714286;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:13";="020000022";C087;2;2;DIAGNOSTIC PRINCIPAL IMPRECIS;8.6956521739;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:13";="020000022";C088;1;1;CODES Z A ÉVITER EN DP CAR N'EST HABITUELLEMENT PAS UN MOTIF D'HOSPITALISATION;4.347826087;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:13";="020000022";C093;20;20;DIAGNOSTIC ASSOCIÉ IMPRECIS;86.956521739;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:09";="590782439";C088;1;1;CODES Z A ÉVITER EN DP CAR N'EST HABITUELLEMENT PAS UN MOTIF D'HOSPITALISATION;100;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:55:05";="590049565";C093;1;1;DIAGNOSTIC ASSOCIÉ IMPRECIS;16.666666667;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:05";="590049565";C254;5;5;INDICATEUR DE SÉJOUR NON PROGRAMMÉ NON ATTENDU MAIS RENSEIGNÉ;83.333333333;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:38:49";="020000253";C084;7;9;DIAGNOSTIC PRINCIPAL INVRAISEMBLABLE CAR RARE;2.8662420382;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:49";="020000253";C085;1;1;DIAGNOSTIC PRINCIPAL INVRAISEMBLABLE EN RAISON DE L'ÂGE;0.3184713376;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:49";="020000253";C087;117;117;DIAGNOSTIC PRINCIPAL IMPRECIS;37.261146497;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:49";="020000253";C088;3;3;CODES Z A ÉVITER EN DP CAR N'EST HABITUELLEMENT PAS UN MOTIF D'HOSPITALISATION;0.9554140127;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:49";="020000253";C090;5;6;DIAGNOSTIC ASSOCIÉ INVRAISEMBLABLE CAR RARE;1.9108280255;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:49";="020000253";C091;1;1;DIAGNOSTIC ASSOCIÉ INVRAISEMBLABLE EN RAISON DE L'ÂGE;0.3184713376;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:49";="020000253";C093;42;43;DIAGNOSTIC ASSOCIÉ IMPRECIS;13.694267516;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:49";="020000253";C099;3;3;DIAGNOSTIC RELIÉ IMPRÉCIS;0.9554140127;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:49";="020000253";C102;99;99;DATE DE REALISATION DE L'ACTE CCAM INCOHERENTE;31.52866242;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:49";="020000253";C112;1;1;GESTE COMPLEMENTAIRE SANS ACTE PRINCIPAL;0.3184713376;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:49";="020000253";C152;1;1;VARIABLE CONVERSION RENSEIGNEE A OUI ET UM DE TYPE HP;0.3184713376;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:49";="020000253";C154;2;2;CONDITION DE CONVERSION POSSIBLE ET VARIABLE A VIDE;0.6369426752;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:49";="020000253";C223;7;7;CONFIRMATION DU RSS NÉCESSAIRE ET PRÉSENTE;2.2292993631;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:49";="020000253";C265;14;14;CONFIRMATION DU RSS NÉCESSAIRE ET PRESENTE POUR UN SÉJOUR COURT MAIS COUTEUX;4.4585987261;0;2023.7;X020000253;24AUG23;14:38:01
