"champ";"statut";"annee";"periode";"date du resultat";"ipe";_NAME_;adnp_1;adnp_2;adnp_v;adnp_x;adnp_Total;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:38:49";="020000253";nb_sea_crit1;2;103;4463;0;4568;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:49";="020000253";nb_sea_crit2;0;2;96;0;98;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:49";="020000253";nb_sea_crit3;0;1;125;0;126;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:49";="020000253";nb_sea_crit4;0;2;4442;0;4444;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:49";="020000253";nb_sea_crit5;0;0;0;0;;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:49";="020000253";nb_sea_dis;2;106;8468;0;;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/29 09:28:47";="590782652";nb_sea_crit1;0;0;2123;0;2123;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:47";="590782652";nb_sea_crit2;0;0;36;0;36;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:47";="590782652";nb_sea_crit3;0;0;0;0;;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:47";="590782652";nb_sea_crit4;3;764;1174;0;1941;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:47";="590782652";nb_sea_crit5;0;0;0;0;;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:47";="590782652";nb_sea_dis;3;764;3067;0;;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:48:58";="590780052";nb_sea_crit1;2;7;0;0;9;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:58";="590780052";nb_sea_crit2;3;1;0;0;4;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:58";="590780052";nb_sea_crit3;0;0;0;0;;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:58";="590780052";nb_sea_crit4;0;0;0;0;;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:58";="590780052";nb_sea_crit5;0;0;0;0;;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:58";="590780052";nb_sea_dis;4;8;0;0;;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 10:19:52";="600100648";nb_sea_crit1;22;0;1099;0;1121;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:52";="600100648";nb_sea_crit2;0;0;17;0;17;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:52";="600100648";nb_sea_crit3;0;0;0;0;;2023.7;X600100648;29AUG23;10:19:13
