"champ";"statut";"annee";"periode";"date du resultat";"ipe";racine;nobs;pdcracine;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 16:14:03";="620100651";23Z02;64;95.52238806;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/31 11:49:05";="590780193";21M14;27;56.25;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 14:26:01";="590781605";01M30;18;21.428571429;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:53:08";="600100713";05M09;57;17.924528302;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 15:43:34";="590782215";11K02;25;40.983606557;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:43:34";="590782215";18M07;14;36.842105263;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/09/01 14:03:01";="590783239";04M09;20;41.666666667;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 14:03:01";="590783239";07M06;13;52;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 16:56:02";="020000063";04M09;29;42.647058824;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:56:02";="020000063";07M06;23;39.655172414;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:56:02";="020000063";17M15;12;30;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/05 09:24:04";="590782637";04M13;28;34.567901235;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 17:45:15";="800000044";05M04;13;14.942528736;2023.7;X800000044;05SEP23;17:44:11
