"champ";"statut";"annee";"periode";"date du resultat";"ipe";cret1;COUNT;PERCENT;pctcum;effcum;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:32";="800000036";0;405;100;100;405;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:24";="600100168";0;4820;99.896373057;99.896373057;4820;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:24";="600100168";1;1;0.0207253886;99.917098446;4821;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:24";="600100168";2;4;0.0829015544;100;4825;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:20";="020000022";0;590;99.662162162;99.662162162;590;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:20";="020000022";2;2;0.3378378378;100;592;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:14";="590782439";0;997;100;100;997;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:55:10";="590049565";0;158;100;100;158;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:38:58";="020000253";0;15804;99.565299565;99.565299565;15804;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:58";="020000253";2;66;0.4158004158;99.981099981;15870;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:58";="020000253";9;3;0.0189000189;100;15873;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:38:10";="620003376";0;16376;99.798890853;99.798890853;16376;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:10";="620003376";2;31;0.1889207142;99.987811567;16407;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:10";="620003376";9;2;0.0121884332;100;16409;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:06:25";="620101337";0;17418;98.423461604;98.423461604;17418;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:25";="620101337";2;215;1.21489518;99.638356784;17633;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:25";="620101337";9;64;0.3616432164;100;17697;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:47:13";="800000077";0;681;100;100;681;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:10:21";="590782645";0;344;100;100;344;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:42";="600100572";0;256;100;100;256;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:44:51";="020004495";0;2100;98.777046096;98.777046096;2100;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:51";="020004495";2;13;0.611476952;99.388523048;2113;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:51";="020004495";9;13;0.611476952;100;2126;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:24:50";="020000055";0;260;99.236641221;99.236641221;260;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:50";="020000055";2;2;0.7633587786;100;262;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:29:17";="590782652";0;8572;99.802072418;99.802072418;8572;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:29:17";="590782652";2;17;0.1979275818;100;8589;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:49:02";="590780052";0;1299;100;100;1299;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 10:19:59";="600100648";0;3444;99.883990719;99.883990719;3444;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:59";="600100648";2;4;0.1160092807;100;3448;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:05:44";="620000026";0;7140;99.029126214;99.029126214;7140;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:44";="620000026";2;70;0.9708737864;100;7210;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:23:29";="590065223";2;1;100;100;1;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 14:21:37";="620003350";0;3687;99.837530463;99.837530463;3687;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:37";="620003350";2;5;0.1353912808;99.972921744;3692;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:37";="620003350";9;1;0.0270782562;100;3693;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:35";="590000600";0;971;99.897119342;99.897119342;971;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:35";="590000600";2;1;0.1028806584;100;972;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:25:14";="620025346";0;9199;97.643562255;97.643562255;9199;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:14";="620025346";2;11;0.1167604288;97.760322683;9210;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:14";="620025346";9;211;2.2396773166;100;9421;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:40:46";="590001749";0;3127;99.649458254;99.649458254;3127;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:46";="590001749";2;5;0.1593371574;99.808795411;3132;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:46";="590001749";9;6;0.1912045889;100;3138;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:46:56";="590781670";0;1099;100;100;1099;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:51:16";="020000261";0;23898;99.194753445;99.194753445;23898;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:51:16";="020000261";2;150;0.6226133156;99.817366761;24048;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:51:16";="020000261";9;44;0.1826332392;100;24092;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:14:17";="620100651";0;29444;99.489778679;99.489778679;29444;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:17";="620100651";2;63;0.2128737962;99.702652475;29507;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:17";="620100651";9;88;0.2973475249;100;29595;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:40:33";="620027839";0;22138;100;100;22138;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/30 08:36:09";="590780284";0;16912;99.769925078;99.769925078;16912;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:09";="590780284";1;10;0.0589935697;99.828918648;16922;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:09";="590780284";2;27;0.1592826382;99.988201286;16949;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:09";="590780284";9;2;0.0117987139;100;16951;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:43:08";="020000287";0;5603;99.768518519;99.768518519;5603;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:43:08";="020000287";1;1;0.0178062678;99.786324786;5604;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:43:08";="020000287";2;12;0.2136752137;100;5616;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 10:33:19";="590797353";0;30913;98.662709051;98.662709051;30913;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:19";="590797353";1;102;0.3255457679;98.988254819;31015;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:19";="590797353";2;295;0.9415294268;99.929784246;31310;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:19";="590797353";3;9;0.0287246266;99.958508873;31319;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:19";="590797353";9;13;0.0414911273;100;31332;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 11:30:04";="590782421";0;43303;99.398599793;99.398599793;43303;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:04";="590782421";2;260;0.5968093653;99.995409159;43563;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:04";="590782421";9;2;0.0045908413;100;43565;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 12:12:12";="800000051";0;535;100;100;535;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 13:42:28";="800000135";0;190;100;100;190;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 14:11:46";="590782165";0;11865;99.781347237;99.781347237;11865;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:46";="590782165";2;26;0.2186527626;100;11891;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:39:48";="620101360";0;15684;99.682216855;99.682216855;15684;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:39:48";="620101360";2;50;0.3177831448;100;15734;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:56:19";="590781662";0;3406;99.358226371;99.358226371;3406;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:56:19";="590781662";2;22;0.6417736289;100;3428;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 15:05:06";="590781621";0;4372;99.771793702;99.771793702;4372;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:05:06";="590781621";2;5;0.1141031492;99.885896851;4377;2023.7;X590781621;30AUG23;15:03:46
