"champ";"statut";"annee";"periode";"date du resultat";"ipe";nb;var;tri;lib;by;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:36";="800000036";0;MM_ano;1;C_1_1 : Numéro d'anonymisation invalide pour chaînage;1: Administratif;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:36";="800000036";0;MM_CP;2;C_1_2 : Code géographique imprécis;1: Administratif;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:36";="800000036";0;MM_Lien_ano;3;C_1_3 : Lien mère-enfant absent ou invalide pour chaînage;1: Administratif;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:36";="800000036";0;MM_age;4;C_2_1 : Age de la mère atypique (<15 OU >50 ans);2: Données médicales;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:36";="800000036";0;MM_AG;5;C_2_2 : Age gestationnel atypique (<22SA ou >42SA) ou manquant;2: Données médicales;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:36";="800000036";0;MM_AG3;6;C_2_3 : Contrôle AG en clair et délai depuis les dernières règles;2: Données médicales;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:36";="800000036";0;MM_Z37;7;C_2_4 : Plusieurs code Z37 dans un séjour;2: Données médicales;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:36";="800000036";0;MM_cesar;8;C_2_5 : Diagnostic de césarienne sans acte de césarienne;2: Données médicales;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:36";="800000036";0;MM_cesar2;9;C_2_6 : Diagnostic de césarienne programmée sans acte correspondant;2: Données médicales;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:36";="800000036";0;MM_parite_cesar;10;C_2_7 : Actes de césarienne sans extension documentaire(parité et pluricité);2: Données médicales;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:36";="800000036";0;MM_VBI;11;C_2_8 : Accouchement voie basse instrumentale sans méthode précise;2: Données médicales;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:36";="800000036";0;MM_IMG;12;C_2_9 : Codes contradictoires d'IMG<22SA avec Z37;2: Données médicales;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:36";="800000036";0;MM_IVG;13;C_3_1 : Méthode manquante ou à contrôler;3: Contrôles IVG;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:36";="800000036";0;MM_IVG_terme;14;C_3_2 : Terme atypique ou manquant;3: Contrôles IVG;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:36";="800000036";0;MM_IVG_docu;15;C_3_3 : Anesthésie : extension documentaire manquante;3: Contrôles IVG;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:27";="600100168";0;MM_ano;1;C_1_1 : Numéro d'anonymisation invalide pour chaînage;1: Administratif;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:27";="600100168";0;MM_CP;2;C_1_2 : Code géographique imprécis;1: Administratif;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:27";="600100168";0;MM_Lien_ano;3;C_1_3 : Lien mère-enfant absent ou invalide pour chaînage;1: Administratif;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:27";="600100168";0;MM_age;4;C_2_1 : Age de la mère atypique (<15 OU >50 ans);2: Données médicales;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:27";="600100168";0;MM_AG;5;C_2_2 : Age gestationnel atypique (<22SA ou >42SA) ou manquant;2: Données médicales;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:27";="600100168";0;MM_AG3;6;C_2_3 : Contrôle AG en clair et délai depuis les dernières règles;2: Données médicales;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:27";="600100168";0;MM_Z37;7;C_2_4 : Plusieurs code Z37 dans un séjour;2: Données médicales;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:27";="600100168";0;MM_cesar;8;C_2_5 : Diagnostic de césarienne sans acte de césarienne;2: Données médicales;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:27";="600100168";0;MM_cesar2;9;C_2_6 : Diagnostic de césarienne programmée sans acte correspondant;2: Données médicales;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:27";="600100168";0;MM_parite_cesar;10;C_2_7 : Actes de césarienne sans extension documentaire(parité et pluricité);2: Données médicales;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:27";="600100168";0;MM_VBI;11;C_2_8 : Accouchement voie basse instrumentale sans méthode précise;2: Données médicales;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:27";="600100168";0;MM_IMG;12;C_2_9 : Codes contradictoires d'IMG<22SA avec Z37;2: Données médicales;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:27";="600100168";0;MM_IVG;13;C_3_1 : Méthode manquante ou à contrôler;3: Contrôles IVG;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:27";="600100168";0;MM_IVG_terme;14;C_3_2 : Terme atypique ou manquant;3: Contrôles IVG;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:27";="600100168";0;MM_IVG_docu;15;C_3_3 : Anesthésie : extension documentaire manquante;3: Contrôles IVG;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:24";="020000022";0;MM_ano;1;C_1_1 : Numéro d'anonymisation invalide pour chaînage;1: Administratif;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:24";="020000022";0;MM_CP;2;C_1_2 : Code géographique imprécis;1: Administratif;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:24";="020000022";0;MM_Lien_ano;3;C_1_3 : Lien mère-enfant absent ou invalide pour chaînage;1: Administratif;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:24";="020000022";0;MM_age;4;C_2_1 : Age de la mère atypique (<15 OU >50 ans);2: Données médicales;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:24";="020000022";0;MM_AG;5;C_2_2 : Age gestationnel atypique (<22SA ou >42SA) ou manquant;2: Données médicales;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:24";="020000022";0;MM_AG3;6;C_2_3 : Contrôle AG en clair et délai depuis les dernières règles;2: Données médicales;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:24";="020000022";0;MM_Z37;7;C_2_4 : Plusieurs code Z37 dans un séjour;2: Données médicales;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:24";="020000022";0;MM_cesar;8;C_2_5 : Diagnostic de césarienne sans acte de césarienne;2: Données médicales;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:24";="020000022";0;MM_cesar2;9;C_2_6 : Diagnostic de césarienne programmée sans acte correspondant;2: Données médicales;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:24";="020000022";0;MM_parite_cesar;10;C_2_7 : Actes de césarienne sans extension documentaire(parité et pluricité);2: Données médicales;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:24";="020000022";0;MM_VBI;11;C_2_8 : Accouchement voie basse instrumentale sans méthode précise;2: Données médicales;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:24";="020000022";0;MM_IMG;12;C_2_9 : Codes contradictoires d'IMG<22SA avec Z37;2: Données médicales;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:24";="020000022";0;MM_IVG;13;C_3_1 : Méthode manquante ou à contrôler;3: Contrôles IVG;2023.7;X020000022;18AUG23;15:14:25
