"champ";"statut";"annee";"periode";"date du resultat";"ipe";eff;lib;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:38";="800000036";0;Confirmation de codage enregistrée;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:38";="800000036";0;Confirmation de codage non enregistrée;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:28";="600100168";0;Confirmation de codage enregistrée;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:28";="600100168";0;Confirmation de codage non enregistrée;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:25";="020000022";0;Confirmation de codage enregistrée;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:25";="020000022";0;Confirmation de codage non enregistrée;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:17";="590782439";0;Confirmation de codage enregistrée;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:17";="590782439";0;Confirmation de codage non enregistrée;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:55:14";="590049565";0;Confirmation de codage enregistrée;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:14";="590049565";0;Confirmation de codage non enregistrée;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:39:05";="020000253";0;Confirmation de codage enregistrée;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:05";="020000253";0;Confirmation de codage non enregistrée;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:38:16";="620003376";0;Confirmation de codage enregistrée;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:16";="620003376";0;Confirmation de codage non enregistrée;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:06:32";="620101337";0;Confirmation de codage enregistrée;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:32";="620101337";21;Confirmation de codage non enregistrée;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:47:19";="800000077";0;Confirmation de codage enregistrée;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:19";="800000077";0;Confirmation de codage non enregistrée;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:10:26";="590782645";0;Confirmation de codage enregistrée;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:26";="590782645";0;Confirmation de codage non enregistrée;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:46";="600100572";0;Confirmation de codage enregistrée;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:46";="600100572";0;Confirmation de codage non enregistrée;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:44:56";="020004495";0;Confirmation de codage enregistrée;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:56";="020004495";0;Confirmation de codage non enregistrée;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:24:54";="020000055";0;Confirmation de codage enregistrée;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:54";="020000055";0;Confirmation de codage non enregistrée;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:29:23";="590782652";0;Confirmation de codage enregistrée;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:29:23";="590782652";0;Confirmation de codage non enregistrée;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:49:06";="590780052";0;Confirmation de codage enregistrée;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:49:06";="590780052";0;Confirmation de codage non enregistrée;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 10:20:05";="600100648";0;Confirmation de codage enregistrée;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:20:05";="600100648";0;Confirmation de codage non enregistrée;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:05:48";="620000026";0;Confirmation de codage enregistrée;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:48";="620000026";0;Confirmation de codage non enregistrée;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:23:35";="590065223";0;Confirmation de codage enregistrée;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 13:23:35";="590065223";0;Confirmation de codage non enregistrée;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 14:21:42";="620003350";0;Confirmation de codage enregistrée;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:42";="620003350";0;Confirmation de codage non enregistrée;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:39";="590000600";0;Confirmation de codage enregistrée;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:39";="590000600";0;Confirmation de codage non enregistrée;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:25:18";="620025346";0;Confirmation de codage enregistrée;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:18";="620025346";0;Confirmation de codage non enregistrée;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:40:50";="590001749";0;Confirmation de codage enregistrée;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:50";="590001749";0;Confirmation de codage non enregistrée;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:47:00";="590781670";0;Confirmation de codage enregistrée;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:47:00";="590781670";0;Confirmation de codage non enregistrée;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:51:22";="020000261";0;Confirmation de codage enregistrée;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:51:22";="020000261";0;Confirmation de codage non enregistrée;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:14:25";="620100651";0;Confirmation de codage enregistrée;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:25";="620100651";4;Confirmation de codage non enregistrée;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:40:44";="620027839";0;Confirmation de codage enregistrée;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/29 16:40:44";="620027839";0;Confirmation de codage non enregistrée;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/30 08:36:15";="590780284";0;Confirmation de codage enregistrée;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:15";="590780284";0;Confirmation de codage non enregistrée;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:43:16";="020000287";0;Confirmation de codage enregistrée;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:43:16";="020000287";0;Confirmation de codage non enregistrée;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 10:33:27";="590797353";0;Confirmation de codage enregistrée;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:27";="590797353";41;Confirmation de codage non enregistrée;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 11:30:14";="590782421";0;Confirmation de codage enregistrée;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:14";="590782421";0;Confirmation de codage non enregistrée;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 12:12:18";="800000051";0;Confirmation de codage enregistrée;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:12:18";="800000051";0;Confirmation de codage non enregistrée;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 13:42:33";="800000135";0;Confirmation de codage enregistrée;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 13:42:33";="800000135";0;Confirmation de codage non enregistrée;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 14:11:54";="590782165";0;Confirmation de codage enregistrée;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:54";="590782165";1;Confirmation de codage non enregistrée;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:39:56";="620101360";0;Confirmation de codage enregistrée;2023.7;X620101360;30AUG23;14:38:44
