"champ";"statut";"annee";"periode";"date du resultat";"ipe";cage;cpt;nb;pct;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:39:06";="020000253";<15 ans;1;2;0.9852216749;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:06";="020000253";[15 ans- 25 ans[;2;61;30.049261084;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:06";="020000253";[25 ans- 35 ans[;3;94;46.305418719;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:06";="020000253";>=35 ans;4;46;22.660098522;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 12:06:36";="620101337";<15 ans;1;3;1.1194029851;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:36";="620101337";[15 ans- 25 ans[;2;101;37.686567164;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:36";="620101337";[25 ans- 35 ans[;3;112;41.791044776;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:36";="620101337";>=35 ans;4;52;19.402985075;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/29 10:20:06";="600100648";[15 ans- 25 ans[;2;11;25.581395349;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:20:06";="600100648";[25 ans- 35 ans[;3;22;51.162790698;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:20:06";="600100648";>=35 ans;4;10;23.255813953;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 14:25:19";="620025346";>=35 ans;4;1;100;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:51:24";="020000261";<15 ans;1;1;0.495049505;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:51:24";="020000261";[15 ans- 25 ans[;2;73;36.138613861;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:51:24";="020000261";[25 ans- 35 ans[;3;87;43.069306931;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:51:24";="020000261";>=35 ans;4;41;20.297029703;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:14:27";="620100651";<15 ans;1;1;0.3875968992;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:27";="620100651";[15 ans- 25 ans[;2;78;30.23255814;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:27";="620100651";[25 ans- 35 ans[;3;118;45.736434109;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:27";="620100651";>=35 ans;4;61;23.643410853;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/30 08:43:17";="020000287";[15 ans- 25 ans[;2;34;30.088495575;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:43:17";="020000287";[25 ans- 35 ans[;3;61;53.982300885;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:43:17";="020000287";>=35 ans;4;18;15.92920354;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 10:33:29";="590797353";[15 ans- 25 ans[;2;1;33.333333333;2023.7;X590797353;30AUG23;10:32:13
