"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;nb;nb1;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:47";="800000036";Séjours valorisés;405;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:47";="800000036";Séjours non controlés dans ce tableau (*);0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:47";="800000036";Séjours avec pb de codage des variables non bloquantes;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:47";="800000036";Séjours taux de remb différent de 100 et montant TM égal à 0;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:47";="800000036";Séjours taux de remb égal à 100 et montant TM différent de 0;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:47";="800000036";Séjours FJ à la charge de l'assuré et montant FJ égal à 0;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:47";="800000036";Séjours FJ n'est pas applicable et montant FJ différent de 0;122;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:47";="800000036";Séjours où FJ et DS non compatibles;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:47";="800000036";Séjours où mnt BR différent de mnt AM+mnt TM;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:47";="800000036";Séjours de + 30 jours avec exo Tm=2, transfert depuis MCO et Tx remb différent de 100% (**);0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:47";="800000036";Autres séjours avec exo Tm=2 et Tx remb=100% (***);1;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:47";="800000036";Séjours sans anomalies;282;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:33";="600100168";Séjours valorisés;4810;;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:33";="600100168";Séjours non controlés dans ce tableau (*);0;;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:33";="600100168";Séjours avec pb de codage des variables non bloquantes;0;;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:33";="600100168";Séjours taux de remb différent de 100 et montant TM égal à 0;0;;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:33";="600100168";Séjours taux de remb égal à 100 et montant TM différent de 0;0;;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:33";="600100168";Séjours FJ à la charge de l'assuré et montant FJ égal à 0;0;;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:33";="600100168";Séjours FJ n'est pas applicable et montant FJ différent de 0;640;;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:33";="600100168";Séjours où FJ et DS non compatibles;0;;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:33";="600100168";Séjours où mnt BR différent de mnt AM+mnt TM;2075;;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:33";="600100168";Séjours de + 30 jours avec exo Tm=2, transfert depuis MCO et Tx remb différent de 100% (**);0;;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:33";="600100168";Autres séjours avec exo Tm=2 et Tx remb=100% (***);2;;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:33";="600100168";Séjours sans anomalies;2733;;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:34";="020000022";Séjours valorisés;590;;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:34";="020000022";Séjours non controlés dans ce tableau (*);1;;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:34";="020000022";Séjours avec pb de codage des variables non bloquantes;0;;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:34";="020000022";Séjours taux de remb différent de 100 et montant TM égal à 0;7;;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:34";="020000022";Séjours taux de remb égal à 100 et montant TM différent de 0;0;;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:34";="020000022";Séjours FJ à la charge de l'assuré et montant FJ égal à 0;0;;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:34";="020000022";Séjours FJ n'est pas applicable et montant FJ différent de 0;6;;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:34";="020000022";Séjours où FJ et DS non compatibles;0;;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:34";="020000022";Séjours où mnt BR différent de mnt AM+mnt TM;0;;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:34";="020000022";Séjours de + 30 jours avec exo Tm=2, transfert depuis MCO et Tx remb différent de 100% (**);0;;2023.7;X020000022;18AUG23;15:14:25
