"champ";"statut";"annee";"periode";"date du resultat";"ipe";niveau;eff;effmars;mnt_ghs;nbj;nbXinf;nbjXinf;mnt_exinf;nbxinfmars;nbjXinfmars;mnt_exinfmars;ghs50;mnt_ghs50;nbXsup;nbjXsup;mnt_exh;nbXsupmars;nbjXsupmars;mnt_exhmars;nbsuppdia;nb_9615;mnt_9615;mnt_rdth;nb_rdth;nb_ant;nb_sej_ant;mnt_ant;nb_rap;nbrea;mnt_rea;nbrep;mnt_rep;nbsi;mnt_si;nbsc;mnt_sc;mnt_suppdia;nbnn1;mnt_nn1;nbnn2;mnt_nn2;nbnn3;mnt_nn3;mnt_po;nb_po;nbcaisson;mnt_caisson;mnt_rap;nbsdc;mnt_sdc;nb_supp_inno;mnt_supp_inno;nb_ctc;mnt_ctc;px_moy;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:50";="800000036";1;32;22;72647.266019;243;0;0;0;0;0;0;0;0;6;35;5403.283324;4;31;4805.42712;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2439.079667;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:50";="800000036";2;43;29;153206.23562;457;0;0;0;0;0;0;0;0;8;58;9737.957519;5;39;6206.893095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3789.3998405;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:50";="800000036";3;87;62;471499.70191;1335;0;0;0;0;0;0;1;-2333.659819;17;140;22520.914801;12;96;15661.849593;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5651.5742171;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:50";="800000036";4;29;21;201432.51326;454;0;0;0;0;0;0;0;0;2;29;8613.773367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7242.975401;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:50";="800000036";E;1;1;869.555388;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;869.555388;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:50";="800000036";T;34;29;19890.782009;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;585.02300026;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:50";="800000036";Z;179;123;258271.47764;538;0;0;0;0;0;0;0;0;9;121;45255.066996;4;55;21970.666575;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1695.6790203;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:36";="600100168";1;550;379;1263008.5992;1208;0;0;0;0;0;0;0;0;15;58;10340.459029;8;41;7111.6232089;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;3930.5281494;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2322.3265208;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:36";="600100168";2;221;150;894289.8504;1603;0;0;0;0;0;0;0;0;16;86;13140.951075;11;61;9464.5660461;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;4070.9408177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4124.4422728;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:36";="600100168";3;124;83;767530.50686;1342;0;0;0;0;0;0;0;0;4;21;4958.9647517;3;16;3630.7519903;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1133.2332051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6238.8927808;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:36";="600100168";4;34;25;298895.20583;557;0;0;0;0;0;0;0;0;2;20;5277.8899885;2;20;5277.8899885;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2644.2108118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9024.0384304;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:36";="600100168";J;1586;1182;1298720.4405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;818.86534713;2023.7;X600100168;11AUG23;8:30:51
