"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghm;ghs;COUNT;PERCENT;pcum;scum;nb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/11 08:31:32";="600100168";06C12J;1973;3;20;40;6;2;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:32";="600100168";23M08J;7909;3;20;20;3;2;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:32";="600100168";23K02Z;7959;2;13.333333333;53.333333333;8;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:32";="600100168";05M081;1748;1;6.6666666667;66.666666667;10;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:32";="600100168";06C191;1991;1;6.6666666667;73.333333333;11;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:32";="600100168";06C241;2015;1;6.6666666667;80;12;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:32";="600100168";07C132;2348;1;6.6666666667;86.666666667;13;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:32";="600100168";09C291;3631;1;6.6666666667;93.333333333;14;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:32";="600100168";12C08J;4540;1;6.6666666667;100;15;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:32";="600100168";23M08J;7969;1;6.6666666667;60;9;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:32";="020000022";04M13T;1184;1;50;50;1;1;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:32";="020000022";08M261;3111;1;50;100;2;1;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:21";="590782439";05M13T;1815;5;21.739130435;21.739130435;5;3;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:21";="590782439";05M20Z;1803;4;17.391304348;39.130434783;9;2;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:21";="590782439";06M12T;2200;3;13.043478261;52.173913043;12;3;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:21";="590782439";05M08T;1752;2;8.6956521739;60.869565217;14;1;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:21";="590782439";11M02T;4342;2;8.6956521739;69.565217391;16;2;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:21";="590782439";04M081;1156;1;4.347826087;73.913043478;17;1;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:21";="590782439";04M22Z;1223;1;4.347826087;78.260869565;18;1;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:21";="590782439";06M031;2129;1;4.347826087;82.608695652;19;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:21";="590782439";06M18T;2201;1;4.347826087;86.956521739;20;1;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:21";="590782439";08M36T;3153;1;4.347826087;91.304347826;21;1;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:21";="590782439";11M041;4293;1;4.347826087;95.652173913;22;1;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:21";="590782439";23M20Z;7990;1;4.347826087;100;23;1;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";14Z08Z;9999;202;60.119047619;60.119047619;202;147;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";28Z04Z;9605;21;6.25;66.369047619;223;16;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";28Z07Z;9606;13;3.869047619;70.238095238;236;9;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";14Z14A;5495;4;1.1904761905;71.428571429;240;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";01C101;47;3;0.8928571429;72.321428571;243;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";06M03T;5372;3;0.8928571429;73.214285714;246;3;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";06M12T;5381;3;0.8928571429;74.107142857;249;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";14Z16Z;5502;3;0.8928571429;75;252;3;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";15Z10E;9999;3;0.8928571429;75.892857143;255;3;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";01C10J;73;2;0.5952380952;76.488095238;257;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";05M13T;5336;2;0.5952380952;77.083333333;259;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";08M07T;5527;2;0.5952380952;77.678571429;261;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";08M28T;5543;2;0.5952380952;78.273809524;263;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";08M29T;5544;2;0.5952380952;78.869047619;265;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";11C131;4168;2;0.5952380952;79.464285714;267;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";11M04T;5630;2;0.5952380952;80.05952381;269;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";14C08A;5326;2;0.5952380952;80.654761905;271;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";23M111;7979;2;0.5952380952;81.25;273;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";01M11T;237;1;0.2976190476;81.547619048;274;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";01M201;268;1;0.2976190476;81.845238095;275;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";01M25T;5107;1;0.2976190476;82.142857143;276;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";01M32Z;324;1;0.2976190476;82.44047619;277;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";03C16J;673;1;0.2976190476;82.738095238;278;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";03K03J;820;1;0.2976190476;83.035714286;279;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";03M052;835;1;0.2976190476;83.333333333;280;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";04M03T;5186;1;0.2976190476;83.630952381;281;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";04M052;1143;1;0.2976190476;83.928571429;282;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";04M05T;5188;1;0.2976190476;84.226190476;283;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";04M07T;5190;1;0.2976190476;84.523809524;284;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:12";="020000253";04M16T;5199;1;0.2976190476;84.821428571;285;1;2023.7;X020000253;24AUG23;14:38:01
