"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;nb;mnt;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:52";="800000036";Séjours valorisés;405;1267014.868;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:52";="800000036";Dont séjours en hospitalisation complète;360;1246908.8211;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:52";="800000036";Dont séjours sans nuitée;22;10606.396925;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:52";="800000036";Dont séjours séances;23;9499.649959;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:38";="600100168";Séjours valorisés;4810;6226258.9396;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:38";="600100168";Dont séjours en hospitalisation complète;1719;4130483.1796;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:38";="600100168";Dont séjours sans nuitée;2277;1763673.479;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:38";="600100168";Dont séjours séances;814;332102.28096;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:41";="020000022";Séjours valorisés;590;2308007.672;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:41";="020000022";Dont séjours en hospitalisation complète;402;2161773.5919;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:41";="020000022";Dont séjours sans nuitée;110;82181.027484;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:41";="020000022";Dont séjours séances;78;64053.052544;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:27";="590782439";Séjours valorisés;974;2066722.5323;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:27";="590782439";Dont séjours en hospitalisation complète;557;1751366.2577;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:27";="590782439";Dont séjours sans nuitée;407;311419.6436;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:27";="590782439";Dont séjours séances;10;3936.631002;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:55:23";="590049565";Séjours valorisés;158;1935254.8076;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:23";="590049565";Dont séjours en hospitalisation complète;155;1933414.3166;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:23";="590049565";Dont séjours sans nuitée;3;1840.4910197;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:23";="590049565";Dont séjours séances;0;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:39:22";="020000253";Séjours valorisés;15537;26596446.516;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:22";="020000253";Dont séjours en hospitalisation complète;5626;20807254.223;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:22";="020000253";Dont séjours sans nuitée;4568;3555616.2657;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:22";="020000253";Dont séjours séances;5343;2233576.0283;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:38:29";="620003376";Séjours valorisés;12947;18692368.059;2023.7;X620003376;25AUG23;10:37:19
