"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;classe_dist;nb;nb_valo;nb_nvalo;mnt_br;mnt_am;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:53";="800000036";TDE;01;3;3;0;247.461282;245.72905303;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:53";="800000036";TDE;02;17;17;0;2567.921965;2462.7571422;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";TDE;01;112;112;0;9289.9429975;8789.293263;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";TDE;02;5;5;0;736.18757965;702.66747111;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";TDE;03;6;6;0;1697.5825806;1685.6995025;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";TSE;06;23;23;0;3948.1079168;3920.4711614;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:43";="020000022";TDE;01;1;1;0;86.99964;86.39064252;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:43";="020000022";TDE;02;78;77;1;11692.93248;10402.40002;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:43";="020000022";TSE;06;7;7;0;1203.121254;1059.2213044;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:43";="020000022";TSE;07;11;11;0;2625.766038;2464.9366313;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";TDE;01;22;22;0;1886.916804;1753.6576785;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";TDE;02;2;2;0;292.67999;290.63123007;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:55:24";="590049565";TDE;01;6;6;0;491.32938042;487.89007475;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:24";="590049565";TDE;02;1;1;0;150.17331714;149.12210392;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:24";="590049565";TSE;06;9;9;0;1557.9154839;1547.0100755;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";TDE;01;267;267;0;22813.749648;21836.353724;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";TDE;02;195;193;2;29253.408865;27844.727934;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";TDE;03;38;37;1;10473.173188;9554.5231834;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";TDE;04;1;1;0;478.528089;475.17839238;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";TSE;06;30;29;1;5216.309982;5179.7958121;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";TSE;07;1;1;0;243.298302;241.59521389;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:38:30";="620003376";TDE;01;549;306;243;25247.887351;23818.203057;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:30";="620003376";TDE;02;59;31;28;4508.5827709;4329.3582129;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:30";="620003376";TDE;03;2;1;1;269.11200175;267.22821773;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:07:05";="620101337";TDE;01;72;70;2;5941.060782;5697.5129643;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:05";="620101337";TDE;02;273;266;7;40352.96716;36575.027674;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:05";="620101337";TDE;03;264;253;11;72623.623164;64697.096734;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:05";="620101337";TDE;04;6;5;1;2342.962327;2231.5259122;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:47:33";="800000077";TDE;01;24;24;0;2051.890992;1970.2076243;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:33";="800000077";TDE;02;3;3;0;455.048395;421.20831212;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:33";="800000077";TDE;03;2;2;0;551.435936;547.57588445;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:33";="800000077";TDE;05;1;1;0;996.724059;989.74699059;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:10:38";="590782645";TDE;01;13;13;0;1112.945136;1087.8763915;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:38";="590782645";TDE;02;14;13;1;1990.57619;1945.9874125;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:38";="590782645";TSE;06;73;72;1;12839.714072;12074.810618;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:38";="590782645";TSE;07;21;21;0;5096.635521;4964.3209868;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:57";="600100572";TDE;01;3;3;0;256.486374;254.69096938;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:57";="600100572";TDE;02;24;24;0;3696.486595;3639.9564447;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:57";="600100572";TDE;03;1;1;0;290.807322;288.77167075;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:57";="600100572";TSE;06;7;7;0;1259.109306;1250.2955409;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:57";="600100572";TSE;08;15;15;0;5516.75943;5478.142114;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:45:09";="020004495";TDE;01;51;49;2;4181.756532;3848.6474563;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:45:09";="020004495";TDE;02;205;204;1;30903.219835;27318.82242;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:45:09";="020004495";TDE;03;108;105;3;29991.552066;26456.426685;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:45:09";="020004495";TDE;04;9;8;1;3803.385653;3401.5522766;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:25:05";="020000055";TDE;01;1;1;0;86.99964;86.39064252;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:25:05";="020000055";TDE;02;11;9;2;1373.15939;1334.4841513;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:25:05";="020000055";TDE;03;1;1;0;290.807322;288.77167075;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:25:05";="020000055";TSE;06;2;2;0;359.745516;357.22729739;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:25:05";="020000055";TSE;07;4;4;0;947.935566;895.48905811;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:29:46";="590782652";TDE;01;102;102;0;8779.199814;8271.2026491;2023.7;X590782652;29AUG23;9:28:13
