"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;classe_dist;nb;mnt_am;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";TDE;03;1;220.5743744;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/28 12:10:38";="590782645";TDE;02;1;117.071996;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:38";="590782645";TSE;06;1;136.4331328;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 15:45:10";="020004495";TDE;01;2;135.5893872;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:45:10";="020004495";TDE;02;1;123.48336;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 13:06:02";="620000026";TDE;01;1;67.71451391;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 14:25:34";="620025346";TDE;02;1;120.13865371;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:52:10";="020000261";TDE;02;1;123.48336;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/30 08:36:34";="590780284";TDE;01;4;267.55216086;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:34";="590780284";TDE;02;1;120.13865371;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 10:34:01";="590797353";TDE;01;6;406.28708346;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:01";="590797353";TSE;06;2;280.00107526;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 11:30:42";="590782421";TDE;01;4;271.1787744;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 14:12:14";="590782165";TDE;01;1;69.599712;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:40:18";="620101360";TDE;02;1;123.48336;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:56:44";="590781662";TDE;03;1;232.6458576;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/31 10:38:45";="590781415";TDE;01;3;208.799136;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:45";="590781415";TDE;03;1;220.5743744;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:45";="590781415";TSE;06;1;136.4331328;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:39:48";="620103440";TSE;06;6;863.3892384;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 11:51:25";="590780193";TDE;01;32;2198.3104896;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:25";="590780193";TDE;02;2;240.555356;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:25";="590780193";TSE;06;1;143.8982064;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 12:26:22";="020004404";TDE;01;1;69.599712;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 14:54:03";="600100713";TDE;01;1;69.599712;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 15:44:28";="590782215";TDE;01;2;135.5893872;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:44:28";="590782215";TDE;02;1;123.48336;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 17:00:00";="620100685";TDE;01;1;69.599712;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 17:00:00";="620100685";TDE;02;1;123.48336;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 18:54:28";="800000069";TDE;02;1;123.48336;2023.7;X800000069;31AUG23;18:53:23
"mco";"dgf";"2023";"7";"2023/09/01 09:19:42";="600100721";TDE;01;1;69.599712;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:19:42";="600100721";TDE;02;1;123.48336;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 12:23:16";="600101984";TDE;01;1;69.599712;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:23:16";="600101984";TDE;02;2;240.555356;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 14:03:43";="590783239";TDE;01;1;69.599712;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 16:56:56";="020000063";TDE;03;2;465.2917152;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:56:56";="020000063";TDE;04;1;382.8224712;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 18:28:05";="590000188";TSE;06;1;140.00053763;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/05 09:24:38";="590782637";TDE;01;2;131.9793504;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 09:24:38";="590782637";TDE;02;1;117.071996;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 17:46:17";="800000044";TDE;02;3;370.45008;2023.7;X800000044;05SEP23;17:44:11
