"champ";"statut";"annee";"periode";"date du resultat";"ipe";datedeb;typ_um;nblits;date_fin;nbj;nbsupp;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:47";="800000036";01/01/2023;02;0;;212;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:47";="800000036";01/01/2023;03;0;;212;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:34";="600100168";01/01/2023;02;0;;212;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:34";="600100168";01/01/2023;03;4;;212;848;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:34";="020000022";01/01/2023;02;0;;212;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:34";="020000022";01/01/2023;03;0;;212;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:23";="590782439";01/01/2023;02;0;;212;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:23";="590782439";01/01/2023;03;6;;212;1272;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:55:19";="590049565";01/01/2023;02;0;;212;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:19";="590049565";01/01/2023;03;0;;212;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:39:14";="020000253";01/01/2023;02;6;;212;1272;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:14";="020000253";01/01/2023;03;4;;212;848;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:38:23";="620003376";01/01/2023;02;0;;212;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:23";="620003376";01/01/2023;03;10;;212;2120;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";01/01/2023;02;18;;212;3816;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";01/01/2023;03;12;;212;2544;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:47:27";="800000077";01/01/2023;02;0;;212;0;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:27";="800000077";01/01/2023;03;0;;212;0;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:10:33";="590782645";01/01/2023;02;0;;212;0;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:33";="590782645";01/01/2023;03;0;;212;0;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:52";="600100572";01/01/2023;02;0;;212;0;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:52";="600100572";01/01/2023;03;0;;212;0;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:45:03";="020004495";01/01/2023;02;0;;212;0;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:45:03";="020004495";01/01/2023;03;0;;212;0;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:25:00";="020000055";01/01/2023;02;0;;212;0;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:25:00";="020000055";01/01/2023;03;0;;212;0;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:29:37";="590782652";01/01/2023;02;0;;212;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:29:37";="590782652";01/01/2023;03;0;;212;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:49:12";="590780052";01/01/2023;02;0;;212;0;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:49:12";="590780052";01/01/2023;03;0;;212;0;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 10:20:12";="600100648";01/01/2023;02;0;;212;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:20:12";="600100648";01/01/2023;03;0;;212;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:05:56";="620000026";01/01/2023;02;12;;212;2544;2023.7;X620000026;29AUG23;13:05:03
