"champ";"statut";"annee";"periode";"date du resultat";"ipe";_NAME_;COL1;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:48";="800000036";nbrea;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:48";="800000036";nbsi_rea;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:48";="800000036";nbnn1;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:48";="800000036";nbnn2;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:48";="800000036";nbnn3;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:48";="800000036";nbrep;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:48";="800000036";nbsi;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:48";="800000036";nbsc;0;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:34";="600100168";nbrea;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:34";="600100168";nbsi_rea;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:34";="600100168";nbnn1;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:34";="600100168";nbnn2;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:34";="600100168";nbnn3;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:34";="600100168";nbrep;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:34";="600100168";nbsi;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:34";="600100168";nbsc;32;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:35";="020000022";nbrea;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:35";="020000022";nbsi_rea;0;2023.7;X020000022;18AUG23;15:14:25
