"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;nombre;mnt_ivg;mnt_ivg_am;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:39:22";="020000253";AMD;43;25954.37;25954.37;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:22";="020000253";AMF;156;44133.96;44133.96;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:22";="020000253";APD;3;1992.15;1859.34;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 12:07:04";="620101337";AMD;68;41044.12;39233.35;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:04";="620101337";AMF;198;56016.18;53866.064;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:04";="620101337";APD;1;664.05;531.24;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/29 10:20:18";="600100648";AMF;43;12165.13;11882.22;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 14:52:07";="020000261";AMD;25;15089.75;14606.878;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:07";="020000261";AMF;165;46680.15;42889.156;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:07";="020000261";APD;3;1992.15;1859.34;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:14:46";="620100651";AMF;212;59976.92;59976.92;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:46";="620100651";IMD;50;23162.5;22977.2;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/30 08:43:33";="020000287";AMD;45;27161.55;27161.55;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:43:33";="020000287";AMF;69;19520.79;19520.79;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 11:30:40";="590782421";AMD;17;10261.03;10140.312;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:40";="590782421";AMF;356;100715.96;100433.05;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:40";="590782421";APD;3;1992.15;1726.53;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:40";="590782421";IMD;159;73656.75;73564.1;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 14:12:12";="590782165";AMD;38;22936.42;22936.42;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:12:12";="590782165";AMF;118;33383.38;33383.38;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:12:12";="590782165";APD;1;664.05;531.24;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:40:15";="620101360";AMD;3;1810.77;1448.616;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:40:15";="620101360";AMF;112;31685.92;31685.92;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:40:15";="620101360";APD;2;1328.1;1328.1;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:40:15";="620101360";IMD;6;2779.5;2779.5;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:56:42";="590781662";AMF;61;17257.51;17257.51;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 15:05:32";="590781621";AMD;10;6035.9;5915.182;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:05:32";="590781621";AMF;103;29139.73;28573.91;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:05:32";="590781621";APD;3;1992.15;1859.34;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/31 10:38:42";="590781415";AMD;18;10864.62;10743.902;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:42";="590781415";AMF;343;97038.13;97038.13;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:42";="590781415";IMD;56;25942;25942;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:39:46";="620103440";AMD;36;21729.24;21125.65;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:39:46";="620103440";AMF;82;23198.62;23085.456;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:39:46";="620103440";APD;4;2656.2;2257.77;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:39:46";="620103440";IMD;1;463.25;463.25;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 11:51:22";="590780193";AMD;161;97177.99;97057.272;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:22";="590780193";AMF;317;89682.47;89512.724;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:22";="590780193";APD;2;1328.1;1328.1;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:22";="590780193";IMD;152;70414;70321.35;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:22";="590780193";IPD;1;506.32;506.32;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 12:26:20";="020004404";AMD;26;15693.34;14003.288;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:26:20";="020004404";AMF;96;27159.36;25009.244;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:26:20";="020004404";IMD;1;463.25;463.25;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 14:26:34";="590781605";AMD;22;13278.98;13158.262;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:26:34";="590781605";AMF;139;39324.49;39267.908;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:34:32";="800000093";AMD;1;603.59;482.872;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:34:32";="800000093";AMF;94;26593.54;26027.72;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:54:01";="600100713";AMD;77;46476.43;46355.712;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:54:01";="600100713";AMF;149;42153.59;41983.844;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:54:01";="600100713";APD;4;2656.2;2656.2;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 15:44:26";="590782215";AMD;26;15693.34;15451.904;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:44:26";="590782215";AMF;271;76668.61;75933.044;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:44:26";="590782215";APD;1;664.05;664.05;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:44:26";="590782215";IMD;64;29648;28721.5;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 16:59:58";="620100685";AMD;144;86916.96;85951.216;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:59:58";="620100685";AMF;228;64503.48;63824.496;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:59:58";="620100685";APD;10;6640.5;6374.88;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:59:58";="620100685";IMD;44;20383;20290.35;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 18:54:26";="800000069";AMF;17;4809.47;4809.47;2023.7;X800000069;31AUG23;18:53:23
"mco";"dgf";"2023";"7";"2023/09/01 09:19:40";="600100721";AMD;51;30783.09;29938.064;2023.7;X600100721;01SEP23;9:18:13
