"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;indication;code1;nb;nbok;dep;montant;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";3400894405450;9440545;I000541;9440545;35;32;70358.05;64327.232;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";3400894405511;9440551;I000541;9440551;16;8;7719.2;3859.632;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/30 08:43:38";="020000287";3400894405450;9440545;I000541;9440545;15;15;30153.45;30153.39;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 11:30:45";="590782421";3400894405450;9440545;I000541;9440545;8;0;17025.72;0;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:45";="590782421";3400894405511;9440551;I000541;9440551;4;4;2043.076;1929.816;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 14:12:16";="590782165";3400893740507;9374050;I001004;9374050;14;14;41023.78;41023.78;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:12:16";="590782165";3400894094692;9409469;I001003;9409469;114;114;47141.28;47142.42;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:12:16";="590782165";3400894094692;9409469;I001005;9409469;84;84;34735.68;34736.52;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/31 10:38:48";="590781415";3400893913444;9391344;I000539;9391344;29.28;0;87579.424;0;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:48";="590781415";3400894023036;9402303;I000285;9402303;28;0;1943.459;0;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:48";="590781415";3400894187875;9418787;I000285;9418787;39;0;5263.817;0;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:48";="590781415";3400894274674;9427467;I000503;9427467;10;0;1702.879;0;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:48";="590781415";3400894405450;9440545;I000541;9440545;15.12;15.12;30994.961;30394.61712;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:48";="590781415";3400894405511;9440551;I000541;9440551;7.09;7.09;3487.715;3420.59886;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:48";="590781415";3400894459798;9445979;I000367;9445979;15.04;0;1297.456;0;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 14:54:06";="600100713";3400893740507;9374050;I001004;9374050;10;10;29302.7;29302.7;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:54:06";="600100713";3400894274674;9427467;I000503;9427467;4.5;4.5;616.302;2270.529;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:54:06";="600100713";3400894389798;9438979;I001005;9438979;16;16;39698.835;39698.832;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/09/01 13:08:48";="800000028";3400894274674;9427467;I000503;9427467;2;2;861.72;1009.124;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 13:08:48";="800000028";3400894405450;9440545;I000541;9440545;12.15;12.15;24428.29;24424.2459;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 13:08:48";="800000028";3400894471806;9447180;I000368;9447180;2.642;2.642;478.25;478.25;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 16:56:59";="020000063";3400893740507;9374050;I001004;9374050;16;16;46884.32;46884.32;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:56:59";="020000063";3400894389798;9438979;I001003;9438979;12;12;29774.16;29774.124;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:56:59";="020000063";3400894389798;9438979;I001005;9438979;18;18;44661.24;44661.186;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:56:59";="020000063";3400894405450;9440545;I000541;9440545;3;3;6030.66;6030.678;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/07 20:02:03";="590781902";3400894405450;9440545;I000541;9440545;22;22;44224.97;44224.972;2023.7;X590781902;07SEP23;20:00:41
