"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;indication;nombre;nb_nonval;nombre_i0;nb_nonvalhp;nombre_et2;nombre_pbind;nb_val;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400890005234;9000523;9000523;I000029;3;0;0;0;0;0;3;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400890005234;9000523;9000523;I000030;1;0;0;0;0;0;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400890007139;9000713;9000713;I000203;5;0;0;0;0;0;5;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400890007351;9000735;9000735;I000203;1;0;0;0;0;0;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400890009850;9000985;9000985;I000011;2;0;0;0;0;0;2;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400890009850;9000985;9000985;I000012;5;0;0;0;0;0;5;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400890009881;9000988;9000988;I000011;4;0;0;0;0;0;4;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400890009881;9000988;9000988;I000012;3;0;0;0;0;0;3;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400890010801;9001080;9001080;I000573;1;0;0;0;0;0;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400890010818;9001081;9001081;I000573;8;0;0;0;0;0;8;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400890012478;9001247;9001247;I000029;23;0;0;0;0;0;23;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400890012478;9001247;9001247;I000030;9;0;0;0;0;0;9;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400890012478;9001247;9001247;I000408;12;0;0;0;0;0;12;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400892137377;9213737;9213737;I000287;6;0;0;0;0;0;6;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400892137377;9213737;9213737;I000290;14;0;0;0;0;0;14;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400893011119;9301111;9301111;I000105;19;0;0;0;0;0;19;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400893011119;9301111;9301111;I000109;6;0;0;0;0;0;6;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400893011287;9301128;9301128;I000105;2;0;0;0;0;0;2;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400893659502;9365950;9365950;I000203;2;0;0;0;0;0;2;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400893740507;9374050;9374050;I000582;10;0;0;0;0;0;10;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400893949924;9394992;9394992;I000386;7;0;0;0;0;0;7;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400893950005;9395000;9395000;I000386;14;0;0;0;0;0;14;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894000372;9400037;9400037;I000162;1;0;0;0;0;0;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894000372;9400037;9400037;I000163;7;0;0;0;0;0;7;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894000433;9400043;9400043;I000506;9;0;0;0;0;0;9;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894020592;9402059;9402059;I000103;39;0;0;0;0;0;39;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894020592;9402059;9402059;I000104;25;0;0;0;0;0;25;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894020592;9402059;9402059;I000530;21;0;0;0;0;0;21;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894094692;9409469;9409469;I000580;24;0;0;0;0;0;24;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894197232;9419723;9419723;I000211;6;0;0;0;0;0;6;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894197232;9419723;9419723;I000420;2;0;0;0;0;0;2;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894197232;9419723;9419723;I000476;10;0;0;0;0;0;10;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894197232;9419723;9419723;I000501;2;0;0;0;0;0;2;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894197232;9419723;9419723;I000502;2;0;0;0;0;0;2;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894197232;9419723;9419723;I000526;8;0;0;0;0;0;8;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894197232;9419723;9419723;I000629;2;0;0;0;0;0;2;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894250203;9425020;9425020;I000534;3;0;0;0;0;0;3;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894388968;9438896;9438896;I000284;18;0;0;0;0;0;18;2023.7;X600100168;11AUG23;8:30:51
