"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;indication;dep23;dep23_aut;nb23;ecart;dep23_val;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400890005234;9000523;9000523;I000029;468.63;1209.786;3;370.578;839.208;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400890005234;9000523;9000523;I000030;156.21;403.262;1;123.526;279.736;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400890007139;9000713;9000713;I000203;2838.37;10172.225;5;3666.9275;6505.2975;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400890007351;9000735;9000735;I000203;265.46;2034.445;1;884.4925;1149.9525;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400890009850;9000985;9000985;I000011;54.126;662.572;2;304.223;358.349;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400890009850;9000985;9000985;I000012;135.326;1656.43;5;760.552;895.878;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400890009881;9000988;9000988;I000011;24.998;278.564;4;126.783;151.781;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400890009881;9000988;9000988;I000012;19.848;208.923;3;94.5375;114.3855;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400890010801;9001080;9001080;I000573;4692.9;4692.904;1;0.002;4692.902;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400890010818;9001081;9001081;I000573;22853.279;22981.936;8;64.3285;22917.6075;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400890012478;9001247;9001247;I000029;3628.813;3628.813;23;0;3628.813;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400890012478;9001247;9001247;I000030;1513.833;1513.833;9;0;1513.833;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400890012478;9001247;9001247;I000408;1874.53;1874.53;12;0;1874.53;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400892137377;9213737;9213737;I000287;551.34;809.802;6;129.231;680.571;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400892137377;9213737;9213737;I000290;1715.28;1889.538;14;87.129;1802.409;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400893011119;9301111;9301111;I000105;15343.83;15343.906;19;0.038;15343.868;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400893011119;9301111;9301111;I000109;4845.42;4845.444;6;0.012;4845.432;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400893011287;9301128;9301128;I000105;323.04;323.03;2;-0.01;323.03;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400893659502;9365950;9365950;I000203;530.92;4068.89;2;1768.985;2299.905;2023.7;X600100168;11AUG23;8:30:51
