"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;indication;annee;periode;dep23;nb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:54";="800000036";3400893843734;9384373;9384373;I000088;2023;03;131;20;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/29 09:29:47";="590782652";3400894231851;9423185;9423185;I000224;2023;03;40.42;2;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:29:47";="590782652";3400894459798;9445979;9445979;I000363;2023;03;16.336;1;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:29:47";="590782652";3400894459798;9445979;9445979;I000363;2023;04;32.672;2;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:29:47";="590782652";3400894459798;9445979;9445979;I000363;2023;05;48.99;3;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:29:47";="590782652";3400894459798;9445979;9445979;I000363;2023;06;49.47;3;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:29:47";="590782652";3400894459798;9445979;9445979;I000363;2023;07;49.5;3;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 14:47:13";="590781670";3400894043775;9404377;9404377;I999999;2023;03;188.16;1;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400893517932;9351793;9351793;I000534;2023;01;2042.08;1;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400890002943;9000294;9000294;I000372;2023;03;755.325;26.421;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400890002943;9000294;9000294;I000373;2023;03;177.531;6.21;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400890002943;9000294;9000294;I000374;2023;03;36.107;1.263;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400890002943;9000294;9000294;I999999;2023;03;436.31;15.262;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400890015189;9001518;9001518;I000362;2023;03;46.404;1.818;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400890015189;9001518;9001518;I000363;2023;03;88.215;3.456;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400890015189;9001518;9001518;I000364;2023;03;92.808;3.636;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400890015189;9001518;9001518;I000365;2023;03;162.414;6.363;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400890015189;9001518;9001518;I000367;2023;03;76.575;3;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400890015189;9001518;9001518;I999999;2023;03;178.648;6.999;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400894537724;9453772;9453772;I999999;2023;03;30.63;5;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400894537892;9453789;9453789;I999999;2023;03;135.079;7;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400894539384;9453938;9453938;I000354;2023;03;2042;40;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400890000987;9000098;9000098;I000372;2023;04;419.815;14.685;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400890000987;9000098;9000098;I000373;2023;04;180.561;6.316;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400890000987;9000098;9000098;I000374;2023;04;36.107;1.263;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400890000987;9000098;9000098;I999999;2023;04;421.301;14.737;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400890002943;9000294;9000294;I000372;2023;04;171.528;6;2023.7;X590797353;30AUG23;10:32:13
