"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;prov;fvalo;flag_oval;ponder;nbsea;nb23;montant;dep23_aut;dep23_val;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400890000994;9000099;9000099;1;1;4;27;27;29;4760.59;13214.592;8987.591;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400890001007;9000100;9000100;1;1;4;30;30;59;2428.5;7586.785;5007.6425;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/29 16:14:49";="620100651";3400890000994;9000099;9000099;1;1;4;329;329;561.771;88073.515;257378.53527;172726.02514;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:49";="620100651";3400890001007;9000100;9000100;1;1;4;90;90;170.75;6716.2;21898.41225;14307.306125;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/30 08:43:37";="020000287";3400890000994;9000099;9000099;1;1;4;20;20;48;7633.56;22396.564;15015.062;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:43:37";="020000287";3400890001007;9000100;9000100;1;1;4;1;1;4;438.36;438.348;438.348;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 10:34:03";="590797353";3400890000994;9000099;9000099;1;1;4;31;31;57.735;14082.549;35819.02494;24950.78697;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:03";="590797353";3400890000994;9000099;9000099;2;1;6;1;1;0.875;213.427;542.8535;378.14025;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/31 11:51:27";="590780193";3400890000994;9000099;9000099;1;1;4;1766;1187;3820.472;604222.804;1733922.3253;1169072.5647;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 14:34:35";="800000093";3400890000994;9000099;9000099;1;1;4;3;3;12;961.14;5490.57;3225.855;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 17:00:02";="620100685";3400890000994;9000099;9000099;1;0;1;24;24;39.247;6275.159;18594.732788;12434.945894;2023.7;X620100685;31AUG23;16:57:50
