"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;code1;dep23;dep23_aut;nb23;ecart;dep23_val;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/11 08:31:40";="600100168";3123387;3123387;6419.34;6419.34;2;0;6419.34;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:40";="600100168";3127280;3127280;83.06;83.06;1;0;83.06;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:40";="600100168";3128723;3128723;1600.38;1600.38;2;0;1600.38;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:40";="600100168";3146773;3146773;291.25;291.25;1;0;291.25;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:40";="600100168";3153276;3153276;432.26;432.26;2;0;432.26;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:40";="600100168";3162298;3162298;1971.44;1971.44;2;0;1971.44;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:40";="600100168";3177532;3177532;340.5;340.5;1;0;340.5;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:40";="600100168";3309761;3309761;1817.6;1817.6;2;0;1817.6;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:40";="600100168";3329775;3329775;340.8;340.8;1;0;340.8;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:40";="600100168";3363447;3363447;454.4;454.4;1;0;454.4;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:40";="600100168";8131859;8131859;225.7;225.7;1;0;225.7;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:40";="600100168";8133746;8133746;1052.19;1096.04;1;21.925;1074.115;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:40";="600100168";8133829;8133829;176.73;176.73;1;0;176.73;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:40";="600100168";8144537;8144537;44.63;44.63;1;0;44.63;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:40";="600100168";8144589;8144589;422.84;422.84;2;0;422.84;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:40";="600100168";8168503;8168503;422.84;422.84;2;0;422.84;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/22 19:10:29";="590782439";3195843;3195843;573;1020;2;223.5;796.5;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/24 14:39:26";="020000253";3117671;3117671;3383.94;3488.52;42;52.29;3436.23;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:26";="020000253";3121402;3121402;5161.98;5211.7;1;24.86;5186.84;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:26";="020000253";3127362;3127362;4716.17;4861.98;9;72.905;4789.075;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:26";="020000253";3134741;3134741;291.25;291.25;1;0;291.25;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:26";="020000253";3148826;3148826;1381.18;1312.12;2;-69.06;1312.12;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:26";="020000253";3160750;3160750;16765.99;17287.04;32;260.525;17026.515;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:26";="020000253";3177609;3177609;74.76;83.06;1;4.15;78.91;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:26";="020000253";3182059;3182059;2753.55;2753.55;3;0;2753.55;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:26";="020000253";3331252;3331252;1635.84;1817.6;2;90.88;1726.72;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:26";="020000253";3399818;3399818;306.72;340.8;1;17.04;323.76;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:26";="020000253";3402466;3402466;30156.7;30156.75;5;0.025;30156.725;2023.7;X020000253;24AUG23;14:38:01
