"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;code1;annee;periode;dep23;nb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 10:38:32";="620003376";3199321;3199321;2022;12;615.33;1;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:32";="620003376";3107916;3107916;2023;01;176.73;1;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:32";="620003376";3135692;3135692;2023;01;884.49;1;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:32";="620003376";3165517;3165517;2023;01;746.83;1;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:32";="620003376";3185767;3185767;2023;01;94.46;2;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:32";="620003376";3104556;3104556;2023;02;231.72;2;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:32";="620003376";3135692;3135692;2023;02;884.49;1;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:32";="620003376";3199321;3199321;2023;02;615.33;1;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:32";="620003376";3104556;3104556;2023;03;115.86;1;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:32";="620003376";3165517;3165517;2023;05;746.83;1;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:32";="620003376";3185767;3185767;2023;05;141.69;3;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:32";="620003376";3146780;3146780;2023;06;315.23;1;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:32";="620003376";3165517;3165517;2023;06;1493.66;2;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:07:08";="620101337";3146780;3146780;2023;01;305.78;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:08";="620101337";3148631;3148631;2023;01;524.02;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:08";="620101337";3146780;3146780;2023;02;305.78;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:08";="620101337";3148631;3148631;2023;02;1064.24;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:08";="620101337";3148631;3148631;2023;04;524.02;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:08";="620101337";3146780;3146780;2023;05;611.56;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:08";="620101337";3148631;3148631;2023;05;1048.04;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:08";="620101337";3146780;3146780;2023;07;305.78;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:08";="620101337";3148631;3148631;2023;07;524.02;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/29 13:06:04";="620000026";3114715;3114715;2023;04;289.929;1;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:06:04";="620000026";3154005;3154005;2023;05;251.94;1;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:06:04";="620000026";3165517;3165517;2023;05;1507.08;2;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:06:04";="620000026";3175830;3175830;2023;06;219.589;1;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 14:25:36";="620025346";3104556;3104556;2023;01;130.35;1;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:36";="620025346";3107916;3107916;2023;01;176.73;1;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:36";="620025346";3120041;3120041;2023;01;1080.44;2;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:36";="620025346";3161130;3161130;2023;01;83.06;1;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:36";="620025346";3124240;3124240;2023;02;787.74;2;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:36";="620025346";3107916;3107916;2023;03;176.73;1;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:36";="620025346";3124240;3124240;2023;03;787.74;2;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:36";="620025346";8144520;8144520;2023;03;47.2;1;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:36";="620025346";3107916;3107916;2023;04;176.73;1;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:36";="620025346";3124240;3124240;2023;04;787.74;2;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:36";="620025346";3107916;3107916;2023;05;176.73;1;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:36";="620025346";3107916;3107916;2023;06;176.73;1;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:36";="620025346";3124240;3124240;2023;06;393.87;1;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:36";="620025346";3124240;3124240;2023;07;393.87;1;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 16:14:51";="620100651";3175384;3175384;2023;02;404.76;2;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/30 08:36:36";="590780284";3120271;3120271;2023;01;3966.8;4;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:36";="590780284";3418823;3418823;2023;02;1380;1;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:36";="590780284";3120271;3120271;2023;04;3966.8;4;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 14:12:18";="590782165";3143148;3143148;2023;01;962.31;1;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:12:18";="590782165";3199321;3199321;2023;02;615.33;1;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:12:18";="590782165";3186293;3186293;2023;06;89.32;1;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:12:18";="590782165";3199321;3199321;2023;06;615.33;1;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/31 11:51:29";="590780193";3131955;3131955;2023;01;369.591;6;2023.7;X590780193;31AUG23;11:45:29
