"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;indication;code1;dep23;dep23_aut;nb23;ecart;dep23_val;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 10:20:23";="600100648";3400893287880;9328788;I000205;9328788;796.32;1225.2;12;214.44;1010.76;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/30 08:36:37";="590780284";3400894020592;9402059;I000103;9402059;1161.07;1161.075;1;0.0025;1161.0725;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:37";="590780284";3400894388968;9438896;I000287;9438896;1427.528;2969.274;22;770.873;2198.401;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 10:34:06";="590797353";3400894020592;9402059;I000103;9402059;1161.07;1161.075;1;0.0025;1161.0725;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 11:30:47";="590782421";3400894020592;9402059;I000103;9402059;4644.28;4644.3;4;0.01;4644.29;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:47";="590782421";3400894023036;9402303;I000287;9402303;1076.097;2294.439;17;609.171;1685.268;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:47";="590782421";3400894250203;9425020;I000335;9425020;6126.24;6126.246;3;0.003;6126.243;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/31 10:38:51";="590781415";3400893287880;9328788;I000205;9328788;306.3;408.4;4;51.05;357.35;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:51";="590781415";3400893287941;9328794;I000205;9328794;1531.5;2042;10;255.25;1786.75;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 11:51:31";="590780193";3400890004220;9000422;I999999;9000422;69.967;519.486;3;224.7595;294.7265;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:31";="590780193";3400890006576;9000657;I000465;9000657;4442.3;4459.728;1;8.714;4451.014;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:31";="590780193";3400890006576;9000657;I000613;9000657;17769.2;17838.912;4;34.856;17804.056;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:31";="590780193";3400890006576;9000657;I999999;9000657;26653.8;26758.368;6;52.284;26706.084;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:31";="590780193";3400890007139;9000713;I000203;9000713;384.685;864.639125;0.425;239.9770625;624.6620625;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:31";="590780193";3400892182612;9218261;I999999;9218261;5254.594;5275.197;43;10.3015;5264.8955;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:31";="590780193";3400893287941;9328794;I999999;9328794;701.738;1225.2;6;261.731;963.469;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:31";="590780193";3400893326206;9332620;I999999;9332620;1297.041;1384.528;2;43.7435;1340.7845;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:31";="590780193";3400893385166;9338516;I000236;9338516;4914.687;4757.554;1;-157.133;4757.554;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:31";="590780193";3400893606681;9360668;I999999;9360668;279.676;280.775;1;0.5495;280.2255;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:31";="590780193";3400893606742;9360674;I999999;9360674;2237.424;2246.2;4;4.388;2241.812;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:31";="590780193";3400893606803;9360680;I999999;9360680;2237.422;2246.2;2;4.389;2241.811;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:31";="590780193";3400893951064;9395106;I000271;9395106;15713.291;15774.942;6;30.8255;15744.1165;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:31";="590780193";3400894000372;9400037;I000163;9400037;2255.592;2370.568;2;57.488;2313.08;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:31";="590780193";3400894000372;9400037;I000166;9400037;3383.388;3555.852;3;86.232;3469.62;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:31";="590780193";3400894000433;9400043;I000506;9400043;21065.778;21148.392;12;41.307;21107.085;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:31";="590780193";3400894023036;9402303;I000292;9402303;630.546;1349.67;10;359.562;990.108;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:31";="590780193";3400894023036;9402303;I999999;9402303;1513.308;3239.208;24;862.95;2376.258;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:31";="590780193";3400894197232;9419723;I000476;9419723;47201.562;47316.79;18;-82.644;47118.918;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:31";="590780193";3400894274506;9427450;I999999;9427450;333.255;1614.608;16;640.6765;973.9315;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:31";="590780193";3400894274674;9427467;I999999;9427467;936.999;4541.058;9;1802.0295;2739.0285;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:31";="590780193";3400894293194;9429319;I999999;9429319;3384.694;3692.072;8;153.689;3538.383;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:31";="590780193";3400894387268;9438726;I999999;9438726;254.253;483.709;1;114.728;368.981;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:31";="590780193";3400894495468;9449546;I000163;9449546;491.001;2449.67341;4.68;979.336205;1470.337205;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:31";="590780193";3400894495468;9449546;I000166;9449546;531.919;3114.80928;5.07;1291.44514;1823.36414;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:31";="590780193";3400894495468;9449546;I000167;9449546;915.904;4790.23917;8.73;1937.167585;2853.071585;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 12:26:25";="020004404";3400894351368;9435136;I000456;9435136;11077.86;11077.85;2;-0.01;11077.85;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 14:54:10";="600100713";3400890006576;9000657;I000535;9000657;31218.04;31218.096;7;0.028;31218.068;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:54:10";="600100713";3400894000372;9400037;I000163;9400037;4504.08;4741.136;4;118.528;4622.608;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 15:44:32";="590782215";3400890005234;9000523;I000029;9000523;1025.955;2788.7125;6.525;881.37875;1907.33375;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:44:32";="590782215";3400893011119;9301111;I000106;9301111;1259.816;1259.81544;1.56;-0.00056;1259.81544;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:44:32";="590782215";3400894274674;9427467;I999999;9427467;273.914;1009.124;2;367.605;641.519;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/09/01 09:19:48";="600100721";3400894023036;9402303;I000292;9402303;1012.83;2159.472;16;573.321;1586.151;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 12:16:42";="620100057";3400894389798;9438979;I000581;9438979;2481.18;2481.177;1;-0.003;2481.177;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:23:21";="600101984";3400890005234;9000523;I000408;9000523;1572.34;4032.62;10;1230.14;2802.48;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:23:21";="600101984";3400892717982;9271798;I000262;9271798;357.36;816.8;4;229.72;587.08;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:23:21";="600101984";3400893001813;9300181;I000268;9300181;5435.01;5435.073;21;0.0315;5435.0415;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:23:21";="600101984";3400893011119;9301111;I000105;9301111;3230.296;3230.296;4;0;3230.296;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:23:21";="600101984";3400893011287;9301128;I000105;9301128;2584.24;2584.24;16;0;2584.24;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:23:21";="600101984";3400893126523;9312652;I000279;9312652;1123.1;1123.1;2;0;1123.1;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:23:21";="600101984";3400894000372;9400037;I000162;9400037;4504.08;4741.136;4;118.528;4622.608;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 16:13:44";="590785374";3400890005319;9000531;I000012;9000531;27.056;439.285899;0.663;206.1149495;233.1709495;2023.7;X590785374;01SEP23;16:12:38
"mco";"dgf";"2023";"7";"2023/09/01 16:13:44";="590785374";3400894197232;9419723;I000476;9419723;5294.09;5294.086;2;-0.004;5294.086;2023.7;X590785374;01SEP23;16:12:38
"mco";"dgf";"2023";"7";"2023/09/01 18:28:09";="590000188";3400892182612;9218261;I000018;9218261;2330.92;1165.4505;19;-1165.4695;1165.4505;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:28:09";="590000188";3400893975428;9397542;I000504;9397542;11715.99;5857.9875;3;-5858.0025;5857.9875;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:28:09";="590000188";3400894395423;9439542;I000592;9439542;106798.438;53399.2189;12.163;-53399.2191;53399.2189;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/05 17:46:22";="800000044";3400890004220;9000422;I000510;9000422;373.184;2943.754;17;1285.285;1658.469;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:46:22";="800000044";3400894023036;9402303;I000292;9402303;759.624;1619.604;12;429.99;1189.614;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:46:22";="800000044";3400894023036;9402303;I999999;9402303;189.906;404.901;3;107.4975;297.4035;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/07 20:02:05";="590781902";3400894020592;9402059;I000103;9402059;8127.49;8127.525;7;0.0175;8127.5075;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:05";="590781902";3400894020592;9402059;I000104;9402059;1161.07;1161.075;1;0.0025;1161.0725;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:05";="590781902";3400894023036;9402303;I000287;9402303;698.07;1484.637;11;393.2835;1091.3535;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:05";="590781902";3400894023036;9402303;I000288;9402303;759.63;1619.604;12;429.987;1189.617;2023.7;X590781902;07SEP23;20:00:41
