"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;code1;dep23;dep23_aut;nb23;ecart;dep23_val;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:39:27";="020000253";8146230;8146230;678.84;452.56;4;-226.28;452.56;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:27";="020000253";8184407;8184407;113.14;113.14;1;0;113.14;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/29 13:06:05";="620000026";3318091;3318091;1079.689;1136.51;1;28.4105;1108.0995;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:06:05";="620000026";8151537;8151537;268.92;252.28;1;-16.64;252.28;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:06:05";="620000026";8151626;8151626;1081.31;1081.31;1;0;1081.31;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/30 08:36:38";="590780284";3499030;3499030;864;864;1;0;864;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:38";="590780284";8116676;8116676;208.56;208.56;2;0;208.56;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:38";="590780284";8144537;8144537;31.239;44.63;1;6.6955;37.9345;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:38";="590780284";8144603;8144603;337.14;337.14;1;0;337.14;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:38";="590780284";8144610;8144610;124.78;124.78;1;0;124.78;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:38";="590780284";8144626;8144626;685.98;685.98;1;0;685.98;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:38";="590780284";8144709;8144709;1333.59;1333.59;1;0;1333.59;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:38";="590780284";8144744;8144744;498.53;498.54;2;0.005;498.535;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:38";="590780284";8410163;8410163;1331.69;1380;1;24.155;1355.845;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 10:34:07";="590797353";3358200;3358200;2273.02;2273.02;2;0;2273.02;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:07";="590797353";8116676;8116676;104.28;104.28;1;0;104.28;2023.7;X590797353;30AUG23;10:32:13
