"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;indication;code1;dep23;dep23_aut;nb23;ecart;dep23_val;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 12:07:11";="620101337";3400893326206;9332620;I000077;9332620;634.73;1384.528;2;374.899;1009.629;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/29 14:52:14";="020000261";3400894474418;9447441;I000164;9447441;142.94;699.407;1;278.2335;421.1735;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/31 11:51:33";="590780193";3400892182612;9218261;I000015;9218261;3421.596;3435.012;28;6.708;3428.304;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:33";="590780193";3400892182612;9218261;I000018;9218261;5498.994;5520.555;45;10.7805;5509.7745;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:33";="590780193";3400892332086;9233208;I999999;9233208;20097.761;20179.044;9;40.6415;20138.4025;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:33";="590780193";3400893326206;9332620;I999999;9332620;1945.562;2076.792;3;65.615;2011.177;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:33";="590780193";3400894036913;9403691;I000231;9403691;2800.682;3039.63;2;119.474;2920.156;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:33";="590780193";3400894062295;9406229;I999999;9406229;1118.713;1323.216;2;102.2515;1220.9645;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:33";="590780193";3400894062417;9406241;I999999;9406241;1118.711;1323.216;1;102.2525;1220.9635;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:33";="590780193";3400894258476;9425847;I000051;9425847;533.93;936.852;14;201.461;735.391;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:33";="590780193";3400894258537;9425853;I000051;9425853;43.223;85.118;1;20.9475;64.1705;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:33";="590780193";3400894293194;9429319;I999999;9429319;3371.685;3692.072;8;160.1935;3531.8785;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/09/01 12:23:22";="600101984";3400890005234;9000523;I000408;9000523;1415.106;4606.497;9;1595.6955;3010.8015;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/05 17:46:24";="800000044";3400894197232;9419723;I000476;9419723;5074.098;4964.102;2;-109.996;4964.102;2023.7;X800000044;05SEP23;17:44:11
