"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib_type;finess_hpr;mnt_dfg;mnt_hpr_valo;mnt_hpr_arv;rs;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:57";="800000036";Entité Juridique;800000036;1657721.1175;1157628.3222;1657721.1175;CH D'ALBERT;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/18 15:15:50";="020000022";Entité Juridique;020000022;2848501.3142;2104263.0434;2848501.3142;CH DE GUISE;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:32";="590782439";Entité Juridique;590782439;3109367.8933;1927477.9166;3109367.8933;CH WATTRELOS;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/25 14:47:38";="800000077";Entité Juridique;800000077;1891162.6008;1460962.8922;1891162.6008;CH DE HAM;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:10:42";="590782645";Entité Juridique;590782645;1811120.5292;1632484.6204;1811120.5292;CH DE BAILLEUL;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:52:00";="600100572";Entité Juridique;600100572;1377211.5817;1144243.2745;1377211.5817;CH DE CHAUMONT EN VEXIN;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:45:15";="020004495";Entité Juridique;020004495;4568925.725;3864994.7873;4568925.725;CH BRISSET HIRSON;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:25:09";="020000055";Entité Juridique;020000055;1198183.0992;1240274.1564;1240274.1564;CH NOUVION EN THIERACHE;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:49:20";="590780052";Entité Juridique;590780052;2630575.3658;1974894.6028;2630575.3658;CH SOMAIN;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 14:22:08";="620003350";Entité Géographique;620003350;9551848.39;7511833.0061;9551848.39;HÔPITAL DE RIAUMONT;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:55";="590000600";Entité Juridique;590782207;4644772.9183;3369299.1016;4644772.9183;CH DE SAINT - AMAND;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:41:09";="590001749";Entité Géographique;590001749;5596129.7642;6170417.2453;6170417.2453;POLYCLINIQUE DE GRANDE SYNTHE;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:47:18";="590781670";Entité Juridique;590781670;3722828.0075;3559709.3145;3722828.0075;CH LE QUESNOY;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/30 12:12:44";="800000051";Entité Juridique;800000051;1689100.7583;1535631.5946;1689100.7583;CH DE CORBIE;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 13:42:53";="800000135";Entité Juridique;800000135;1277125.3192;1346749.6886;1346749.6886;CHIC DE LA BAIE DE SOMME;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 16:35:40";="590781795";Entité Juridique;590781795;4025174.7725;2881312.9112;4025174.7725;CH D'AVESNES;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:40";="620100677";Entité Juridique;620100677;4022033.1667;4783284.3919;4783284.3919;CH HENIN-BEAUMONT;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 11:14:38";="800000085";Entité Juridique;800000085;3659305.755;3467281.5327;3659305.755;CHIC MONTDIDIER-ROYE;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 14:29:51";="590781811";Entité Juridique;590781811;478328.03083;533245.99734;533245.99734;CH FELLERIES LIESSIES;2023.7;X590781811;31AUG23;14:28:53
"mco";"dgf";"2023";"7";"2023/08/31 15:00:19";="020000048";Entité Juridique;020000048;2529866.0975;2209821.0873;2529866.0975;CH GERONTOLOGIQUE;2023.7;X020000048;31AUG23;14:59:10
"mco";"dgf";"2023";"7";"2023/08/31 18:54:34";="800000069";Entité Juridique;800000069;5660114.6817;4676105.0266;5660114.6817;CH DE DOULLENS;2023.7;X800000069;31AUG23;18:53:23
"mco";"dgf";"2023";"7";"2023/09/01 08:07:24";="020000071";Entité Juridique;020000071;1809810.1233;1308739.7078;1809810.1233;CH DE VERVINS;2023.7;X020000071;01SEP23;8:06:20
