"champ";"statut";"annee";"periode";"date du resultat";"ipe";finessgeo;sej_hpr;mnt_ghs;mnt_po;mnt_ivg;mnt_ghs_ame;mnt_ghs_su;mnt_rac_det;mnt_dmi;mnt_dmi_ame;mnt_dmi_su;mnt_med;mnt_med_ame;mnt_med_su;mnt_med_apac;mnt_med_apac_ame;mnt_med_apac_su;mnt_trans;mnt_trans_ame;mnt_trans_su;rs_geo;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";800000184;1;1154919.836;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2708.4861953;0;0;CH ALBERT;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";;1;1154919.836;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2708.4861953;0;0;sous total EG HPROX;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:41:56";="800000036";;;1154919.836;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2708.4861953;0;0;Total;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:31:42";="600100168";600100168;0;5814459.4334;0;0;6659.334619;0;0;16117.885;0;0;445579.8795;0;0;44359.429;0;0;15098.131398;0;0;CENTRE MÉDICO-CHIRURGICAL;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:42";="600100168";;0;5814459.4334;0;0;6659.334619;0;0;16117.885;0;0;445579.8795;0;0;44359.429;0;0;15098.131398;0;0;sous total EG non HPROX;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:42";="600100168";;;5814459.4334;0;0;6659.334619;0;0;16117.885;0;0;445579.8795;0;0;44359.429;0;0;15098.131398;0;0;Total;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:15:49";="020000022";020000089;1;2090250.0948;0;0;0;0;0;0;0;0;0;0;0;1379.64;0;0;14012.948598;0;0;CH GUISE;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:49";="020000022";;1;2090250.0948;0;0;0;0;0;0;0;0;0;0;0;1379.64;0;0;14012.948598;0;0;sous total EG HPROX;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:15:49";="020000022";;;2090250.0948;0;0;0;0;0;0;0;0;0;0;0;1379.64;0;0;14012.948598;0;0;Total;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:10:32";="590782439";590000691;1;1925433.6277;0;0;1322.5731128;0;0;796.5;0;0;0;0;0;0;0;0;2044.2889085;0;0;CH WATTRELOS;2023.7;X590782439;22AUG23;19:09:40
