"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;code1;indication;qte;mnt_fact;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/18 15:14:38";="020000022";9407803;9407803;CRIFA01;448;2844.8;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:38";="020000022";9407803;9407803;NXXXX02;336;1800.96;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:38";="020000022";9417894;9417894;CDEXA01;24;490.08;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:38";="020000022";9425511;9425511;NETHO01;410;352.6;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/24 09:38:52";="590781605";9000788;9000788;;240;26097.6;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:52";="590781605";9000909;9000909;;870;7769.1;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:52";="590781605";9002094;9002094;;14;5374.6;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:52";="590781605";9002095;9002095;;7;2687.3;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:52";="590781605";9002096;9002096;;6;2303.4;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:52";="590781605";9002097;9002097;;2;767.8;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:52";="590781605";9002098;9002098;;2;767.8;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:52";="590781605";9002156;9002156;;1080;42800.4;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:52";="590781605";9025697;9025697;;240;310.2;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:52";="590781605";9262440;9262440;;336;3430.56;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:52";="590781605";9293564;9293564;;200;262;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:52";="590781605";9299319;9299319;;2;114.36;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:52";="590781605";9400391;9400391;;6;490.08;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:52";="590781605";9407803;9407803;;3948;21161.28;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:52";="590781605";9408866;9408866;;330;17483.4;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:52";="590781605";9417894;9417894;;20;408.4;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:52";="590781605";9422990;9422990;;5;4740.24;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:52";="590781605";9425511;9425511;;1150;989;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:52";="590781605";9428722;9428722;;2;1188.32;2023.7;X590781605;24AUG23;9:38:44
