"champ";"statut";"annee";"periode";"date du resultat";"ipe";unite;code;nb;mnt_br;mnt_remb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/10 13:22:48";="590780227";13;ADC;3;142.12;99.484;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:48";="590780227";13;ADE;366;35271.3;28231.093;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:48";="590780227";13;AMI;8;30.7125;18.4275;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:48";="590780227";13;APC;616;33880;25979.25;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:48";="590780227";13;ATM;171;3529.83;2639.191;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:48";="590780227";13;C;131;3013;2226.4;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:48";="590780227";13;CS;371;8533;6221.5;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:48";="590780227";13;CSC;172;8209.56;7250.187;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:48";="590780227";13;MCS;256;1280;943.5;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:48";="590780227";13;MOP;109;545;545;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:48";="590780227";13;MPC;373;746;544.4;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:48";="590780227";13;PAI;12;710;638;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:48";="590780227";13;SAS;1;24.56;24.56;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:48";="590780227";13;TC;2;46;39.1;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/24 12:29:42";="020000253";06;AMI;4;36.225;31.185;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:42";="020000253";06;ATM;184;12579.84;10520.064;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:42";="020000253";06;CS;65;1495;1351.25;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:42";="020000253";06;MCS;65;325;293.75;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:42";="020000253";06;MOP;37;185;185;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:42";="020000253";06;MPC;65;130;117.5;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:42";="020000253";07;APY;9;562.5;431.25;2023.7;X020000253;24AUG23;12:29:35
