"champ";"statut";"annee";"periode";"date du resultat";"ipe";code1;COUNT;PERCENT;pcum;scum;count_atu;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";JDQE0010;422;19.164396004;19.164396004;422;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";DZQM0060;246;11.171662125;30.336058129;668;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";DEQP0030;236;10.717529519;41.053587648;904;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";EQQP0080;161;7.3115349682;48.365122616;1065;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";HEQE0020;146;6.6303360581;54.995458674;1211;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";DEQP0050;127;5.7674841054;60.762942779;1338;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";DKRP0040;117;5.3133514986;66.076294278;1455;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";PDFA0010;115;5.2225249773;71.298819255;1570;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";HZHE0010;91;4.1326067212;75.431425976;1661;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";FEJF0030;70;3.178928247;78.610354223;1731;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";EJQM0040;60;2.7247956403;81.335149864;1791;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";EBQM0010;55;2.497729337;83.832879201;1846;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";GLQP0070;55;2.497729337;86.330608538;1901;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";EBQM0020;41;1.8619436876;88.192552225;1942;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";EJQM0030;37;1.6802906449;89.87284287;1979;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";ALQP0030;27;1.2261580381;91.099000908;2006;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";DGQM0010;21;0.9536784741;92.052679382;2027;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";GLHF0010;17;0.7720254314;92.824704814;2044;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";JCGE0030;17;0.7720254314;93.596730245;2061;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";QZFA0360;16;0.7266121708;94.323342416;2077;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";JDLD0020;15;0.6811989101;95.004541326;2092;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";JHPA0010;14;0.6357856494;95.640326975;2106;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";JEAD0010;13;0.5903723887;96.230699364;2119;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";HJQE0010;9;0.408719346;96.63941871;2128;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";HHQE0040;7;0.3178928247;96.957311535;2135;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";HZHE0020;6;0.272479564;97.229791099;2141;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";EBGA0010;5;0.2270663034;97.456857402;2146;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";HEQH0020;3;0.136239782;97.593097184;2149;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";HGQE0020;3;0.136239782;97.729336966;2152;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";LMMA0060;3;0.136239782;97.865576748;2155;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";QZFA0310;3;0.136239782;98.00181653;2158;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";JCGE0010;2;0.0908265213;98.092643052;2160;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";JDJD0010;2;0.0908265213;98.183469573;2162;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";QAGA0010;2;0.0908265213;98.274296094;2164;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";QZFA0020;2;0.0908265213;98.365122616;2166;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";QZFA0200;2;0.0908265213;98.455949137;2168;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";QZGA0100;2;0.0908265213;98.546775658;2170;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";QZJA0110;2;0.0908265213;98.63760218;2172;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";YYYY0280;2;0.0908265213;98.728428701;2174;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";DKRP0030;1;0.0454132607;98.773841962;2175;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";DKRP0050;1;0.0454132607;98.819255223;2176;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";EBQH0020;1;0.0454132607;98.864668483;2177;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";EJQH0030;1;0.0454132607;98.910081744;2178;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";EJQM0010;1;0.0454132607;98.955495005;2179;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";FCFA0210;1;0.0454132607;99.000908265;2180;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";GLKP0010;1;0.0454132607;99.046321526;2181;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";GLLP0030;1;0.0454132607;99.091734787;2182;0;2023.7;X600100168;09AUG23;14:38:36
