"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;nb;nb2;libelle;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";1104;1;22;HEMOGRAMME Y COMPRIS PLAQUETTES (NFS , NFP);2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";1610;1;20;SANG : IONOGRAMME COMPLET (NA + K + CL + CO2 + PROTIDES);2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";1804;1;8;CRP (PROTEINE C REACTIVE) (DOSAGE) (SANG);2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";1821;1;60;PEPTIDES NATRIURETIQUES (ANP, BNP, NT-PROBNP) (DOSAGE) (SANG);2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";7335;1;58;TROPONINE (DOSAGE) (SANG);2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";9005;1;17;FORFAIT DE PRISE EN CHARGE PRE-ANALYTIQUE DU PATIENT;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";9105;1;5;FORFAIT DE SECURITE POUR ECHANTILLON SANGUIN;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:39";="600100168";9107;1;8;SUPPLEMENT POUR ACTES DE BIOLOGIE EFFECTUES EN ETABLISSEMENTS DE SOINS PRIVES;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";4;1631;163100;HISTOPATH. BIOPSIES UNIQUES OU MULTIPLES NON INDIVIDUALISEES;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";6;509;61080;HISTOPATH. PIECE OPER. INTERESSANT UN ORGANE;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";14;82;8200;CYTOPATH. LIQ. EPANCHEMENT, LAVAGE ALVEOLAIRE OU VESICAL, LCR;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";41;4;5000;TECHNIQUES AVEC CULTURE (LIQUIDE AMNIOTIQUE, CULTURES DE VILLOSITES CHORIALES);2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";127;1194;23880;INR : TEMPS DE QUICK EN CAS DE TRAITEMENT PAR AVK;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";174;252;3780;FIBRINOGENE (FACTEUR I) : DOSAGE FONCTIONNEL;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";178;5;250;FACTEUR VIII (ANTIHEMOPHILIQUE A): DOSAGE ACTIVITE COAGULANTE;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";179;2;100;FACTEUR IX (ANTIHEMOPHILIQUE B) : DOSAGE ACTIVITE COAGULANTE;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";180;5;250;FACTEUR XI : DOSAGE ACTIVITE COAGULANTE;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";181;1;40;FACTEUR XII : DOSAGE ACTIVITE COAGULANTE;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";189;23;920;ANTITHROMBINE (DOSAGE FONCTIONNEL);2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";190;11;550;PROTEINE S (DOSAGE FONCTIONNEL);2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";191;23;1150;PROTEINE C (DOSAGE FONCTIONNEL);2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";192;13;650;FACTEUR WILLEBRAND (DOSAGE FONCTIONNEL);2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";214;890;53400;BACTERIE AEROBIE OU MICROAEROPHILE NOMMEMENT DESIGNEE : RECH. ISOLEE;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";215;4;320;BACTERIE ANAEROBIE NOMMEMENT DESIGNEE : RECH. ISOLEE;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";240;16;480;MYCOBACTERIES : EXAMEN MICROSCOPIQUE;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";253;14;980;EX. MYCO ISOLE : IDENTIF DE GENRE LEVURES ET CHAMPIGNONS FILAMENTEUX;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";269;305;12200;ANTIBIOGRAMME BACTERIE AEROBIE (SAUF MYCOPLASME) (ATB);2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";286;2;190;EX. PARASITO. DES SELLES AVEC 2 METHODES DE CONCENTRATION;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";316;7;210;COMPLEMENT CH50 PAR REACTION D'HEMOLYSE (DOSAGE) (SANG);2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";320;14;756;ALPHA-FOETOPROTEINE (AFP) (DOSAGE) (SANG);2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";324;31;930;BETA 2 MICROGLOBULINE (DOSAGE) (SANG);2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";330;44;1980;ESTRADIOL (FEMME) (E2) (SANG);2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";334;15;675;PROGESTERONE (PG) (SANG);2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";343;24;1080;PROLACTINE (SANG);2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";350;5;250;HEPATITE A (VHA) : SD : IGM (INFECTION RECENTE) PAR EIA;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";357;5;250;TESTOSTERONE (HOMME) (SANG);2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";358;2;136;PROTEINE DE TRANSPORT DES HORM. SEXUELLES (TEBG, SBG) (SANG);2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";364;4;480;SEROTONINE PAR CLHP (SANG);2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";388;277;11634;INFECTION A VIH 1 ET 2 : SD DE DEPISTAGE;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";413;10;200;EPREUVE SIMPLIFIEE D'HYPERGLYCEMIE;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";462;40;1960;CORTISOL (SANG);2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";472;37;1665;L.H. (SANG);2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";473;46;2070;F.S.H. (SANG);2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";476;1;73;CORTISOL LIBRE (URINE);2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";477;4;520;CATECHOLAMINES (OU METANEPHRINES) (URINE);2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";500;6;720;DEPISTAGE D'UN DEFICIT EN DIHYDROPYRIMIDINE DESHYDROGENASE (DPD );2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";514;573;2865;PHOSPHATASES ALCALINES (PH. ALC.) (SANG);2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";519;483;2415;GAMMA GLUTAMYL TRANSFERASE (GAMMAT GT , GGT) (SANG);2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";521;107;642;LACTATE DESHYDROGENASE (LDH) (SANG);2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";522;989;8901;TRANSAMINASES (ALAT ET ASAT, TGP ET TGO)(SANG);2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";523;7;385;ENZYME DE CONVERSION DE L'ANGIOTENSINE (SANG);2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";524;87;522;LIPASEMIE (SANG);2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";530;18;126;SANG : ACIDE LACTIQUE (LACTATES);2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";532;53;318;SANG : ACIDE URIQUE (URICEMIE);2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";536;2;70;SANG : AMMONIAQUE;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";552;379;1895;SANG : GLUCOSE (GLYCEMIE);2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";559;1;25;SANG : METHEMOGLOBINE (METHB);2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";563;453;2718;SANG : PHOSPHORE MINERAL (PHOSPHOREMIE , P);2023.7;X590780227;10AUG23;13:22:39
