"champ";"statut";"annee";"periode";"date du resultat";"ipe";code_val;qte_nvalo;qte_valo;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";PCR (5271);1;2;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";PCR-F (5271+9004);0;1;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";PRA (5271+ 9005 ou 9006);1;3;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/25 12:06:54";="620101337";PCR (5271);8;1;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:06:54";="620101337";PCR-F (5271+9004);1;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:06:54";="620101337";PCR-N (5271+9001);1;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:06:54";="620101337";PRA (5271+ 9005 ou 9006);20;1;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/28 12:52:12";="590782421";PCR (5271);1403;34;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:12";="590782421";PCR-F (5271+9004);852;13;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:12";="590782421";PCR-N (5271+9001);6;3;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:12";="590782421";PRA (5271+ 9005 ou 9006);4491;98;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 15:42:12";="020004495";PCR (5271);0;21;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:12";="020004495";PRA (5271+ 9005 ou 9006);0;40;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/29 09:49:27";="590782652";PCR (5271);1;21;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:27";="590782652";PCR-F (5271+9004);1;6;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:27";="590782652";PCR-N (5271+9001);1;5;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:27";="590782652";PRA (5271+ 9005 ou 9006);6;63;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 11:59:14";="020000261";PCR (5271);0;12;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 13:23:02";="590065223";PCR (5271);1;138;2023.7;X590065223;29AUG23;13:22:52
"mco";"dgf";"2023";"7";"2023/08/29 13:23:02";="590065223";PCR-N (5271+9001);0;1;2023.7;X590065223;29AUG23;13:22:52
"mco";"dgf";"2023";"7";"2023/08/29 13:23:02";="590065223";PRA (5271+ 9005 ou 9006);1;137;2023.7;X590065223;29AUG23;13:22:52
"mco";"dgf";"2023";"7";"2023/08/29 16:27:57";="620100651";PCR (5271);0;81;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:27:57";="620100651";PCR-F (5271+9004);0;6;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:27:57";="620100651";PCR-N (5271+9001);1;10;2023.7;X620100651;29AUG23;16:27:45
