"champ";"statut";"annee";"periode";"date du resultat";"ipe";code1;code;nombre;mnt_br;mnt_remb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 12:06:57";="620101337";SE;AMI;4;12.6;10.08;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/30 09:19:00";="590780284";SE;AMI;502.5;1582.875;1508.22;2023.7;X590780284;30AUG23;9:18:49
"mco";"dgf";"2023";"7";"2023/08/30 10:39:21";="590797353";ATU;AMI;103.5;326.025;271.845;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:21";="590797353";SE;AMI;1098.5;3460.275;3169.845;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:21";="590797353";SE;AMI N;1.5;13.88;13.88;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 14:17:37";="590782165";SE;AMI;91.5;288.225;259.875;2023.7;X590782165;30AUG23;14:17:25
"mco";"dgf";"2023";"7";"2023/08/30 15:54:14";="620100685";SE;AMI;1.5;4.725;4.725;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 21:29:26";="590000188";SE;AMI;58;182.7;181.44;2023.7;X590000188;30AUG23;21:29:16
"mco";"dgf";"2023";"7";"2023/08/31 18:57:40";="800000069";SE;AMI;1257.5;3961.125;3459.645;2023.7;X800000069;31AUG23;18:57:32
"mco";"dgf";"2023";"7";"2023/09/01 13:09:14";="620100057";SE;AMI;20.5;64.575;51.66;2023.7;X620100057;01SEP23;13:09:00
