"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;PU;tarif;coef_mco;coef_mco_ok;qte_pb;br_pb;pb_coef;pb_coef2;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";SE1;81.52;81.41;0.995;0.9943;0;0;7;0;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";SE1;81.52;85.78;0.9963;0.9953;1;0;1;0;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";SE1;85.78;85.78;0.9963;0.9953;0;0;15;0;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:39";="020000022";SE3;45.74;45.74;0.9963;0.9953;0;0;6;0;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/21 15:04:22";="600100572";FFM;19.15;20.47;0.993;0.9943;9;0;0;9;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:22";="600100572";FFM;19.15;21.57;0.993;0.9953;23;0;0;23;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/22 17:50:48";="590782439";SE6;293.96;309.75;0.9943;0.9953;2;0;2;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";ATU;27.17;28.63;0.9943;0.9953;14;0;14;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";ATU;28.63;28.63;0.9943;0.9953;0;0;9;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";FU1;27.53;29.78;1;1;34;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";FU2;35.21;34.82;1;1;5;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";SB2;52.11;52.26;1;1;8;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";SB3;54.27;54.86;1;1;1;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";SE1;81.41;85.78;0.9943;0.9953;4;0;4;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";SE1;85.78;85.78;0.9943;0.9953;0;0;10;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";SE2;65.14;68.64;0.9943;0.9953;2;0;2;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";SE2;68.64;68.64;0.9943;0.9953;0;0;3;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";SIC;53.48;53.95;1;1;2;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";SIM;33.99;34.29;1;1;21;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";SSF;18.73;18.89;1;1;2;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";SSN;24.71;24.93;1;1;5;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";SUB;43.2;43.68;1;1;35;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";SUM;12.66;12.52;1;1;6;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:53";="590781605";SUN;39.3;39.65;1;1;9;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 12:29:44";="020000253";SE1;81.41;81.41;1.0013;0.9943;0;0;0;2;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:44";="020000253";SE1;85.78;85.78;1.0023;0.9953;0;0;0;1;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/25 11:33:12";="600100648";FU1;27.53;29.78;1;1;1;0;0;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:12";="600100648";FU2;35.21;34.82;1;1;1;0;0;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:12";="600100648";SE1;81.41;81.41;0.9953;0.9943;0;0;1;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:12";="600100648";SE2;65.14;65.14;0.9953;0.9943;0;0;1;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:12";="600100648";SE4;21.7;21.7;0.9953;0.9943;0;0;3;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:12";="600100648";SE4;22.87;22.87;1.0533;0.9953;0;0;10;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:12";="600100648";SUN;39.3;39.65;1;1;1;0;0;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 12:06:56";="620101337";ATU;28.7;28.63;0.9953;0.9953;0;1;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:06:56";="620101337";FU2;35.21;34.82;1;1;5;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:06:56";="620101337";FU3;41.11;40.67;1;1;16;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:06:56";="620101337";FU4;49.27;48.74;1;1;2;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:06:56";="620101337";SB2;52.11;52.26;1;1;9;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:06:56";="620101337";SB3;54.27;54.86;1;1;9;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:06:56";="620101337";SE1;85.78;85.78;0.9943;0.9953;0;0;1;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:06:56";="620101337";SIC;53.48;53.95;1;1;6;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:06:56";="620101337";SIM;33.99;34.29;1;1;4;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:06:56";="620101337";SSN;24.71;24.93;1;1;4;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:06:56";="620101337";SUB;43.2;43.68;1;1;2;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:06:56";="620101337";SUM;12.66;12.52;1;1;4;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:06:56";="620101337";SUN;39.3;39.65;1;1;3;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 14:11:42";="020000287";ATU;27.17;28.63;0.9943;0.9953;3;0;3;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:42";="020000287";SE1;81.41;85.78;0.9943;0.9953;2;0;2;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:48:07";="800000077";FFM;19.15;20.47;0.9943;0.9943;1;0;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:07";="800000077";FFM;19.15;21.57;0.9953;0.9953;1;0;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:07";="800000077";SE1;81.21;81.41;0.9943;0.9943;2;0;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:07";="800000077";SE1;81.21;85.78;0.9953;0.9953;2;0;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:07";="800000077";SE4;20.31;21.7;0.9943;0.9943;10;0;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:07";="800000077";SE4;20.31;22.87;0.9953;0.9953;1;0;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 15:06:46";="590785374";SE1;85.78;85.78;0.9687;0.9683;0;0;15;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:47";="590782645";SE4;21.61;21.7;0.9949;0.9943;2;0;2;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:47";="590782645";SE4;21.61;22.87;0.9949;0.9953;2;0;2;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";ATU;27.17;28.63;0.9943;0.9953;138;0;138;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";ATU;27.17;28.63;0.9953;0.9953;152;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";ATU;28.63;28.63;1.0023;0.9953;0;0;0;1;2023.7;X590782421;28AUG23;12:51:57
