"champ";"statut";"annee";"periode";"date du resultat";"ipe";code1;nbfact;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/09 14:38:42";="600100168";PDFA0010;1;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";NGQK0010;1;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/24 12:29:47";="020000253";BGLB0010;62;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:47";="020000253";JQQM0010;3;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:47";="020000253";NGQK0010;1;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:47";="020000253";QZRB0010;1;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/25 11:33:15";="600100648";HBGD0160;2;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:15";="600100648";HBMD0500;1;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 12:07:00";="620101337";QEJA0010;5;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:00";="620101337";QZRP0030;22;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:00";="620101337";ZCQJ0030;13;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:00";="620101337";ZCQM0070;169;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 14:48:09";="800000077";NDQK0010;1;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/28 12:52:18";="590782421";BZQK0010;3;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:18";="590782421";DEQP0050;8;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:18";="590782421";HBJD0010;2;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:18";="590782421";HBMD0490;1;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:18";="590782421";HBMD0530;10;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:18";="590782421";HBMD0580;1;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 14:31:09";="020000063";BAFA0070;1;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:09";="020000063";BCFA0030;1;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:09";="020000063";DEQP0050;1;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:09";="020000063";JAKD0010;1;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:09";="020000063";JCKD0010;7;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:09";="020000063";JNQM0010;1;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:09";="020000063";MAQK0030;4;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:09";="020000063";MCQK0010;1;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:09";="020000063";MDQK0010;3;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:09";="020000063";MZLB0010;1;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:09";="020000063";PBQM0030;12;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:09";="020000063";QELH0010;1;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:09";="020000063";QZFA0360;2;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:09";="020000063";YYYY4050;8;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:09";="020000063";ZBQK0020;1;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:09";="020000063";ZCQJ0030;2;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:09";="020000063";ZCQM0030;1;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:09";="020000063";ZZQP0040;1;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 15:42:16";="020004495";AHLB0110;2;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/29 11:59:19";="020000261";BGQP0020;1;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:19";="020000261";HBGD0360;6;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:19";="020000261";HBMD0500;1;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 14:46:25";="590781670";DEQP0030;2;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:25";="590781670";GLHF0010;5;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:25";="590781670";MDQK0010;1;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:25";="590781670";MZQK0030;1;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 15:41:14";="590001749";FEJF0030;1;2023.7;X590001749;29AUG23;15:40:58
"mco";"dgf";"2023";"7";"2023/08/29 16:28:04";="620100651";DEQP0030;1;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:04";="620100651";HBGD0360;2;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:04";="620100651";HBMD0420;1;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:04";="620100651";HBMD0530;2;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:04";="620100651";HBQK3890;1;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:04";="620100651";HFKD0010;1;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:04";="620100651";NDQK0010;1;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:04";="620100651";ZBQK0020;1;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/30 08:07:11";="600100713";ACQK0010;1;2023.7;X600100713;30AUG23;8:06:51
"mco";"dgf";"2023";"7";"2023/08/30 08:07:11";="600100713";BEPP0020;1;2023.7;X600100713;30AUG23;8:06:51
