"champ";"statut";"annee";"periode";"date du resultat";"ipe";finess;type;moiss;moist;mnt_am;mnt3;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/09 14:38:47";="600100168";600100168;5;1;1;2297.815;2297.815;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:47";="600100168";600100168;5;1;2;3310.616;1012.801;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:47";="600100168";600100168;5;1;3;57422.392;54111.776;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:47";="600100168";600100168;5;1;4;57308.502;-113.89;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:47";="600100168";600100168;5;1;5;57369.8235;61.3215;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:47";="600100168";600100168;5;1;6;57466.464;96.6405;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:47";="600100168";600100168;5;1;7;57466.464;5.09317E-11;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:47";="600100168";600100168;5;2;1;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:47";="600100168";600100168;5;2;2;20312.101;20312.101;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:47";="600100168";600100168;5;2;3;45684.01;25371.909;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:47";="600100168";600100168;5;2;4;45763.57;79.56;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:47";="600100168";600100168;5;2;5;45914.753;151.183;2023.7;X600100168;09AUG23;14:38:36
