"champ";"statut";"annee";"periode";"date du resultat";"ipe";code1;mnt_avb;mnt_am_avb;mnt_apb;mnt_am_apb;mnt;mnt_am;mnt_br_fides;mnt_remb_fides;cpt;mnt_am_mat2a;mnt_am_fides;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";ATU;0;0;0;0;0;0;0;0;1;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";FFM;102.390963;81.9127704;0;0;102.390963;81.9127704;0;0;2;81.9127704;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";DIALYSE;0;0;0;0;0;0;0;0;3;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";FTN;0;0;0;0;0;0;0;0;4;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";CCAM;47523.92;43637.922;0;0;47523.92;108620.736;77805.95;64982.814;5;43637.922;64982.814;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";SE;56831.690986;51510.562992;0;0;56831.690986;51510.562992;0;0;6;51510.562992;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";NGAP;-2376;-2376;0;0;-2376;303629.032;380010.295;306005.032;7;-2376;306005.032;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";DMI;0;0;0;0;0;0;0;0;8;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";MED;0;0;0;0;0;0;0;0;9;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";INNOVATION;0;0;0;0;0;0;0;0;12;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";URGENCE;0;0;0;0;0;0;0;0;13;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/10 13:22:57";="590780227";ATU;37062.196143;29880.458898;0;0;37062.196143;29880.458898;0;0;1;29880.458898;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:57";="590780227";FFM;0;0;0;0;0;0;0;0;2;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:57";="590780227";DIALYSE;0;0;0;0;0;0;0;0;3;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:57";="590780227";FTN;101536.8355;101536.8355;0;0;101536.8355;1121935.255;1020398.4195;1020398.4195;4;101536.8355;1020398.4195;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:57";="590780227";CCAM;133105.42;111841.19888;0;0;133105.42;1210841.9197;1335726.36;1099000.7208;5;111841.19888;1099000.7208;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:57";="590780227";SE;91507.369123;80323.848438;0;0;91507.369123;80323.848438;0;0;6;80323.848438;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:57";="590780227";NGAP;80429.08;66028.108;0;0;80429.08;1394944.6766;1656737.7105;1328916.5686;7;66028.108;1328916.5686;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:57";="590780227";DMI;0;0;0;0;0;0;0;0;8;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:57";="590780227";MED;0;0;0;0;0;0;0;0;9;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:57";="590780227";INNOVATION;0;0;0;0;0;0;0;0;12;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:57";="590780227";URGENCE;1708787.74;1708787.7184;0;0;1708787.74;1708787.7184;0;0;13;1708787.7184;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/18 15:14:48";="020000022";ATU;0;0;0;0;0;0;0;0;1;0;0;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:48";="020000022";FFM;0;0;0;0;0;0;0;0;2;0;0;2023.7;X020000022;18AUG23;15:14:32
