"champ";"statut";"annee";"periode";"date du resultat";"ipe";finessgeo;ace_hpr;mnt_dia;mnt_atu;mnt_ffm;mnt_se;mnt_ace;mnt_med;mnt_dmi;mnt_urg;mnt_rac_det;rs_geo;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/09 14:38:48";="600100168";600100168;0;0;0;81.9127704;51510.562992;41261.922;0;0;0;0;CENTRE MÉDICO-CHIRURGICAL;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:48";="600100168";;0;0;0;81.9127704;51510.562992;41261.922;0;0;0;0;sous total EG non HPROX;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:48";="600100168";;;0;0;81.9127704;51510.562992;41261.922;0;0;0;0;Total;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/10 13:22:59";="590780227";590000121;0;0;29880.458898;0;80323.848438;279406.14238;0;0;1708787.7184;39.95974594;CH SECLIN;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:59";="590780227";;0;0;29880.458898;0;80323.848438;279406.14238;0;0;1708787.7184;39.95974594;sous total EG non HPROX;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:59";="590780227";;;0;29880.458898;0;80323.848438;279406.14238;0;0;1708787.7184;39.95974594;Total;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/18 15:14:51";="020000022";020000089;1;0;0;0;0;1917.372;0;0;0;0;CH GUISE;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:51";="020000022";;1;0;0;0;0;1917.372;0;0;0;0;sous total EG HPROX;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:51";="020000022";;;0;0;0;0;1917.372;0;0;0;0;Total;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/21 15:04:31";="600100572";600000152;1;0;0;0;0;1145.612;0;0;0;0;CH CHAUMONT-EN-VEXIN;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:31";="600100572";;1;0;0;0;0;1145.612;0;0;0;0;sous total EG HPROX;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:31";="600100572";;;0;0;0;0;1145.612;0;0;0;0;Total;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/22 17:50:56";="590782439";590000691;1;0;0;15373.253577;10920.655906;54416.682;0;0;0;0;CH WATTRELOS;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:56";="590782439";;1;0;0;15373.253577;10920.655906;54416.682;0;0;0;0;sous total EG HPROX;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:56";="590782439";;;0;0;15373.253577;10920.655906;54416.682;0;0;0;0;Total;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/24 09:39:03";="590781605";590000428;0;0;24319.77774;0;25352.847951;148756.7435;0;0;1136317.5949;137.9836615;CH CAMBRAI;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:39:03";="590781605";;0;0;24319.77774;0;25352.847951;148756.7435;0;0;1136317.5949;137.9836615;sous total EG non HPROX;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:39:03";="590781605";;;0;24319.77774;0;25352.847951;148756.7435;0;0;1136317.5949;137.9836615;Total;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 12:29:54";="020000253";020000394;0;0;16787.137502;0;63405.237005;150530.90187;0;0;772536.47862;24095.921366;CH LAON;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:54";="020000253";;0;0;16787.137502;0;63405.237005;150530.90187;0;0;772536.47862;24095.921366;sous total EG non HPROX;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:54";="020000253";;;0;16787.137502;0;63405.237005;150530.90187;0;0;772536.47862;24095.921366;Total;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/25 10:04:39";="620003376";620003350;0;0;0;0;0;21;0;0;0;0;HÔPITAL DE RIAUMONT;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:39";="620003376";620003376;0;0;0;0;87251.037682;78414.5468;0;8452.62;977524.07247;35.529226022;POLYCLINIQUE MÉDICO-CHIRURGICALE D'HENIN-BEAUMONT;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:39";="620003376";620025346;0;0;0;0;63.206724;150.88;0;0;0;0;POLYCLINIQUE DE DIVION;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:39";="620003376";;0;0;0;0;87314.244406;78586.4268;0;8452.62;977524.07247;35.529226022;sous total EG non HPROX;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:39";="620003376";;;0;0;0;87314.244406;78586.4268;0;8452.62;977524.07247;35.529226022;Total;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 11:33:21";="600100648";600000186;0;0;0;0;5705.5593394;88033.8245;0;0;1424860.1461;150.44903455;CH CLERMONT;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:21";="600100648";;0;0;0;0;5705.5593394;88033.8245;0;0;1424860.1461;150.44903455;sous total EG non HPROX;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:21";="600100648";;;0;0;0;5705.5593394;88033.8245;0;0;1424860.1461;150.44903455;Total;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";620000323;0;0;30556.242935;0;58390.962352;309885.9;0;0;1617438.5245;104.8285025;CH CALAIS;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";;0;0;30556.242935;0;58390.962352;309885.9;0;0;1617438.5245;104.8285025;sous total EG non HPROX;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";;;0;30556.242935;0;58390.962352;309885.9;0;0;1617438.5245;104.8285025;Total;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 14:11:52";="020000287";020000535;0;0;36551.941619;0;20756.615767;98798.45;0;0;417844.40823;0.011766;CH CHAUNY;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:52";="020000287";;0;0;36551.941619;0;20756.615767;98798.45;0;0;417844.40823;0.011766;sous total EG non HPROX;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:52";="020000287";;;0;36551.941619;0;20756.615767;98798.45;0;0;417844.40823;0.011766;Total;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:48:15";="800000077";800000275;1;0;0;0;0;727.416;0;0;0;22.744;CH HAM;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:15";="800000077";;1;0;0;0;0;727.416;0;0;0;22.744;sous total EG HPROX;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:15";="800000077";;;0;0;0;0;727.416;0;0;0;22.744;Total;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 15:06:55";="590785374";590785374;0;0;0;0;5427.2031462;8312.64;0;0;0;13.723908;CLINIQUE TEISSIER;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:55";="590785374";;0;0;0;0;5427.2031462;8312.64;0;0;0;13.723908;sous total EG non HPROX;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:55";="590785374";;;0;0;0;5427.2031462;8312.64;0;0;0;13.723908;Total;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:55";="590782645";590000766;1;0;0;0;36.4200176;131.456;0;0;0;0;CH BAILLEUL;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:55";="590782645";;1;0;0;0;36.4200176;131.456;0;0;0;0;sous total EG HPROX;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:55";="590782645";;;0;0;0;36.4200176;131.456;0;0;0;0;Total;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:52:27";="590782421";590033429;0;0;0;0;0;0;0;0;0;0;CENTRE GUY TALPAERT CH ROUBAIX;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:27";="590782421";590801106;0;0;61812.815612;0;105140.21441;565063.08046;0;11270.16;2423938.3763;70.542232052;HÔPITAL VICTOR PROVO;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:27";="590782421";590812186;0;0;0;0;0;0;0;0;0;10.7807;HÔPITAL LA FRATERNITE CH ROUBAIX;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:27";="590782421";;0;0;61812.815612;0;105140.21441;565063.08046;0;11270.16;2423938.3763;81.322932052;sous total EG non HPROX;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:27";="590782421";;;0;61812.815612;0;105140.21441;565063.08046;0;11270.16;2423938.3763;81.322932052;Total;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 14:31:18";="020000063";020000162;0;0;15113.089133;0;160694.30678;333581.94322;0;22540.32;2061468.3986;205.01894472;CH SAINT-QUENTIN;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:18";="020000063";;0;0;15113.089133;0;160694.30678;333581.94322;0;22540.32;2061468.3986;205.01894472;sous total EG non HPROX;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:18";="020000063";;;0;15113.089133;0;160694.30678;333581.94322;0;22540.32;2061468.3986;205.01894472;Total;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 15:42:23";="020004495";020001087;1;0;0;0;1323.7047328;23322.0236;0;0;363518.76039;8.23461;CH HIRSON;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:23";="020004495";;1;0;0;0;1323.7047328;23322.0236;0;0;363518.76039;8.23461;sous total EG HPROX;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:23";="020004495";;;0;0;0;1323.7047328;23322.0236;0;0;363518.76039;8.23461;Total;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 17:55:47";="800000051";800000200;1;0;0;0;0;0;0;0;0;0;CH CORBIE;2023.7;X800000051;28AUG23;17:55:36
"mco";"dgf";"2023";"7";"2023/08/28 17:55:47";="800000051";;1;0;0;0;0;0;0;0;0;0;sous total EG HPROX;2023.7;X800000051;28AUG23;17:55:36
"mco";"dgf";"2023";"7";"2023/08/28 17:55:47";="800000051";;;0;0;0;0;0;0;0;0;0;Total;2023.7;X800000051;28AUG23;17:55:36
"mco";"dgf";"2023";"7";"2023/08/28 18:06:00";="800000036";800000184;1;0;0;0;0;0;0;0;0;0;CH ALBERT;2023.7;X800000036;28AUG23;18:05:49
"mco";"dgf";"2023";"7";"2023/08/28 18:06:00";="800000036";;1;0;0;0;0;0;0;0;0;0;sous total EG HPROX;2023.7;X800000036;28AUG23;18:05:49
"mco";"dgf";"2023";"7";"2023/08/28 18:06:00";="800000036";;;0;0;0;0;0;0;0;0;0;Total;2023.7;X800000036;28AUG23;18:05:49
"mco";"dgf";"2023";"7";"2023/08/29 09:15:30";="020000055";020000105;1;0;0;0;0;0;0;0;0;0;CH LE NOUVION-EN-THIÉRACHE;2023.7;X020000055;29AUG23;9:15:15
"mco";"dgf";"2023";"7";"2023/08/29 09:15:30";="020000055";;1;0;0;0;0;0;0;0;0;0;sous total EG HPROX;2023.7;X020000055;29AUG23;9:15:15
"mco";"dgf";"2023";"7";"2023/08/29 09:15:30";="020000055";;;0;0;0;0;0;0;0;0;0;Total;2023.7;X020000055;29AUG23;9:15:15
"mco";"dgf";"2023";"7";"2023/08/29 09:49:38";="590782652";590000774;0;0;21063.749103;0;125845.5036;244649.567;0;0;597172.73;13.368;CH HAZEBROUCK;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:38";="590782652";;0;0;21063.749103;0;125845.5036;244649.567;0;0;597172.73;13.368;sous total EG non HPROX;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:38";="590782652";;;0;21063.749103;0;125845.5036;244649.567;0;0;597172.73;13.368;Total;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 11:59:27";="020000261";020000519;0;0;33708.171509;0;77792.538106;236906.6025;0;4507.5576206;1450921.7261;101.808927;CH SOISSONS;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:27";="020000261";;0;0;33708.171509;0;77792.538106;236906.6025;0;4507.5576206;1450921.7261;101.808927;sous total EG non HPROX;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:27";="020000261";;;0;33708.171509;0;77792.538106;236906.6025;0;4507.5576206;1450921.7261;101.808927;Total;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 13:08:41";="620000026";620000026;0;0;0;90.2672628;2284.9101944;2812.236;0;0;0;0;ÉTABLISSEMENT HOPALE CTRE CALOT/HELIO;2023.7;X620000026;29AUG23;13:08:26
"mco";"dgf";"2023";"7";"2023/08/29 13:08:41";="620000026";;0;0;0;90.2672628;2284.9101944;2812.236;0;0;0;0;sous total EG non HPROX;2023.7;X620000026;29AUG23;13:08:26
"mco";"dgf";"2023";"7";"2023/08/29 13:08:41";="620000026";;;0;0;90.2672628;2284.9101944;2812.236;0;0;0;0;Total;2023.7;X620000026;29AUG23;13:08:26
"mco";"dgf";"2023";"7";"2023/08/29 13:23:14";="590065223";590065223;0;0;0;0;0;0;0;0;0;2770.236723;SHAB LABORATOIRE VALENCIENNES;2023.7;X590065223;29AUG23;13:22:52
"mco";"dgf";"2023";"7";"2023/08/29 13:23:14";="590065223";;0;0;0;0;0;0;0;0;0;2770.236723;sous total EG non HPROX;2023.7;X590065223;29AUG23;13:22:52
"mco";"dgf";"2023";"7";"2023/08/29 13:23:14";="590065223";;;0;0;0;0;0;0;0;0;2770.236723;Total;2023.7;X590065223;29AUG23;13:22:52
"mco";"dgf";"2023";"7";"2023/08/29 14:03:42";="590000600";590000600;1;0;0;0;0;16845.794;0;0;0;0;CH SAINT- AMAND LES EAUX;2023.7;X590000600;29AUG23;14:03:29
"mco";"dgf";"2023";"7";"2023/08/29 14:03:42";="590000600";;1;0;0;0;0;16845.794;0;0;0;0;sous total EG HPROX;2023.7;X590000600;29AUG23;14:03:29
"mco";"dgf";"2023";"7";"2023/08/29 14:03:42";="590000600";;;0;0;0;0;16845.794;0;0;0;0;Total;2023.7;X590000600;29AUG23;14:03:29
"mco";"dgf";"2023";"7";"2023/08/29 14:32:46";="620003350";620003350;1;0;0;0;53210.219751;63229.52;0;0;683824.47016;0.007844;HÔPITAL DE RIAUMONT;2023.7;X620003350;29AUG23;14:32:33
"mco";"dgf";"2023";"7";"2023/08/29 14:32:46";="620003350";;1;0;0;0;53210.219751;63229.52;0;0;683824.47016;0.007844;sous total EG HPROX;2023.7;X620003350;29AUG23;14:32:33
"mco";"dgf";"2023";"7";"2023/08/29 14:32:46";="620003350";;;0;0;0;53210.219751;63229.52;0;0;683824.47016;0.007844;Total;2023.7;X620003350;29AUG23;14:32:33
"mco";"dgf";"2023";"7";"2023/08/29 14:46:31";="590781670";590000477;1;0;0;6029.556045;5255.4945054;20670.802;0;0;0;0;CH LE QUESNOY;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:31";="590781670";;1;0;0;6029.556045;5255.4945054;20670.802;0;0;0;0;sous total EG HPROX;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:31";="590781670";;;0;0;6029.556045;5255.4945054;20670.802;0;0;0;0;Total;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 15:41:47";="590001749";590001749;1;0;0;0;75529.651315;117948.0045;0;0;440817.51;0;POLYCLINIQUE DE GRANDE SYNTHE;2023.7;X590001749;29AUG23;15:40:58
"mco";"dgf";"2023";"7";"2023/08/29 15:41:47";="590001749";;1;0;0;0;75529.651315;117948.0045;0;0;440817.51;0;sous total EG HPROX;2023.7;X590001749;29AUG23;15:40:58
"mco";"dgf";"2023";"7";"2023/08/29 15:41:47";="590001749";;;0;0;0;75529.651315;117948.0045;0;0;440817.51;0;Total;2023.7;X590001749;29AUG23;15:40:58
"mco";"dgf";"2023";"7";"2023/08/29 15:58:20";="620025346";620025346;0;0;0;0;58892.367724;43331.549;0;0;826137.69627;4.447327;POLYCLINIQUE DE DIVION;2023.7;X620025346;29AUG23;15:57:59
"mco";"dgf";"2023";"7";"2023/08/29 15:58:20";="620025346";;0;0;0;0;58892.367724;43331.549;0;0;826137.69627;4.447327;sous total EG non HPROX;2023.7;X620025346;29AUG23;15:57:59
"mco";"dgf";"2023";"7";"2023/08/29 15:58:20";="620025346";;;0;0;0;58892.367724;43331.549;0;0;826137.69627;4.447327;Total;2023.7;X620025346;29AUG23;15:57:59
"mco";"dgf";"2023";"7";"2023/08/29 16:28:16";="620100651";620000224;0;42258.727181;33179.933497;0;153511.06833;296004.81855;0;0;1533187.9643;19411.264759;CH BETHUNE;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:16";="620100651";;0;42258.727181;33179.933497;0;153511.06833;296004.81855;0;0;1533187.9643;19411.264759;sous total EG non HPROX;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:16";="620100651";;;42258.727181;33179.933497;0;153511.06833;296004.81855;0;0;1533187.9643;19411.264759;Total;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/30 08:07:20";="600100713";600000194;0;0;118433.29102;0;55786.469852;388593.82533;0;0;2501818.4996;27502.239137;CH BEAUVAIS;2023.7;X600100713;30AUG23;8:06:51
"mco";"dgf";"2023";"7";"2023/08/30 08:07:20";="600100713";;0;0;118433.29102;0;55786.469852;388593.82533;0;0;2501818.4996;27502.239137;sous total EG non HPROX;2023.7;X600100713;30AUG23;8:06:51
"mco";"dgf";"2023";"7";"2023/08/30 08:07:20";="600100713";;;0;118433.29102;0;55786.469852;388593.82533;0;0;2501818.4996;27502.239137;Total;2023.7;X600100713;30AUG23;8:06:51
"mco";"dgf";"2023";"7";"2023/08/30 09:19:12";="590780284";590780284;0;0;0;0;48076.288066;130222.936;0;0;838736.32216;17.1064415;GCS GHICL HÔPITAL ST PHILIBERT;2023.7;X590780284;30AUG23;9:18:49
