"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;nb;valobr;valoam;nbe;valobre;nbinc;valobrinc;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 16:30:30";="620103440";FPU;1;19.61;0;0;0;0;0;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:30";="620103440";FU3;1;41.11;0;0;0;0;0;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:30";="620103440";SB3;1;54.27;0;0;0;0;0;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:30";="620103440";SIM;1;33.99;0;0;0;0;0;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/31 10:50:21";="590781415";G;1;25;17.5;0;0;0;0;2023.7;X590781415;31AUG23;10:49:44
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";ACO;8;497.9;438.7;0;0;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";ADC;305.5;13905.06;10939.365;1;17.99;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";ADE;5271;368469.13;283059.3115;356;14761.8;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";ADI;7293;229092.02;165762.797;24;776.26;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";AMC;956;2055.4;1463.72;0;0;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";AMI;5533.68;17431.092;12254.61195;380;1197;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";AMI F;8;57.21;46.398;0;0;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";AMI N;9;64.96;46.416;0;0;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";AMO;108;270;144;0;0;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";AMY;1597;4152.2;2591.68;0;0;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";APC;10545;579975;441966.25;34;1870;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";APC F;2;148.12;0;0;0;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";APU;21;1449;1262.7;0;0;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";APY;529;33062.5;27259.375;1;62.5;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";ATM;6325;314008.48;254609.164;12;396.77;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";ATU;1031;28999.838761;22112.973774;5;139.516579;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";B;958490;250707.96;187493.137;58999;15475.78;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";C;498;11454;10462.7;6;138;0;0;2023.7;X590781902;07SEP23;20:06:41
