"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;nb;mnt_br;mnt_remb;nb_fides;mnt_br_fides;mnt_remb_fides;spec_fx;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/09 14:38:44";="600100168";ADA;14;1083.07;973.54;13;958.44;848.91;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:44";="600100168";ADC;168;15749.93;15369.345;35;1725.84;1405.617;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:44";="600100168";ADE;464;40807.82;33972.4335;461;40735.05;33899.6635;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:44";="600100168";ADI;4;601.71;507.597;4;601.71;507.597;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:44";="600100168";ATM;1545;67087.34;57797.8205;784;33784.91;28321.0265;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/10 13:22:55";="590780227";ACO;21;1771.38;1716.516;2;627;627;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:55";="590780227";ADA;8;654.97;639.685;7;606.97;591.685;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:55";="590780227";ADC;1354.5;80828.19;69090.901;1229.5;78000.68;66595.149;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:55";="590780227";ADE;8385;585452.05;498489.65734;7315;517844.68;443641.11934;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:55";="590780227";ADI;18559;502181.94;392928.244;18527;501218.17;392077.304;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:55";="590780227";ATM;6783;290645.64;242154.71838;5565;230131.25;189646.2655;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:55";="590780227";AXI;8;231.36;170.628;8;231.36;170.628;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:55";="590780227";CM0;1;120;84;1;120;84;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:55";="590780227";CT0;1;10;7;1;10;7;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:55";="590780227";END;6;352;315.4;6;352;315.4;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:55";="590780227";IC0;1;90;63;1;90;63;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:55";="590780227";IMP;4;430;301;4;430;301;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:55";="590780227";PA0;11;3149.75;2633.75;11;3149.75;2633.75;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:55";="590780227";PT0;8;1225.5;986.85;8;1225.5;986.85;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:55";="590780227";RS0;3;64.5;51.6;3;64.5;51.6;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:55";="590780227";SDE;30;1624.5;1208.97;30;1624.5;1208.97;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/18 15:14:45";="020000022";ADC;18;676.99;473.893;18;676.99;473.893;0;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:45";="020000022";ADE;472;28337.54;24232.996;472;28337.54;24232.996;0;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:45";="020000022";ADI;1714;49093.37;37783.082;1714;49093.37;37783.082;0;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:45";="020000022";ATM;392;9729.45;7811.456;363;7594.77;5894.084;0;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/21 15:04:27";="600100572";ADC;237;8173.76;5949.733;232;7976.91;5781.901;0;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:27";="600100572";ADE;1284;50069.12;39191.0635;1284;50069.12;39191.0635;0;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:27";="600100572";ADI;2846;79962.91;65954.243;2839;79813.08;65834.379;0;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:27";="600100572";ATM;952;31168.94;24057.751;911;30206.98;23247.835;0;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/22 17:50:52";="590782439";ADC;291;16661.36;13253.972;70;5396.76;4044.816;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:52";="590782439";ADE;1055;61073.86;49095.506;1049;60639.33;48690.65;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:52";="590782439";ADI;4381;146259.13;110705.374;3737;123584.62;92095.758;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:52";="590782439";ATM;2461;121700.97;103807.6375;1575;90501.33;77590.5835;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/24 09:38:59";="590781605";ACO;3;192.52;165.088;0;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:59";="590781605";ADC;337.5;13640.34;11053.29;304.5;11811.94;9294.54;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:59";="590781605";ADE;4904;340736.38;289882.05496;4470;314784.08;268720.48496;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:59";="590781605";ADI;8943;394914.68;322135.0515;8943;394914.68;322135.0515;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:59";="590781605";ATM;6971;255464.07;206784.3515;6475;227900.83;182568.3855;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 12:29:50";="020000253";ACO;3;427.66;427.66;1;316.94;316.94;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:50";="020000253";ADC;665;26793.95;22257.010439;463;20244.98;16205.590279;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:50";="020000253";ADE;6128;420173.44;349941.67681;5551;385440.09;321191.93281;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:50";="020000253";ADI;6950;216728.61;163290.71897;6944;216579.59;163156.47738;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:50";="020000253";ATM;9876;372301.57;308248.49607;8729;302377.16;248714.56607;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:50";="020000253";AXI;209;6044.28;4857.247032;209;6044.28;4857.247032;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:50";="020000253";CM0;1;120;93.468;1;120;93.468;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:50";="020000253";END;51;3715;2880.0016;51;3715;2880.0016;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:50";="020000253";PA0;3;731;620.1804;3;731;620.1804;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:50";="020000253";PF0;1;120;94.26;1;120;94.26;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:50";="020000253";PT0;4;419.25;340.5987;4;419.25;340.5987;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:50";="020000253";SDE;193;10637.4;8316.25206;193;10637.4;8316.25206;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:50";="020000253";TDS;1;96.4;82.2774;1;96.4;82.2774;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/25 10:04:31";="620003376";ADA;1;55.35;38.745;1;55.35;38.745;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:31";="620003376";ADC;308;19607.35;16479.277;240;12761.97;9655.401;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:31";="620003376";ADE;2745;180380.33;155212.272;2623;176627.66;151777.152;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:31";="620003376";ADI;5729;196387.39;152674.17609;5722;196118.1;152404.88609;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:31";="620003376";ATM;6258;310704.69;266995.1143;5008;231496.46;198153.9735;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";ADA;1;48;33.6;1;48;33.6;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";ADC;295.5;25025.57;21757.8645;255.5;18984.85;15731.6085;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";ADE;3020;173413.08;141121.441;3020;173413.08;141121.441;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";ADI;12037;303033.62;238655.49147;12036;302953.82;238575.69147;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";ATM;4034;93400.65;70528.4345;3954;89787.56;67416.7465;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";AXI;31;893.63;677.597;31;893.63;677.597;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";PA0;3;473;385.925;3;473;385.925;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";RA0;3;139.75;139.75;3;139.75;139.75;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";RS0;1;21.5;15.05;1;21.5;15.05;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";SDE;28;1956.39;1419.123;28;1956.39;1419.123;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 12:07:05";="620101337";ACO;68;4236.62;3766.348;27;1420.8;1136.64;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:05";="620101337";ADA;1;78.3;62.64;0;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:05";="620101337";ADC;998;47757.74;42242.329;752;34431.15;29003.382;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:05";="620101337";ADE;16493;985408.36;838127.97722;15310;930750.11;791806.25922;0;2023.7;X620101337;25AUG23;12:06:41
